#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10779 	0.00185569 	0.167721 	0.00438156	5.33816 	0.207138 	22.3633 	0.941443	1.01094 	0.000428223 	2.59778 	0.103679
0.401	-1.1126 	0.00232094 	0.164047 	0.00377055	5.4808 	0.222812 	22.9353 	1.01087	1.01111 	0.000423027 	2.66042 	0.0876177
0.402	-1.11627 	0.00212923 	0.169561 	0.00377172	5.88029 	0.265536 	23.8544 	1.15142	1.01184 	0.000578994 	2.68667 	0.0995433
0.403	-1.12618 	0.00214554 	0.17332 	0.00359247	5.69652 	0.264902 	23.725 	1.45238	1.01132 	0.000552608 	2.60965 	0.0916631
0.404	-1.12893 	0.0022753 	0.174139 	0.0037277	5.51882 	0.261947 	23.2018 	1.0973	1.01088 	0.000555967 	2.55528 	0.0820969
0.405	-1.13324 	0.00154259 	0.185968 	0.00434005	5.7535 	0.247827 	25.8094 	1.48974	1.01124 	0.000471324 	2.4362 	0.0611241
0.406	-1.13757 	0.00146758 	0.179502 	0.00344903	5.63817 	0.254789 	26.4557 	1.01709	1.01088 	0.000483819 	2.59198 	0.0977129
0.407	-1.14569 	0.00153961 	0.193883 	0.00530361	5.64234 	0.255599 	28.5418 	1.10816	1.01078 	0.000480053 	2.46396 	0.109544
0.408	-1.15351 	0.00211876 	0.197528 	0.00584664	6.18781 	0.289936 	29.0203 	1.2043	1.01158 	0.000545194 	2.40023 	0.0740031
0.409	-1.15897 	0.00183674 	0.198783 	0.00621417	5.54494 	0.241037 	30.0923 	1.58728	1.01032 	0.000500944 	2.42726 	0.0753391
0.41	-1.16742 	0.00162368 	0.211636 	0.00609441	6.4974 	0.321558 	33.6675 	1.80121	1.01204 	0.000571432 	2.38219 	0.0692459
0.411	-1.16834 	0.00210586 	0.202194 	0.00589426	6.13262 	0.250173 	33.6132 	1.73907	1.01125 	0.000479341 	2.58572 	0.104376
0.412	-1.17573 	0.0017358 	0.220099 	0.00596423	6.16609 	0.304193 	35.696 	1.7597	1.0112 	0.000563818 	2.3691 	0.0701429
0.413	-1.17964 	0.00189654 	0.217006 	0.00665477	6.01633 	0.190857 	35.9422 	1.7961	1.01082 	0.000311386 	2.31079 	0.0863029
0.414	-1.19115 	0.0019109 	0.24084 	0.00652345	7.12424 	0.362284 	43.145 	2.06947	1.01265 	0.000695888 	2.32153 	0.081952
0.415	-1.19299 	0.00191059 	0.230286 	0.00585507	6.76446 	0.356571 	41.4725 	1.59909	1.01196 	0.000648599 	2.39525 	0.0705726
0.416	-1.20691 	0.00250445 	0.25119 	0.0082622	6.66565 	0.313199 	48.3757 	2.56481	1.01159 	0.000628121 	2.33665 	0.0795425
0.417	-1.21458 	0.00278827 	0.270531 	0.0110426	7.39018 	0.331206 	48.5438 	2.20953	1.01262 	0.000550569 	2.11739 	0.0770975
0.418	-1.2113 	0.00241696 	0.258705 	0.00662928	7.30903 	0.328817 	45.0026 	2.33948	1.01254 	0.000569241 	2.22195 	0.0721544
0.419	-1.22816 	0.00233182 	0.280807 	0.00760971	7.01219 	0.294157 	49.0396 	2.07461	1.01176 	0.000480396 	2.11144 	0.0579971
0.42	-1.23109 	0.00268811 	0.285184 	0.00821806	7.4695 	0.349428 	53.6475 	2.19701	1.01237 	0.00053166 	2.09009 	0.0674138
0.421	-1.2347 	0.00194005 	0.2974 	0.00912057	7.76643 	0.412934 	55.1266 	2.10484	1.01283 	0.00064591 	2.02098 	0.0688431
0.422	-1.24682 	0.00220891 	0.310562 	0.00783712	7.9846 	0.450357 	58.677 	1.95263	1.01304 	0.000759142 	1.99601 	0.0490823
0.423	-1.25495 	0.00226441 	0.319926 	0.00759313	8.43203 	0.285962 	58.5217 	1.89172	1.01346 	0.000506164 	1.9273 	0.0473963
0.424	-1.25865 	0.00264725 	0.336273 	0.00796603	8.30049 	0.301881 	61.8147 	1.5026	1.01317 	0.000458498 	1.85774 	0.0476828
0.425	-1.27103 	0.00300416 	0.342642 	0.0120616	8.13811 	0.370252 	65.1392 	2.90049	1.01269 	0.000597836 	1.86614 	0.0618787
0.426	-1.28028 	0.00355466 	0.366117 	0.0122509	9.50459 	0.502867 	66.2983 	2.20532	1.01464 	0.000679461 	1.7798 	0.0568371
0.427	-1.2896 	0.00271919 	0.387238 	0.0109597	9.51734 	0.464887 	70.5532 	3.05727	1.01438 	0.00067159 	1.70137 	0.0590593
0.428	-1.29494 	0.00298154 	0.384365 	0.0136614	8.83696 	0.518158 	69.4209 	2.68883	1.01333 	0.000790352 	1.71121 	0.0696348
0.429	-1.30917 	0.0035441 	0.416483 	0.0134173	9.48801 	0.545278 	70.0295 	3.09273	1.01401 	0.000772066 	1.58913 	0.0573158
0.43	-1.32004 	0.0035239 	0.440559 	0.0137832	10.669 	0.551915 	72.8863 	3.40652	1.0154 	0.00078857 	1.54033 	0.0553128
0.431	-1.32432 	0.00373352 	0.448304 	0.0154957	10.5815 	0.323672 	74.9324 	3.69629	1.01515 	0.000475619 	1.53127 	0.0613966
0.432	-1.3348 	0.00300819 	0.462766 	0.0121259	9.8846 	0.425293 	73.3607 	3.48631	1.01396 	0.000634233 	1.48992 	0.0466929
