# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.5 	-0.755724 	8.79008e-05 	0.0448404 	0.000156287 	1.7741 	0.00929429 	4.7165 	0.0354102
0.52 	-0.791725 	8.77642e-05 	0.0503034 	0.00019538 	1.85208 	0.00962286 	5.93192 	0.0475894
0.54 	-0.8293 	8.69423e-05 	0.057681 	0.000255584 	1.92654 	0.0111774 	7.66341 	0.0745008
0.56 	-0.869631 	9.91789e-05 	0.0680029 	0.000349268 	2.04683 	0.0119547 	10.6597 	0.115875
0.57 	-0.890281 	0.000271789 	0.0730334 	0.00117557 	2.09984 	0.0256545 	12.2654 	0.433899
0.58 	-0.912113 	0.000114122 	0.0824504 	0.000591539 	2.21195 	0.0120035 	15.5759 	0.23901
0.59 	-0.935991 	0.000328787 	0.0974574 	0.00202848 	2.35219 	0.0304185 	21.0272 	0.829418
0.6 	-0.958583 	0.000144918 	0.105357 	0.000939702 	2.44678 	0.0141413 	25.2323 	0.46842
0.61 	-0.984024 	0.000442275 	0.125463 	0.0032452 	2.61092 	0.0364041 	31.9975 	1.46288
0.615 	-0.997966 	0.000502552 	0.146897 	0.00423399 	2.74775 	0.048987 	45.4869 	2.31389
0.62 	-1.01101 	0.000206453 	0.159735 	0.00209016 	2.83981 	0.0208423 	53.3008 	1.25157
0.625 	-1.02535 	0.000574666 	0.167809 	0.00601054 	2.9498 	0.0568136 	62.2209 	3.76871
0.63 	-1.03917 	0.000777565 	0.182451 	0.00679201 	3.11637 	0.0739964 	74.1286 	5.1042
0.635 	-1.05809 	0.000909455 	0.230649 	0.00839383 	3.39924 	0.112356 	106.945 	6.42207
0.64 	-1.07607 	0.000401771 	0.294406 	0.00448538 	3.82919 	0.0444833 	132.003 	2.46487
0.645 	-1.0961 	0.00115339 	0.364956 	0.0117399 	4.36692 	0.134392 	165.915 	7.33812
0.65 	-1.12242 	0.00137608 	0.458193 	0.0123547 	5.00305 	0.15485 	192.29 	9.68307
0.655 	-1.14222 	0.00143305 	0.530569 	0.0115853 	5.09093 	0.160775 	171.705 	13.2576
0.66 	-1.16731 	0.000627736 	0.622788 	0.00532935 	4.7123 	0.063017 	127.922 	7.64152
0.665 	-1.1904 	0.00106749 	0.697148 	0.00888297 	4.1076 	0.1444 	80.823 	16.0331
0.67 	-1.209 	0.000959823 	0.75014 	0.00412201 	3.58047 	0.119149 	25.1106 	3.8302
0.68 	-1.24184 	0.000266933 	0.806548 	0.000850864 	2.82594 	0.0269541 	9.8904 	0.523886
0.69 	-1.26828 	0.000547897 	0.840924 	0.00130104 	2.41473 	0.0460555 	5.55428 	0.460304
0.7 	-1.29049 	0.000335623 	0.866212 	0.0006601 	1.95678 	0.028788 	2.81909 	0.138822
