# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.2 	-0.988727 	0.000694903 	0.151724 	0.000435494 	8.27897 	0.0432762 	3.22095 	0.0192747
0.22 	-1.17182 	0.00081536 	0.202074 	0.00065384 	10.0164 	0.0613154 	5.3134 	0.0316657
0.23 	-1.27939 	0.000849383 	0.241649 	0.000873028 	11.4477 	0.0654646 	7.15001 	0.0420802
0.235 	-1.33948 	0.000928158 	0.26829 	0.000944674 	12.4712 	0.0806751 	8.31294 	0.0465682
0.24 	-1.40266 	0.00106063 	0.299399 	0.00107635 	13.7462 	0.0851929 	9.70739 	0.0494173
0.245 	-1.47517 	0.00116099 	0.337327 	0.00116652 	15.209 	0.091904 	11.2498 	0.050815
0.25 	-1.55744 	0.00136707 	0.387238 	0.00160508 	17.1758 	0.0960165 	12.7607 	0.053784
0.255 	-1.65027 	0.00149565 	0.447111 	0.00163954 	19.3585 	0.109929 	13.8072 	0.058653
0.26 	-1.75004 	0.00172428 	0.510721 	0.00188814 	20.8011 	0.111026 	14.1447 	0.0836383
0.265 	-1.85863 	0.00184562 	0.580082 	0.00191396 	21.6666 	0.117287 	13.2561 	0.107932
0.27 	-1.96835 	0.00189027 	0.646773 	0.00168759 	21.4136 	0.12566 	11.3901 	0.149064
0.275 	-2.07296 	0.00165097 	0.70774 	0.001592 	19.6383 	0.122761 	8.77586 	0.152683
0.28 	-2.1629 	0.00165711 	0.753347 	0.00137592 	18.0899 	0.1467 	6.88563 	0.150001
0.285 	-2.24888 	0.00137543 	0.79647 	0.000986713 	15.4718 	0.115924 	4.3488 	0.113575
0.29 	-2.3211 	0.00117988 	0.826047 	0.000827643 	13.5255 	0.10922 	3.13858 	0.0975188
0.3 	-2.44048 	0.00093422 	0.869409 	0.000490293 	10.4193 	0.0795925 	1.56585 	0.0543891
0.31 	-2.5318 	0.000691894 	0.89791 	0.00024465 	8.10526 	0.0543703 	0.824571 	0.0161273
0.32 	-2.60362 	0.000623387 	0.917345 	0.000181274 	6.55149 	0.0415725 	0.523705 	0.0109884
0.34 	-2.71167 	0.000470311 	0.943453 	0.000143113 	4.44674 	0.0298664 	0.271318 	0.0130089
0.36 	-2.78684 	0.000419105 	0.959859 	9.40265e-05 	3.1256 	0.0184551 	0.149119 	0.00139613
0.38 	-2.83986 	0.000388195 	0.970641 	7.1687e-05 	2.28681 	0.0136444 	0.0963177 	0.000839515
