# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.2 	-0.98939 	0.00035179 	0.075872 	0.000210839 	8.29404 	0.0483339 	3.30714 	0.0206186
0.22 	-1.16907 	0.000363603 	0.100146 	0.000353686 	9.80145 	0.0516696 	5.66942 	0.0412708
0.23 	-1.27089 	0.000401768 	0.118394 	0.000457112 	10.7918 	0.0648678 	7.90529 	0.0620334
0.235 	-1.32785 	0.000426811 	0.133166 	0.000571009 	11.388 	0.0582189 	9.90166 	0.0875813
0.24 	-1.38701 	0.000470058 	0.150857 	0.000662698 	12.1972 	0.0684535 	12.4217 	0.0977611
0.245 	-1.44961 	0.000531925 	0.171568 	0.00086743 	13.0493 	0.0797222 	15.7053 	0.149063
0.25 	-1.51743 	0.000583533 	0.202814 	0.00121647 	14.278 	0.0897842 	20.5656 	0.207524
0.255 	-1.59319 	0.000786373 	0.248123 	0.00167279 	16.3105 	0.13019 	28.1281 	0.252593
0.26 	-1.67853 	0.00108391 	0.308753 	0.00237566 	19.1103 	0.146084 	37.1131 	0.306649
0.265 	-1.78791 	0.00148939 	0.41359 	0.00288526 	23.0557 	0.166782 	44.9499 	0.385086
0.27 	-1.90748 	0.00167995 	0.523586 	0.00319786 	26.0166 	0.171087 	45.5261 	0.689417
0.275 	-2.04066 	0.00162879 	0.652546 	0.00258298 	24.3607 	0.222833 	28.9595 	0.935657
0.28 	-2.1552 	0.00119449 	0.739442 	0.00163172 	20.0122 	0.208578 	13.485 	0.677024
0.285 	-2.24431 	0.000865762 	0.789349 	0.00108935 	16.5036 	0.153553 	7.16358 	0.439987
0.29 	-2.32151 	0.000616 	0.826505 	0.000470822 	13.7644 	0.103328 	3.35241 	0.115579
0.3 	-2.43965 	0.000431412 	0.869562 	0.000207214 	10.2893 	0.0597317 	1.52253 	0.0270857
0.31 	-2.53174 	0.000380447 	0.89779 	0.000123999 	8.05194 	0.0478435 	0.811075 	0.00929899
0.32 	-2.60411 	0.000333305 	0.917375 	0.000103092 	6.54895 	0.0378926 	0.529591 	0.00538938
0.34 	-2.71182 	0.000266883 	0.94349 	6.00642e-05 	4.449 	0.024376 	0.260259 	0.00212626
0.36 	-2.78633 	0.0002326 	0.959738 	4.84685e-05 	3.12423 	0.0175476 	0.149441 	0.00104811
0.38 	-2.83975 	0.000188542 	0.970638 	4.00437e-05 	2.28111 	0.0120965 	0.0958236 	0.00058187
