# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.5 	-0.779894 	0.000802826 	0.359167 	0.00100806 	2.15134 	0.0129475 	3.55371 	0.0159474
0.52 	-0.823603 	0.000834794 	0.398034 	0.00120445 	2.31414 	0.0134813 	4.00848 	0.0149455
0.54 	-0.871443 	0.000835907 	0.441147 	0.00128961 	2.49067 	0.0139654 	4.43166 	0.016659
0.56 	-0.922218 	0.00086594 	0.490327 	0.00140101 	2.69435 	0.0126434 	4.83367 	0.0176967
0.57 	-0.949906 	0.000983936 	0.519243 	0.00133738 	2.79367 	0.0147735 	4.94716 	0.0174014
0.58 	-0.9797 	0.00103384 	0.551331 	0.0016624 	2.84029 	0.0146838 	4.9863 	0.0204276
0.59 	-1.0057 	0.000940946 	0.576775 	0.00147134 	2.89572 	0.0132895 	5.01847 	0.0216272
0.6 	-1.03631 	0.00109022 	0.607825 	0.00152472 	2.89871 	0.0130492 	4.97624 	0.0231735
0.61 	-1.06426 	0.0010216 	0.636158 	0.0015437 	2.89108 	0.0138996 	4.9202 	0.0274247
0.615 	-1.08005 	0.00103153 	0.65204 	0.00162942 	2.89873 	0.0140492 	4.86193 	0.027426
0.62 	-1.09418 	0.00116169 	0.668735 	0.0016414 	2.87127 	0.0143229 	4.70489 	0.0321943
0.625 	-1.10698 	0.00111088 	0.682144 	0.00170205 	2.87388 	0.0143863 	4.62431 	0.033593
0.63 	-1.12234 	0.00113352 	0.698468 	0.00147581 	2.83452 	0.0137306 	4.46465 	0.0334996
0.635 	-1.1364 	0.00112729 	0.71219 	0.00158481 	2.78451 	0.0144905 	4.34251 	0.0351316
0.64 	-1.14954 	0.00103515 	0.725397 	0.00153951 	2.73748 	0.0129067 	4.19643 	0.0357463
0.645 	-1.16508 	0.00108112 	0.741828 	0.00148615 	2.67824 	0.014164 	3.99732 	0.0375854
0.65 	-1.17634 	0.00105292 	0.753574 	0.00150533 	2.62468 	0.0140632 	3.83479 	0.0393868
0.655 	-1.1908 	0.0010498 	0.76754 	0.00152361 	2.54061 	0.014509 	3.65986 	0.0411812
0.66 	-1.20182 	0.000998881 	0.777118 	0.00159613 	2.49321 	0.0139002 	3.56205 	0.0447545
0.665 	-1.21682 	0.00103062 	0.794184 	0.00147234 	2.4039 	0.0147385 	3.2507 	0.0426436
0.67 	-1.22835 	0.00107188 	0.804293 	0.00151763 	2.31994 	0.0158056 	3.13874 	0.0460129
0.68 	-1.24876 	0.000975707 	0.824571 	0.00128396 	2.1601 	0.0141728 	2.7404 	0.039052
0.69 	-1.27026 	0.000915182 	0.84478 	0.00119393 	2.00485 	0.0130934 	2.36878 	0.0395663
0.7 	-1.28934 	0.000848639 	0.861717 	0.00101834 	1.83655 	0.0130732 	2.07065 	0.0424388
