#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.439	-1.4297 	0.00175084 	-0.0337433 	0.0386967	8.46142 	0.139261 	197.759 	1.84336	1.03985 	0.000606097 	1.18889 	0.00487678
0.44	-1.43829 	0.00176296 	0.00598572 	0.040887	8.52084 	0.128444 	202.726 	1.38723	1.03973 	0.000542161 	1.17862 	0.00465435
0.441	-1.44818 	0.00177977 	0.00731873 	0.0413369	8.14295 	0.11859 	208.174 	1.38189	1.03726 	0.000592137 	1.16314 	0.00464822
0.442	-1.45776 	0.00183731 	-0.00401062 	0.0408219	8.07077 	0.128525 	213.801 	1.42437	1.03649 	0.000639973 	1.14635 	0.0041456
0.443	-1.46281 	0.00154219 	-0.0492438 	0.0444677	7.99927 	0.124139 	213.314 	2.31142	1.03588 	0.000548886 	1.14836 	0.00320439
0.444	-1.47561 	0.00169855 	-0.0281787 	0.046803	7.79606 	0.11267 	221.468 	1.98313	1.03435 	0.000561952 	1.13082 	0.00382346
0.445	-1.47844 	0.00176278 	0.0399805 	0.0455693	7.83191 	0.136228 	221.678 	2.23336	1.03441 	0.000561886 	1.13174 	0.0035642
0.446	-1.48583 	0.00152845 	-0.0505347 	0.0501406	7.6588 	0.127469 	226.162 	2.28824	1.03312 	0.000530907 	1.11791 	0.00337861
0.447	-1.49337 	0.00158594 	0.140113 	0.0492687	7.68758 	0.119291 	223.021 	5.28664	1.03296 	0.000532907 	1.11133 	0.00308443
0.448	-1.50346 	0.00159552 	-0.087569 	0.0557543	7.30431 	0.112387 	231.771 	4.41025	1.03103 	0.000469013 	1.10358 	0.00279576
0.449	-1.51075 	0.00151624 	-0.176765 	0.0514334	7.32681 	0.128666 	225.966 	7.46707	1.03069 	0.00052842 	1.10058 	0.0032335
0.45	-1.5191 	0.00144906 	-0.199149 	0.0549541	6.97918 	0.110596 	226.939 	9.16881	1.02903 	0.00048005 	1.08776 	0.00252211
0.451	-1.52619 	0.00174046 	-0.0267395 	0.0573385	6.90524 	0.119083 	246.125 	2.56326	1.02837 	0.000423005 	1.08435 	0.00292096
0.452	-1.53408 	0.00159364 	0.0500049 	0.0524719	6.76322 	0.104518 	248.636 	2.92411	1.02757 	0.000459953 	1.0811 	0.00249444
0.453	-1.53647 	0.00158007 	-0.189342 	0.0558503	6.77525 	0.12434 	236.174 	8.69947	1.02741 	0.000393946 	1.07849 	0.00233701
0.454	-1.54593 	0.00141783 	0.0703943 	0.0586412	6.32128 	0.0976657 	253.35 	4.44257	1.02533 	0.000379777 	1.06866 	0.00211301
0.455	-1.5512 	0.00157776 	0.127175 	0.0590674	6.35412 	0.117951 	251.371 	7.17084	1.02524 	0.000431943 	1.06562 	0.00212955
0.456	-1.55708 	0.00154246 	-0.130763 	0.058695	6.33294 	0.10963 	253.229 	6.60095	1.02502 	0.000419684 	1.06406 	0.00221217
0.457	-1.56463 	0.00149862 	0.247431 	0.0612393	6.0815 	0.101377 	239.662 	12.8513	1.02391 	0.000404297 	1.05718 	0.00172988
0.458	-1.56938 	0.001375 	0.10941 	0.0607037	6.15181 	0.109142 	261.024 	5.74876	1.02388 	0.000381907 	1.05673 	0.001954
0.459	-1.57769 	0.00138214 	-0.161184 	0.063367	5.97444 	0.0995233 	258.932 	8.74735	1.02296 	0.000385927 	1.05367 	0.00169213
0.46	-1.58136 	0.0015196 	-0.29795 	0.0628514	5.81015 	0.102967 	235.53 	14.8085	1.02228 	0.000364322 	1.05057 	0.00178773
0.461	-1.58809 	0.00144723 	0.195227 	0.0658911	5.59811 	0.0998128 	258.438 	10.5918	1.02133 	0.00035831 	1.04667 	0.00141638
0.462	-1.59352 	0.00144505 	0.209652 	0.0637225	5.58121 	0.0999571 	258.637 	10.9575	1.02108 	0.000381429 	1.04465 	0.00154148
0.463	-1.59969 	0.00118578 	-0.00988098 	0.0752386	5.47174 	0.104638 	278.868 	2.65347	1.02055 	0.000365799 	1.04111 	0.00147203
0.464	-1.60471 	0.00134453 	0.40101 	0.0588852	5.2704 	0.0886981 	216.336 	19.2785	1.01968 	0.000311632 	1.04008 	0.0013757
0.465	-1.60985 	0.00125289 	0.170164 	0.0687846	5.17367 	0.0945812 	271.642 	9.79362	1.01923 	0.000357947 	1.03682 	0.00126635
0.466	-1.6132 	0.0012193 	-0.0307843 	0.0624478	5.11295 	0.081689 	284.128 	3.53597	1.01899 	0.000319211 	1.0353 	0.00116924
0.467	-1.61906 	0.00122914 	0.120562 	0.0699168	5.15736 	0.101027 	280.474 	7.56276	1.01889 	0.000385779 	1.0366 	0.00142403
0.468	-1.62522 	0.0012478 	0.120355 	0.0670895	5.08879 	0.0898149 	283.279 	7.7832	1.01855 	0.000298073 	1.03241 	0.00118442
0.469	-1.62998 	0.00135726 	0.419161 	0.0644185	4.80045 	0.0849318 	221.011 	21.311	1.01746 	0.000291126 	1.03033 	0.0011713
0.47	-1.63384 	0.00121476 	-0.148826 	0.0694702	4.81547 	0.0818842 	283.906 	8.68915	1.01741 	0.000292738 	1.02975 	0.00125129
0.471	-1.63796 	0.00118426 	-0.0129083 	0.071472	4.75367 	0.0792552 	294.236 	3.26974	1.01708 	0.0002906 	1.02819 	0.000959354
0.472	-1.64067 	0.00115505 	-0.279528 	0.0719201	4.79399 	0.0757109 	264.303 	15.5106	1.01714 	0.00025226 	1.02647 	0.000852489
0.473	-1.64973 	0.00106014 	-0.606523 	0.050429	4.41466 	0.0725055 	152.477 	23.8381	1.01568 	0.000239754 	1.02314 	0.000762792
0.474	-1.65216 	0.00121723 	0.659826 	0.0494834	4.55659 	0.0746129 	125.733 	23.8604	1.01613 	0.000254585 	1.02456 	0.000973489
