# nm = 8192 nc = 100 len = 20 extf = 0 beta = 0.476
#energy 	magnetization 	acceptance
-1.73	0.905	0.109975
-1.77	0.925	0.0909
-1.6	0.76	0.129125
-1.72	0.9	0.10445
-1.77	0.93	0.0918
-1.65	0.88	0.1001
-1.74	0.92	0.10495
-1.72	0.91	0.1248
-1.84	0.96	0.1
-1.79	0.94	0.0924
-1.77	0.94	0.09825
-1.78	0.875	0.098675
-1.78	0.915	0.1049
-1.83	0.95	0.094925
-1.75	0.93	0.10765
-1.74	0.93	0.0911
-1.78	0.935	0.096375
-1.68	0.905	0.0913
-1.8	0.935	0.11385
-1.88	0.955	0.1306
-1.92	0.98	0.106375
-1.34	0.725	0.125975
-1.71	0.86	0.109475
-1.59	0.825	0.109025
-1.57	0.835	0.11625
-1.57	0.79	0.107425
-1.79	0.94	0.1044
-1.51	0.795	0.104325
-1.68	0.9	0.104675
-1.65	0.875	0.107225
-1.76	0.92	0.103375
-1.53	0.765	0.131575
-1.78	0.94	0.095025
-1.7	0.89	0.11365
-1.69	0.915	0.092975
-1.61	0.845	0.1033
-1.69	0.905	0.12435
-1.56	0.75	0.098075
-1.61	0.84	0.12025
-1.59	0.845	0.117675
-1.85	0.95	0.100275
-1.81	0.945	0.105325
-1.68	0.89	0.084825
-1.69	0.9	0.10795
-1.68	0.895	0.111225
-1.77	0.93	0.093425
-1.7	0.865	0.112625
-1.48	0.69	0.103975
-1.76	0.905	0.104025
-1.87	0.965	0.11125
-1.56	0.855	0.0972
-1.77	0.925	0.11645
-1.65	0.865	0.1073
-1.5	0.78	0.120175
-1.62	0.89	0.13005
-1.45	0.71	0.09515
-1.68	0.9	0.1129
-1.42	0.765	0.120125
-1.74	0.93	0.109825
-1.71	0.875	0.110975
-1.73	0.92	0.096725
-1.78	0.945	0.094525
-1.54	0.81	0.101675
-1.67	0.87	0.11475
-1.74	0.91	0.10535
-1.56	0.83	0.1011
-1.52	0.825	0.104425
-1.61	0.815	0.1186
-1.77	0.92	0.114575
-1.73	0.925	0.102075
-1.76	0.895	0.1066
-1.72	0.89	0.101775
-1.74	0.925	0.114375
-1.54	0.855	0.09925
-1.8	0.935	0.1187
-1.71	0.905	0.0886
-1.63	0.87	0.112375
-1.67	0.87	0.09715
-1.65	0.87	0.0934
-1.67	0.89	0.10395
-1.67	0.815	0.103825
-1.6	0.825	0.1416
-1.76	0.935	0.12365
-1.78	0.94	0.101625
-1.7	0.82	0.11015
-1.89	0.97	0.10285
-1.67	0.905	0.103025
-1.71	0.885	0.09985
-1.66	0.86	0.091575
-1.64	0.855	0.096375
-1.45	0.795	0.13155
-1.56	0.79	0.120225
-1.83	0.95	0.1186
-1.83	0.945	0.110325
-1.7	0.915	0.11945
-1.67	0.875	0.0949
-1.62	0.87	0.103175
-1.77	0.93	0.1191
-1.53	0.835	0.111375
-1.78	0.94	0.116075
-1.76	0.93	0.10055
-1.67	0.89	0.1088
