#time	fwdEuler	bwdEuler	Heun	RK4
0 	0 	0 	0 	0
10.1010101010101 	1 	1 	1 	1
20.2020202020202 	1 	1 	893.011560943814 	6629.98679194058
30.3030303030303 	1 	1 	13796.0029084701 	716281.689804278
40.4040404040404 	1 	1 	293688.834096564 	110459325.095826
50.5050505050505 	1 	1.18594062964936 	11091376.4425619 	30246212504.2705
60.6060606060606 	3.88176175111325 	6.08109536622454 	649034522.346184 	12833028053306.7
70.7070707070707 	136.273471586463 	38.7251831040585 	122997995771.559 	1.7633363030068e+16
80.8080808080808 	1 	12.0697670591792 	1775217723672.66 	1.84528946911167e+18
90.9090909090909 	66.3404608346121 	3.11099450913919 	37931085971348.9 	2.85880095686449e+20
101.010101010101 	1 	1.0375032860368 	1.43552095934196e+15 	7.84465672048769e+22
111.111111111111 	1 	1 	9.00901222275422e+16 	3.56958186090439e+25
121.212121212121 	1 	1 	2.73591802469496e+19 	7.85993608524403e+28
131.313131313131 	1 	1 	2.03750315389016e+20 	4.24414279574338e+30
141.414141414141 	1 	1 	4.75776743525996e+21 	7.18572630053325e+32
151.515151515152 	1 	1.56455073781829 	1.88099299343757e+23 	2.05982537322428e+35
161.616161616162 	10.2977059011657 	6.9504634619781 	1.16965722647142e+25 	9.28704602869591e+37
171.717171717172 	1 	69.5097241173665 	3.66653952835937e+27 	2.11081963332793e+41
181.818181818182 	121.155223847974 	10.2792081455259 	2.6218131666741e+28 	1.09439035702033e+43
191.919191919192 	1 	2.62551088466246 	6.14641842403313e+29 	1.86023753661143e+45
202.020202020202 	31.0785971313121 	1.44370179365105 	2.43506341893729e+31 	5.34358007680331e+47
212.121212121212 	1 	1 	1.51862368305336e+33 	2.41628399850872e+50
222.222222222222 	1 	1 	1.89736808173432e+36 	2.18889618225686e+54
232.323232323232 	1 	1 	3.06210321380312e+36 	2.56135138700008e+55
242.424242424242 	1 	1 	7.75131192211825e+37 	4.70110893677521e+57
252.525252525253 	1 	1.95579359047773 	3.20610801923532e+39 	1.40986982505784e+60
262.626262626263 	17.8294492511819 	7.97489096707542 	2.13148629926464e+41 	6.79609082989387e+62
272.727272727273 	1 	326.154315904548 	2.86885719739383e+44 	6.63225665334363e+66
282.828282828283 	110.021926960807 	8.86664029115309 	3.94318973916804e+44 	6.60960996031693e+67
292.929292929293 	1 	2.17039957403836 	1.00162159588266e+46 	1.21732797009051e+70
303.030303030303 	27.8899458363278 	1.86352297885705 	4.1514846358531e+47 	3.65833203393515e+72
313.131313131313 	1 	1 	2.76895124317962e+49 	1.76917485211874e+75
323.232323232323 	1 	1 	4.46509307433995e+52 	2.06852954804089e+79
333.333333333333 	1 	1 	4.67053463795454e+52 	1.56882165011615e+80
343.434343434343 	1 	1 	1.2696376385019e+54 	3.09216406917328e+82
353.535353535354 	1 	2.36455097422943 	5.49339076266991e+55 	9.70060894744869e+84
363.636363636364 	26.893717836777 	9.21167909427995 	3.93589718723444e+57 	5.03939051227736e+87
373.737373737374 	1 	121.619263079756 	1.79108290686321e+60 	1.66274527288197e+91
