#time	fwdEuler	bwdEuler	Heun	RK4
0 	0 	0 	0 	0
0.019 	1 	0.934432228195798 	0.0144067797341211 	0.184016636201633
0.038 	0.502279681059169 	0.449259718293359 	0.0175136012429598 	0.101282292293638
0.057 	0.335506904731508 	0.286958001318793 	0.0184180401287007 	0.073440475303831
0.076 	0.251412105295458 	0.205389117263098 	0.0187352834573494 	0.0592813643859738
0.095 	0.200345345263162 	0.156131162926552 	0.0187874171401683 	0.0505628632685035
0.114 	0.165755102332268 	0.123043831972739 	0.0186808768516958 	0.0445365527473945
0.133 	0.140545687463283 	0.0992096083389088 	0.0184603301625284 	0.0400233602629115
0.152 	0.121166923894589 	0.0811694184516781 	0.0181471258798845 	0.0364325150034497
0.171 	0.105644067859121 	0.0670012495593107 	0.0177520896093659 	0.0334345200318993
0.19 	0.0927897475182914 	0.0555516131476194 	0.0172806193525076 	0.0308303169833326
0.209 	0.0819792590443258 	0.0459340508778451 	0.0168780010474181 	0.0286331003927611
0.228 	0.0724219537991387 	0.0379828512677197 	0.0162409135961042 	0.0264561688708128
0.247 	0.0639132599371021 	0.0311841175271095 	0.0155308592233267 	0.0243981323847757
0.266 	0.0561959895698865 	0.0252959155321521 	0.014744969394787 	0.0224124772135927
0.285 	0.0490779011565985 	0.0201406049460578 	0.0138794675221948 	0.0204630597232253
0.304 	0.0424107827471641 	0.0155847330252726 	0.0129296550979029 	0.0185205085399462
0.323 	0.0360767797889203 	0.0115260173679047 	0.0118898387871125 	0.0165598189547011
0.342 	0.0299791127800508 	0.00788465926329279 	0.0107532038566598 	0.0145586546607704
0.361 	0.024035519434569 	0.00459738996763307 	0.00951163124131322 	0.0124960690237676
0.38 	0.018173405315376 	0.00161329039198155 	0.0081554488191669 	0.0103514637203562
0.399 	0.0123260509901661 	0.00110921098021698 	0.00667310039041316 	0.00810365902877712
0.418 	0.00644594958920454 	0.00362110998927976 	0.00506725061534328 	0.00574651006670478
0.437 	0.000427264192505323 	0.00590957246129853 	0.0032794311868962 	0.00321320196205871
0.456 	0.00577244880219705 	0.00802456201220823 	0.00131425436349831 	0.000499967546599111
0.475 	0.0122270678490944 	0.00998752847109903 	0.000853619184342225 	0.00242722756830801
0.494 	0.019020766182444 	0.0118175896260001 	0.00325577510772018 	0.00560945475656416
0.513 	0.0262530529659785 	0.0135322944395471 	0.0059321320208866 	0.00909744883555826
0.532 	0.0340456571656275 	0.0151483686697989 	0.0089339422415961 	0.0129553225858305
0.551 	0.0425523708158716 	0.0166825261339894 	0.0123282126504265 	0.0172659882521071
