#h	fwdEuler	err	bwdEuler	err	Heun	err	RK4	err	Heun_naive	err	RK4_naive	err
9.99999999999999e-05 	0.0033891336 	3.50443861955668e-05 	0.0032420164 	9.99693255614953e-06 	0.00481958261 	4.89929023447503e-05 	0.00630329431 	5.56202980535635e-05 	0.00871191011 	5.32279734217609e-05 	0.01454767777 	0.000111728070660276
0.000102335204709726 	0.00343685833 	3.58946774492455e-05 	0.00328925191 	2.79576006177216e-05 	0.00454007587 	1.86207522633421e-05 	0.00614511067 	5.10700982480033e-05 	0.00847402652 	5.11145208814392e-05 	0.01408285157 	9.39119094255484e-05
0.000104724941229815 	0.00320679505 	1.22298728832841e-05 	0.00312497467 	1.29409842121454e-05 	0.00447325903 	2.88991156866159e-05 	0.00590213109 	2.83950060413023e-05 	0.00841668989 	7.14817937904064e-05 	0.01371760401 	8.01469904732503e-05
0.000107170482989671 	0.00326898686 	3.35135114695761e-05 	0.00305340784 	2.0020492776402e-05 	0.00438328915 	2.54331114217874e-05 	0.00597453718 	6.27224750868421e-05 	0.0081151636 	4.70048736261976e-05 	0.0136003727 	0.00010930983114177
0.000109673133155882 	0.00305452027 	1.40189420710194e-05 	0.00296560021 	1.640896071082e-05 	0.00421303025 	1.6084130819293e-05 	0.00569606244 	4.10684661577728e-05 	0.00798960679 	5.86214323432204e-05 	0.01309106474 	8.27867140950471e-05
0.000112234225326642 	0.00309374688 	2.67828816474261e-05 	0.00287183024 	1.30686161193695e-05 	0.0042824081 	4.32474363397861e-05 	0.00545331183 	9.29772587331704e-06 	0.00780684378 	6.04909394181511e-05 	0.01280342624 	8.26094384301567e-05
0.000114855124242394 	0.00292302093 	2.4126997873413e-05 	0.00298171724 	3.26655524045997e-05 	0.00402430924 	1.62512117083335e-05 	0.0055516298 	5.58116188878471e-05 	0.00762182865 	5.74772022175017e-05 	0.01250519543 	7.51115795785652e-05
0.000117537226513064 	0.00286194015 	1.21130267668752e-05 	0.00277960527 	1.25068807959932e-05 	0.00407080078 	3.78951456160281e-05 	0.00519993954 	9.21788012098015e-06 	0.00726543994 	9.64181434955996e-06 	0.01239006052 	9.9040481425238e-05
0.000120281961362278 	0.00295939366 	3.34434963206515e-05 	0.0027053997 	1.02368885813452e-05 	0.00383078569 	1.21764944834737e-05 	0.00528083266 	5.28798074871253e-05 	0.0073366016 	6.1252755318856e-05 	0.01203108333 	8.86121311910311e-05
0.00012309079138896 	0.00272659608 	1.07976192727343e-05 	0.00281523841 	3.12431573206754e-05 	0.00374696208 	1.35546909236931e-05 	0.00512649608 	4.45210855446075e-05 	0.00712012473 	5.57572575291605e-05 	0.01172348216 	7.57006886263338e-05
0.000125965213346714 	0.0026702545 	1.41322661353341e-05 	0.00259658635 	1.52882286298863e-05 	0.00384827205 	4.35778235206363e-05 	0.0048172166 	7.40314973710682e-06 	0.00697178963 	5.56482731387149e-05 	0.0115121522 	8.90358847753922e-05
0.000128906758941403 	0.00282724939 	3.74099991575105e-05 	0.002515287 	1.57088687491552e-05 	0.00357677003 	1.37576538881253e-05 	0.00490496125 	4.36990969889433e-05 	0.00662509288 	1.1855109036989e-05 	0.0112260236 	8.23601812599651e-05
0.000131916995647357 	0.00255405301 	1.77870559622466e-05 	0.00267656857 	3.55648527650295e-05 	0.00361131677 	2.88217270359322e-05 	0.00459734598 	9.89599996883805e-06 	0.00667768017 	5.95013301300306e-05 	0.01090626399 	7.28510592736321e-05
