#h	fwdEuler	bwdEuler	Heun	RK4
1000 	0.0494569472729635 	0.0479306613005634 	0.0501652357682773 	0.0491080626436653
1011 	0.047246614149245 	0.0484072957621542 	0.0484898557648613 	0.0460024902785863
1023 	0.0740217149760838 	0.0628540457343103 	0.0495032293406861 	0.049594094019339
1035 	0.0717931228482651 	0.0715594579242349 	0.0729951642950662 	0.0730098356070821
1047 	0.0588986061475551 	0.0482205118266372 	0.0729717236673806 	0.0473689283565935
1059 	0.0733438721566777 	0.0475546346340888 	0.0495259324717369 	0.0497571568243506
1071 	0.0499423780571072 	0.0485093815141825 	0.0460805385303051 	0.0460676496593245
1083 	0.0711663413741761 	0.0476252722326383 	0.0362038884240795 	0.0373460893111627
1096 	0.0175124775302622 	0.0489027014832894 	0.0566644846511211 	0.058573521899654
1109 	0.0723701999343426 	0.0470632931362476 	0.0488457673327661 	0.0490802605219912
1122 	0.048102735053298 	0.0471167391803794 	0.0504823182261606 	0.0393109420608976
1135 	0.0723684801467733 	0.0721171730286604 	0.0723739365386688 	0.072314481387874
1148 	0.0218334680556182 	0.049141813793159 	0.0563109422739841 	0.0471066091521218
1161 	0.0493239729880665 	0.047860990845922 	0.0495197107822288 	0.0471094531079337
1174 	0.0549919382253207 	0.0384218026115833 	0.0723572195521506 	0.0716406370918789
1188 	0.0715302460176213 	0.0478781604252033 	0.0617090417961958 	0.0629821928403236
1202 	0.0741756423117581 	0.0509284333491178 	0.0477013112877821 	0.0477806187894051
1216 	0.0569617257312867 	0.0483890957066658 	0.0479332556217231 	0.0706861206793814
1230 	0.0736197088569786 	0.0475993663353569 	0.0475970741361496 	0.0476747989703143
1244 	0.0727417694299 	0.0730152113381461 	0.0380564909918942 	0.062381315980184
1258 	0.0190684276797409 	0.0479506142525285 	0.0696588550570862 	0.0724294651526588
1273 	0.0722183636462462 	0.0637532895059503 	0.0484093425475002 	0.0373002485193257
1288 	0.0730730023726506 	0.0477265216478454 	0.0615462672519403 	0.0571780737505441
1303 	0.0374201402973737 	0.0483848536394213 	0.073359389963644 	0.0719625984283828
1318 	0.0564222016389898 	0.0486286158230189 	0.0472575637859209 	0.0713365253068545
1333 	0.0578407115225172 	0.0474882799061683 	0.0372498266101715 	0.0617503906297814
1348 	0.0186611347193172 	0.050030964895689 	0.0563666128941413 	0.0366290457078563
1364 	0.0575029056107503 	0.0372869648184417 	0.0728232209636031 	0.0728283339864272
1380 	0.0704931411110385 	0.0486537901084597 	0.0484080511904627 	0.0195202112966053
1396 	0.0718802122016651 	0.0705086667829613 	0.0542496414707895 	0.054732767193857
1412 	0.0183517871172398 	0.0476018684258562 	0.0487065767760379 	0.037785340742955
1428 	0.0573354147725319 	0.0366925840716557 	0.0734077548483132 	0.0733915225437797
1445 	0.0553118813440799 	0.0633375699793569 	0.070855218948403 	0.0707453572721194
1462 	0.0188349656919201 	0.047220545953387 	0.0482925120708637 	0.0371805840340878
1479 	0.0160229786892809 	0.0494136967757659 	0.0710355858934687 	0.0721725946983355
1496 	0.0717078858011279 	0.0708185512793735 	0.0552064697396664 	0.0548943447449498
1513 	0.0726615225134285 	0.0629582856069957 	0.0564061724751831 	0.0472660652741588
1531 	0.0182364814545509 	0.0490685530470014 	0.0469855991494832 	0.0470468613161723
1548 	0.0163926892683698 	0.073277352450742 	0.0547164838855219 	0.0566125121476385
1566 	0.0560372195682507 	0.0728816347762892 	0.0710360375200236 	0.0703969739752142
1584 	0.0716154072046896 	0.0733712793291598 	0.0566330484292422 	0.0550864990906662
1603 	0.0627191898748127 	0.0377882840383359 	0.0709311262582226 	0.0561487177179159
1621 	0.0489387139985554 	0.0493133074086741 	0.0477758393291558 	0.0478335142330501
1640 	0.0621401446024829 	0.0474302965500569 	0.0545617323050318 	0.0550364761707826
1659 	0.0712846142145533 	0.0716273813390875 	0.014210542560713 	0.0560096351931447
1678 	0.055450248688359 	0.0700300132996175 	0.0721030315821598 	0.0567703489292891
1698 	0.0159212117207514 	0.0724521225993743 	0.0541367301300915 	0.053975295095949
1717 	0.0711142538798873 	0.0701372350109572 	0.0558298674263994 	0.0732333638216411
1737 	0.054779598373696 	0.0729826847395223 	0.0707376382789465 	0.0707391587928407
1757 	0.0710263523044216 	0.0703335596256516 	0.0565857832790267 	0.0563366488333419
1778 	0.0719775652577262 	0.0711487324512166 	0.0549852054524731 	0.0547570683678567
1798 	0.0555526977435998 	0.0719541130312451 	0.0709949688972278 	0.070892538609804
1819 	0.0577838074516387 	0.0620800422766731 	0.0545107666044536 	0.0722990290984649
1840 	0.0168185076367679 	0.0488726206566844 	0.0553600366724558 	0.0552104399545148
1862 	0.0148857543794209 	0.0488078125715233 	0.0624280802065117 	0.0725769822425948
1883 	0.017946234623205 	0.0549802808183895 	0.0709164559880149 	0.0715309958668008
1905 	0.070026683145817 	0.0723998029040016 	0.055868930337481 	0.0545786864781316
1927 	0.0561067229699557 	0.0555747861292175 	0.0711267509590146 	0.0710320296475871
1949 	0.0548069306330954 	0.0709919149291506 	0.0544869257167367 	0.0542745007055522
1972 	0.0143278690538694 	0.0484919612432729 	0.0546194924775696 	0.0154043286650324
1995 	0.0161849442747154 	0.0720491729060849 	0.0559211239258407 	0.0556629221384222
2018 	0.0553195483060267 	0.0705079813163396 	0.069785764844112 	0.0549996600759055
2041 	0.0544106536107101 	0.047760852161992 	0.0492284366095879 	0.0565168378606687
2065 	0.0553052226131046 	0.0705695798401652 	0.0161199774089602 	0.0157130868244262
2089 	0.0546906459045938 	0.0546899573696098 	0.0720161775569851 	0.0555772618288614
2113 	0.0562858774645795 	0.0709405734524006 	0.0623236207400846 	0.0624051336310173
2137 	0.0544277920935133 	0.0548674558095802 	0.0703059552713544 	0.055974889223066
2162 	0.0553372403597562 	0.0477236246583533 	0.0697320634777984 	0.0546807995057176
2187 	0.0549925294577622 	0.0550735984647717 	0.0702716667256866 	0.0548539778799169
2213 	0.0557187302202951 	0.070019933549017 	0.0619720624859221 	0.0620412093438957
2238 	0.0552920196589839 	0.0697843213853746 	0.0548130218121152 	0.0545989920777368
2264 	0.0149387862226575 	0.0718337816132976 	0.0549250131101886 	0.0547436910979351
