#h	fwdEuler	bwdEuler	Heun	RK4
0.000229086765276777 	3.29099448047296e-07 	1.76513938819865e-07 	9.99861211475907e-08 	1.00003468978013e-07
0.000234422881531992 	3.34331188458998e-07 	1.80988193719974e-07 	9.98804837125784e-08 	9.98987982989942e-08
0.000239883291901949 	3.39961117700141e-07 	1.85663458123786e-07 	1.00048771088502e-07 	1.00068280398345e-07
0.000245470891568503 	3.45298020452746e-07 	1.9010144050459e-07 	9.9796957404505e-08 	9.98172493661977e-08
0.000251188643150958 	3.51129961507647e-07 	1.95103435864097e-07 	9.99097465198586e-08 	9.99306504064272e-08
0.000257039578276886 	3.57138090958829e-07 	2.00283749572456e-07 	1.00065539845145e-07 	1.00087424074988e-07
0.000263026799189538 	3.63083174810588e-07 	2.05368426843993e-07 	1.0002154468861e-07 	1.00044604966916e-07
0.000269153480392692 	3.69184761830908e-07 	2.10721698742432e-07 	9.99947686278071e-08 	1.00018923094658e-07
0.000275422870333816 	3.75419749790479e-07 	2.16143113111345e-07 	9.99587950012565e-08 	9.99842734433034e-08
0.000281838293126445 	3.81687432704049e-07 	2.21632788720042e-07 	9.98091111646869e-08 	9.98355884121587e-08
0.00028840315031266 	3.88471325322056e-07 	2.27637016736437e-07 	1.00025965913552e-07 	1.00053754078463e-07
0.000295120922666639 	3.95472951256562e-07 	2.33913023803358e-07 	1.00308528575634e-07 	1.00337798228829e-07
0.000301995172040202 	4.01776020130622e-07 	2.39467054123981e-07 	9.97353409774731e-08 	9.97655068678364e-08
0.000309029543251359 	4.09016045308073e-07 	2.46003505800761e-07 	9.99381224880196e-08 	9.99697245030622e-08
0.000316227766016838 	4.16219252047624e-07 	2.5246489808594e-07 	9.99406285662271e-08 	9.99740186800361e-08
0.000323593656929628 	4.23613042755659e-07 	2.59120575671248e-07 	9.99665304726759e-08 	1.00001385844735e-07
0.000331131121482591 	4.31217779257693e-07 	2.65988103124552e-07 	1.00031667871759e-07 	1.00068162119646e-07
0.000338844156139202 	4.38853416521466e-07 	2.72995893673889e-07 	9.99509208867181e-08 	9.99889835678391e-08
0.000346736850452531 	4.4661901797103e-07 	2.80297926433278e-07 	9.98219462424058e-08 	9.98620319470771e-08
0.000354813389233575 	4.5476413649791e-07 	2.87614952015333e-07 	9.98872878795838e-08 	9.9929246049989e-08
0.000363078054770101 	4.62985756206979e-07 	2.95136571088555e-07 	9.9840464650557e-08 	9.98845928079636e-08
0.000371535229097172 	4.71476698751049e-07 	3.02924616153487e-07 	9.98718507733837e-08 	9.991767442979e-08
0.000380189396320561 	4.80029610790761e-07 	3.10910754442309e-07 	9.97668659882616e-08 	9.98148461991857e-08
0.00038904514499428 	4.89065761752031e-07 	3.19250082544608e-07 	9.99439418720862e-08 	9.9994479422127e-08
0.000398107170553497 	4.98535118799186e-07 	3.2809995190043e-07 	1.0034764863237e-07 	1.00400295662035e-07
0.000407380277804112 	5.07329559253426e-07 	3.3630964414974e-07 	9.98648911182828e-08 	9.9920350712319e-08
0.000416869383470335 	5.16721727875692e-07 	3.45199311716526e-07 	9.97650616028627e-08 	9.98231214152636e-08
0.000426579518801592 	5.26802840547673e-07 	3.54326637922798e-07 	1.00130743763143e-07 	1.00191544456759e-07
