# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.25 	-1.1181 	0.000375761 	0.0528123 	0.000314727 	8.84803 	0.0946032 	4.92949 	0.0648562
0.26 	-1.18406 	0.000406564 	0.0577103 	0.000362792 	9.15607 	0.108221 	5.94825 	0.085202
0.27 	-1.2521 	0.00047143 	0.0622597 	0.000405239 	9.30556 	0.0955804 	6.95396 	0.0997557
0.28 	-1.32201 	0.000440118 	0.0688991 	0.000443971 	9.75119 	0.107492 	8.51815 	0.128116
0.29 	-1.39553 	0.000459961 	0.0781782 	0.000663616 	10.2939 	0.117461 	10.8103 	0.189617
0.3 	-1.47383 	0.000423915 	0.0892801 	0.000752851 	10.906 	0.126035 	13.8647 	0.239679
0.31 	-1.55519 	0.000566682 	0.106129 	0.00112089 	11.5814 	0.129121 	20.1656 	0.433132
0.32 	-1.64061 	0.000596311 	0.12962 	0.00176147 	12.4778 	0.147134 	29.4465 	0.816148
0.33 	-1.73625 	0.000803076 	0.164191 	0.00274944 	13.2722 	0.154776 	44.0297 	1.30041
0.34 	-1.84507 	0.00111038 	0.238739 	0.00570061 	15.7612 	0.229813 	87.3532 	2.95311
0.35 	-1.9794 	0.00227302 	0.42785 	0.00899348 	21.4446 	0.440015 	162.456 	4.96312
0.36 	-2.16064 	0.00245015 	0.754524 	0.00877553 	22.6667 	0.55328 	100.484 	12.3154
0.37 	-2.30365 	0.00144905 	0.917396 	0.00292586 	16.2174 	0.350883 	21.9307 	4.31656
0.38 	-2.40402 	0.000757441 	0.987526 	0.000813888 	11.7286 	0.14147 	6.35301 	0.323051
0.39 	-2.48186 	0.000550934 	1.02826 	0.000647656 	9.32311 	0.116937 	3.43937 	0.248022
0.4 	-2.54302 	0.000446894 	1.05524 	0.000310269 	7.62002 	0.0828568 	2.13025 	0.0568379
0.41 	-2.59248 	0.000389305 	1.07455 	0.000226493 	6.40266 	0.0779981 	1.50319 	0.0323989
0.42 	-2.63539 	0.000352733 	1.08998 	0.000195344 	5.31517 	0.0584596 	1.14432 	0.0348247
0.43 	-2.67138 	0.00032495 	1.10219 	0.000130429 	4.5517 	0.0517017 	0.869989 	0.0112298
0.44 	-2.70179 	0.000286976 	1.11189 	0.000140379 	3.74209 	0.0369935 	0.702315 	0.00904605
0.45 	-2.72791 	0.00025426 	1.11974 	0.000121982 	3.2479 	0.0365858 	0.610071 	0.00727623
