#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.13882 	0 	0.346875 	0	4.88886 	0 	21.7061 	0	1.03947 	-nan 	2.13397 	-nan
0.41	-1.17824 	0 	0.335938 	0	7.06464 	0 	19.8015 	0	1.05222 	-nan 	1.99583 	-nan
0.42	-1.24118 	0 	0.433125 	0	6.34298 	0 	16.8123 	0	1.04124 	-nan 	1.59551 	-nan
0.43	-1.35706 	0 	0.678438 	0	5.03889 	0 	8.4809 	0	1.02496 	-nan 	1.11342 	-nan
0.44	-1.5 	0 	0.739687 	0	6.12235 	0 	6.56684 	0	1.0288 	-nan 	1.10376 	-nan
0.45	-1.46059 	0 	0.645937 	0	11.7857 	0 	25.144 	0	1.05841 	-nan 	1.31224 	-nan
0.46	-1.58412 	0 	0.80875 	0	4.12263 	0 	3.87312 	0	1.01642 	-nan 	1.05039 	-nan
0.47	-1.60118 	0 	0.829375 	0	4.35709 	0 	1.74234 	0	1.01678 	-nan 	1.02455 	-nan
0.48	-1.70294 	0 	0.895 	0	3.0436 	0 	0.73125 	0	1.01028 	-nan 	1.00893 	-nan
0.49	-1.66706 	0 	0.8725 	0	4.55419 	0 	1.4825 	0	1.01697 	-nan 	1.01928 	-nan
0.5	-1.73353 	0 	0.895313 	0	5.79737 	0 	1.58934 	0	1.01819 	-nan 	1.01846 	-nan
