# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-1.00471 	0.000715488 	0.0990963 	0.000585887 	7.20422 	0.0787995 	5.70181 	0.0757065
0.35 	-1.21831 	0.000627032 	0.133614 	0.000840894 	8.05531 	0.0899369 	10.2364 	0.135038
0.36 	-1.26352 	0.000740625 	0.145862 	0.000982685 	8.22872 	0.0888797 	12.1731 	0.174655
0.37 	-1.30991 	0.000674562 	0.157821 	0.00101073 	8.74676 	0.11175 	14.1132 	0.18321
0.38 	-1.36066 	0.000828825 	0.1756 	0.00134362 	8.79806 	0.0958755 	17.0554 	0.271706
0.39 	-1.41224 	0.000878582 	0.194544 	0.00156263 	9.20552 	0.109881 	20.8801 	0.358329
0.4 	-1.46643 	0.000822975 	0.218511 	0.00207298 	9.83814 	0.115046 	26.224 	0.47332
0.405 	-1.49335 	0.000947741 	0.231923 	0.00217873 	10.1369 	0.103995 	28.9116 	0.495208
0.41 	-1.52417 	0.00103472 	0.254516 	0.00286964 	10.862 	0.134737 	34.3023 	0.706105
0.415 	-1.55277 	0.000942249 	0.271742 	0.0029247 	10.8977 	0.126142 	38.1874 	0.727536
0.42 	-1.585 	0.00122757 	0.300486 	0.00411908 	11.4743 	0.148766 	44.7255 	0.877787
0.425 	-1.61893 	0.00143949 	0.333129 	0.00453179 	12.0955 	0.181032 	53.0127 	1.04155
0.43 	-1.65017 	0.00136285 	0.362359 	0.00448483 	12.7609 	0.17831 	58.0501 	0.889348
0.435 	-1.69128 	0.00173386 	0.420894 	0.00590622 	14.441 	0.24987 	69.8888 	1.06668
0.44 	-1.73252 	0.00201262 	0.468617 	0.00673178 	15.4397 	0.23531 	79.8706 	1.25867
0.445 	-1.77958 	0.00248564 	0.538635 	0.00892806 	17.5965 	0.26736 	90.3096 	1.23765
0.45 	-1.83317 	0.00274798 	0.635706 	0.00883286 	18.6191 	0.243688 	88.2058 	1.81045
0.46 	-1.9417 	0.00293197 	0.803819 	0.00885711 	20.0553 	0.30225 	75.7027 	3.24677
0.47 	-2.04219 	0.00287673 	0.936707 	0.00730167 	18.107 	0.379735 	55.7005 	4.05892
0.48 	-2.1365 	0.00183671 	1.05393 	0.00353338 	13.6576 	0.310728 	22.1359 	2.06609
0.53 	-2.38581 	0.000657915 	1.22704 	0.000507838 	5.5584 	0.0603875 	2.60825 	0.0643825
