# nm = 1000 nc = 100 len = 1024 npart = 1 beta = 3
#part 	obs1 	obs2
0	0.0322097	0.00139754
0	0.034714	0.0014606
0	0.039736	0.00137685
0	0.0392601	0.00147211
0	0.0407459	0.0015346
0	0.0371958	0.00131892
0	0.0400401	0.00144762
0	0.0447451	0.00141759
0	0.0420413	0.00146382
0	0.0479211	0.00145895
0	0.0453494	0.00141271
0	0.0485467	0.00141616
0	0.0458976	0.00140226
0	0.0444941	0.0015618
0	0.0490765	0.00135595
0	0.0503726	0.00152009
0	0.0513436	0.00145891
0	0.0520245	0.00138874
0	0.0490077	0.00149487
0	0.0464684	0.00143699
0	0.049228	0.00148402
0	0.0428229	0.0014335
0	0.0448582	0.00138494
0	0.0497039	0.00163774
0	0.0458833	0.00151484
0	0.043895	0.00136353
0	0.0506074	0.00139069
0	0.0535722	0.00132578
0	0.0548855	0.00145832
0	0.0543034	0.00143307
0	0.0573129	0.00146549
0	0.0545672	0.00148152
0	0.0567896	0.00145945
0	0.0553215	0.00144284
0	0.0527295	0.00148889
0	0.0532189	0.00143764
0	0.059263	0.00145249
0	0.0554955	0.00136705
0	0.0566873	0.00131114
0	0.0529942	0.00156134
0	0.0551531	0.00152693
0	0.0551203	0.00147441
0	0.054511	0.00138193
0	0.0516617	0.00138767
0	0.0559756	0.00130475
0	0.0589762	0.00127118
0	0.0602513	0.00145009
0	0.0645121	0.00146111
0	0.0684215	0.00154421
0	0.0635008	0.00148145
0	0.0624943	0.00146097
0	0.0703084	0.00140241
0	0.0716496	0.00139974
0	0.0710082	0.00144026
0	0.0740022	0.00152649
0	0.0724345	0.00137286
0	0.0714853	0.00138935
0	0.0752069	0.00146741
0	0.0761728	0.00150073
0	0.0816982	0.00154122
0	0.0826995	0.00143263
0	0.0808779	0.00129008
0	0.0905932	0.00152723
0	0.0931337	0.00153613
0	0.0887576	0.00144568
0	0.0819741	0.00154506
0	0.0855908	0.00152232
0	0.0843038	0.00137005
0	0.0885939	0.00154007
0	0.0857412	0.00148659
0	0.0882245	0.00152231
0	0.0852307	0.00140777
0	0.0794321	0.0014276
0	0.0771648	0.00142237
0	0.0744929	0.001438
0	0.0741281	0.00140251
0	0.0785885	0.00146959
0	0.0781231	0.0015301
0	0.0793612	0.00144026
0	0.0847028	0.00139185
0	0.0821452	0.0013967
0	0.0833981	0.00149716
0	0.0796518	0.00141931
0	0.0832087	0.00153916
0	0.0862578	0.00149581
0	0.085667	0.00139436
0	0.0819465	0.00144061
0	0.0828505	0.00140032
0	0.0895939	0.00146395
0	0.0843779	0.00153472
0	0.0865972	0.00148678
0	0.085092	0.00139589
0	0.0846061	0.00151558
0	0.0816718	0.00142578
0	0.0797816	0.00149774
0	0.0792857	0.00145861
0	0.0798846	0.00144272
0	0.0788328	0.00145177
0	0.0787829	0.00150484
0	0.0745083	0.00148181
0	0.0722836	0.00145856
0	0.078345	0.00145764
0	0.0784612	0.00143404
0	0.0779549	0.00145374
0	0.0763993	0.00146924
0	0.0709736	0.00147064
