# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704466 	4.86784e-05 	0.016779 	5.04403e-05 	3.19547 	0.0180973 	2.6234 	0.0171913
0.35 	-0.879837 	6.36482e-05 	0.0244815 	8.31391e-05 	3.90716 	0.0212074 	5.67793 	0.0469921
0.36 	-0.919881 	6.67245e-05 	0.0271034 	9.99218e-05 	4.12535 	0.0220397 	6.8714 	0.0562294
0.37 	-0.961887 	6.38087e-05 	0.0304526 	0.000129026 	4.33753 	0.0262039 	8.69284 	0.0878668
0.38 	-1.00666 	7.06795e-05 	0.0346622 	0.000162273 	4.6267 	0.0249219 	11.3001 	0.109856
0.39 	-1.05446 	8.17582e-05 	0.0406821 	0.000254569 	4.92595 	0.0279785 	15.4805 	0.190127
0.4 	0 	0 	0 	0 	0 	0 	0 	0
0.405 	-1.13375 	9.70594e-05 	0.0557087 	0.000448999 	5.60161 	0.0354985 	28.1852 	0.449051
0.41 	-1.16267 	0.000110629 	0.0631799 	0.000568986 	5.89891 	0.0364303 	36.7939 	0.687094
0.415 	-1.19305 	0.000128382 	0.0743562 	0.000842548 	6.34151 	0.0362037 	50.6245 	1.17535
0.4175 	-1.20986 	0.000368499 	0.0794804 	0.00225086 	6.43587 	0.0947644 	58.158 	3.25104
0.42 	-1.22612 	0.000156982 	0.087009 	0.00112959 	6.72157 	0.0416283 	72.0621 	1.94467
0.4225 	-1.24268 	0.000470616 	0.101104 	0.00352988 	7.28577 	0.116779 	89.0241 	5.49047
0.425 	-1.26173 	0.000202018 	0.119581 	0.00194813 	7.45551 	0.0563856 	127.924 	3.90312
0.4275 	-1.28079 	0.000492359 	0.12854 	0.00508133 	7.48612 	0.152072 	145.648 	9.29659
0.43 	-1.30056 	0.00024827 	0.161209 	0.00269825 	8.36189 	0.0864304 	209.654 	6.18743
0.4325 	-1.32319 	0.000874709 	0.213748 	0.00885879 	9.78828 	0.301024 	363.853 	24.9564
0.435 	-1.34753 	0.000425258 	0.277654 	0.00457007 	10.7219 	0.153721 	432.207 	10.6524
0.4375 	-1.37647 	0.00107694 	0.395275 	0.00949958 	12.1914 	0.358327 	446.918 	28.5353
0.44 	-1.41181 	0.00128119 	0.537234 	0.00882102 	13.8282 	0.584478 	381.633 	40.1135
0.4425 	-1.44142 	0.000972236 	0.624327 	0.005664 	11.3967 	0.392601 	155.37 	21.1017
0.445 	-1.46827 	0.000383975 	0.681369 	0.00162487 	10.1398 	0.14064 	77.007 	5.80216
0.4475 	-1.49339 	0.00067184 	0.723797 	0.00250438 	8.79223 	0.213495 	39.4972 	5.59179
0.45 	-1.51316 	0.000230425 	0.749391 	0.000898248 	8.0069 	0.107508 	27.0587 	4.96962
0.46 	-1.58127 	0.000120727 	0.814745 	0.000231138 	5.87442 	0.0384345 	5.97689 	0.211268
0.47 	-1.6343 	9.37052e-05 	0.852082 	0.000103622 	4.77296 	0.0268644 	2.79528 	0.0362431
0.48 	-1.67779 	7.25619e-05 	0.877571 	6.66407e-05 	3.94264 	0.0211729 	1.6423 	0.0151414
0.53 	-1.81639 	0.000165954 	0.936222 	0.00156855 	2.35403 	0.131253 	50.3492 	17.5277
