# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-1.00377 	0.00133453 	0.199849 	0.00111804 	7.25053 	0.0776627 	5.60382 	0.0660087
0.35 	-1.21667 	0.00145168 	0.271381 	0.0015769 	8.16147 	0.0821139 	9.83342 	0.107522
0.36 	-1.26679 	0.0014827 	0.295711 	0.00189504 	8.48744 	0.102354 	11.2591 	0.147762
0.37 	-1.31438 	0.0016405 	0.31964 	0.00211157 	8.94475 	0.0976457 	12.9125 	0.154739
0.38 	-1.36441 	0.00153484 	0.351969 	0.00250531 	9.5019 	0.123168 	15.0497 	0.185202
0.39 	-1.42085 	0.00190393 	0.389164 	0.00281822 	10.2218 	0.121923 	17.8072 	0.191172
0.4 	-1.48749 	0.00197788 	0.444573 	0.00322179 	11.6746 	0.156275 	21.2393 	0.196044
0.405 	-1.51669 	0.00214154 	0.469681 	0.00362705 	12.0921 	0.149962 	22.4825 	0.218344
0.41 	-1.55248 	0.002246 	0.501484 	0.0037968 	12.4199 	0.163473 	23.5957 	0.191263
0.415 	-1.58315 	0.00242364 	0.527886 	0.00417262 	13.2215 	0.166247 	25.1742 	0.208528
0.42 	-1.62295 	0.00252017 	0.570968 	0.00425022 	14.1479 	0.174309 	26.5251 	0.236974
0.425 	-1.66322 	0.00291993 	0.608825 	0.00411485 	14.7793 	0.14801 	27.5776 	0.237128
0.43 	-1.70593 	0.00258676 	0.652806 	0.00455526 	15.2092 	0.170424 	28.1451 	0.247333
0.435 	-1.75486 	0.00293533 	0.710118 	0.00486663 	16.2372 	0.159204 	27.7971 	0.291324
0.44 	-1.79803 	0.00323042 	0.751851 	0.00440186 	16.9689 	0.177765 	28.0487 	0.317592
0.445 	-1.8407 	0.00324231 	0.792095 	0.00459118 	16.9508 	0.184767 	27.4787 	0.411646
0.45 	-1.89804 	0.00339992 	0.852971 	0.00502945 	16.4336 	0.169778 	24.6678 	0.505344
0.46 	-1.98113 	0.00289962 	0.932704 	0.00438585 	15.606 	0.167504 	20.6941 	0.485745
0.47 	-2.06953 	0.00274063 	1.0098 	0.0039366 	14.7066 	0.204127 	16.4198 	0.543752
0.48 	-2.14587 	0.00270552 	1.07474 	0.00330293 	12.2439 	0.182719 	11.4582 	0.504396
0.53 	-2.38629 	0.00122536 	1.22701 	0.00110727 	5.76816 	0.0925775 	2.84487 	0.183429
