# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.2 	-0.989613 	9.24519e-05 	0.0189594 	5.7362e-05 	8.28854 	0.0453948 	3.32613 	0.0216904
0.22 	-1.16915 	0.000104824 	0.0247849 	7.59064e-05 	9.76111 	0.0534409 	5.70661 	0.0447347
0.24 	-1.38555 	0.000118901 	0.0370322 	0.000183677 	12.0513 	0.0690928 	12.8731 	0.137716
0.245 	-1.448 	0.000293557 	0.0416784 	0.000687982 	12.9627 	0.140354 	16.5521 	0.592732
0.25 	-1.51454 	0.000378476 	0.0510265 	0.000981826 	14.031 	0.17466 	23.1416 	0.76185
0.255 	-1.5873 	0.000431483 	0.0620099 	0.00157868 	14.8752 	0.181744 	34.7998 	1.74014
0.26 	-1.66627 	0.000209719 	0.0778389 	0.000955906 	16.8261 	0.101234 	55.2308 	1.37073
0.2625 	-1.70962 	0.000616573 	0.093481 	0.0030204 	17.8531 	0.276738 	73.9346 	5.08158
0.265 	-1.75505 	0.000734336 	0.111165 	0.00395221 	18.8612 	0.314358 	101.213 	5.74238
0.2675 	-1.80592 	0.000906858 	0.139611 	0.0051669 	20.4354 	0.389667 	167.395 	12.3426
0.27 	-1.86486 	0.00119785 	0.237508 	0.0082307 	25.9147 	0.799343 	321.282 	21.1545
0.2725 	-1.93077 	0.00165265 	0.345638 	0.010495 	30.6484 	1.0223 	495.358 	26.903
0.275 	-2.01994 	0.00164368 	0.568749 	0.006582 	30.312 	0.91969 	217.602 	24.6013
0.2775 	-2.0908 	0.0012542 	0.674769 	0.00299755 	25.8763 	0.71877 	62.6031 	9.43513
0.28 	-2.1511 	0.00034571 	0.731933 	0.000607033 	21.235 	0.179916 	20.7347 	0.91
0.2825 	-2.20036 	0.000668845 	0.764258 	0.000981266 	18.3806 	0.306948 	12.0477 	0.789433
0.285 	-2.24392 	0.00080811 	0.783359 	0.00374128 	18.0458 	0.762462 	57.2927 	28.3855
0.2875 	-2.28437 	0.000501292 	0.808744 	0.00091221 	15.2476 	0.295866 	8.23122 	2.52247
0.29 	-2.3198 	0.000410217 	0.824667 	0.000382602 	13.9752 	0.186734 	3.83906 	0.159483
0.3 	-2.43982 	0.000108339 	0.869596 	5.41557e-05 	10.3384 	0.0610315 	1.52063 	0.0126964
0.32 	-2.60409 	7.82858e-05 	0.917415 	2.42255e-05 	6.51377 	0.0356389 	0.527329 	0.00315792
0.34 	-2.71174 	6.3888e-05 	0.94348 	1.62543e-05 	4.45505 	0.0247518 	0.260132 	0.00149715
0.36 	-2.78647 	5.14179e-05 	0.959771 	1.18864e-05 	3.12729 	0.0170201 	0.15 	0.000858235
0.38 	-2.83992 	4.9808e-05 	0.970675 	9.57763e-06 	2.27906 	0.0119983 	0.0958733 	0.000493821
