# nm = 1024 nc = 100 len = 60 extf = 0 beta = 0.457
#energy 	magnetization 	acceptance
-1.60556	0.806667	0.143211
-1.48	0.743889	0.148214
-1.60111	0.787222	0.147689
-1.62	0.838333	0.1465
-1.57111	0.805556	0.156047
-1.60778	0.842778	0.141619
-1.55	0.748889	0.142769
-1.54222	0.711111	0.165872
-1.52111	0.754444	0.156967
-1.5	0.691111	0.156606
-1.54222	0.752222	0.161067
-1.58778	0.825	0.146058
-1.53333	0.797222	0.133011
-1.6	0.847778	0.141864
-1.56889	0.826667	0.141644
-1.59667	0.821667	0.146614
-1.47667	0.705	0.15045
-1.58	0.792222	0.145936
-1.58778	0.819444	0.150431
-1.58778	0.855	0.135689
-1.54778	0.767222	0.141594
-1.57222	0.821667	0.150394
-1.60111	0.839444	0.14645
-1.57222	0.837778	0.139747
-1.56	0.812222	0.142222
-1.6	0.845556	0.137444
-1.59333	0.824444	0.141278
-1.57444	0.783333	0.143178
-1.61889	0.865556	0.132372
-1.68	0.870556	0.142608
-1.52444	0.768333	0.14335
-1.54667	0.807778	0.144358
-1.64	0.864444	0.130094
-1.57778	0.823889	0.139525
-1.52556	0.785556	0.152753
-1.55889	0.790556	0.148508
-1.60111	0.836667	0.148825
-1.54333	0.829444	0.138714
-1.53333	0.791111	0.145386
-1.50111	0.761111	0.146356
-1.60556	0.841111	0.137783
-1.55556	0.782222	0.14495
-1.60222	0.818889	0.149083
-1.58444	0.803333	0.142489
-1.65333	0.828333	0.150042
-1.60778	0.827778	0.147886
-1.58333	0.816111	0.142647
-1.59111	0.825556	0.143714
-1.47889	0.747778	0.143867
-1.46333	0.725556	0.165206
-1.55111	0.786667	0.147467
-1.57	0.816667	0.142367
-1.56556	0.798889	0.146194
-1.57556	0.777778	0.150439
-1.59667	0.858889	0.1469
-1.56	0.825556	0.135078
-1.58889	0.831667	0.136392
-1.52778	0.808889	0.142881
-1.54667	0.822778	0.137597
-1.51889	0.780556	0.147806
-1.57222	0.769444	0.148744
-1.62111	0.815	0.153072
-1.64111	0.872222	0.135175
-1.58889	0.846111	0.141675
-1.58333	0.793889	0.133233
-1.53	0.813889	0.140817
-1.62556	0.851111	0.140558
-1.57444	0.830556	0.134036
-1.48556	0.737778	0.145714
-1.64667	0.854444	0.147067
-1.56	0.790556	0.148781
-1.55222	0.810556	0.144033
-1.55	0.81	0.139819
-1.56111	0.817222	0.136686
-1.59	0.828889	0.135025
-1.62444	0.848889	0.134522
-1.57556	0.813889	0.133875
-1.58333	0.845	0.138689
-1.59444	0.828889	0.138492
-1.55111	0.773333	0.146078
-1.52222	0.785556	0.141494
-1.51667	0.8	0.132433
-1.59556	0.798889	0.140894
-1.60778	0.855	0.133953
-1.60444	0.841111	0.137092
-1.55111	0.765	0.140414
-1.52556	0.753333	0.148197
-1.60556	0.845556	0.142478
-1.58111	0.813889	0.142725
-1.51667	0.788333	0.141589
-1.66111	0.848889	0.141225
-1.60778	0.805	0.142458
-1.64	0.867778	0.138597
-1.56222	0.762778	0.137103
-1.57	0.824444	0.134575
-1.60222	0.838333	0.137481
-1.57333	0.813889	0.140394
-1.57778	0.82	0.154531
-1.62333	0.840556	0.149703
-1.58556	0.834444	0.137447
-1.49444	0.734444	0.148789
-1.51222	0.764444	0.157617
-1.45111	0.691111	0.154594
-1.49	0.768333	0.149108
-1.52111	0.771111	0.142603
-1.54444	0.817222	0.143681
-1.59111	0.827222	0.134083
-1.50889	0.738333	0.147183
-1.55333	0.727222	0.15835
