#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10442 	0.00124394 	0.105835 	0.00289551	5.55757 	0.315054 	20.666 	1.25164	1.00508 	0.000278205 	2.69337 	0.0907624
0.401	-1.11212 	0.000695313 	0.111297 	0.00293632	5.3499 	0.179646 	24.6378 	1.15038	1.00481 	0.000164642 	2.83655 	0.105202
0.402	-1.11821 	0.000998636 	0.115385 	0.00269873	5.59384 	0.289759 	26.2143 	1.37201	1.00497 	0.000259625 	2.80413 	0.0891283
0.403	-1.12274 	0.00108117 	0.114561 	0.00311988	5.80166 	0.231577 	26.7216 	1.29121	1.00511 	0.000206259 	2.87782 	0.113909
0.404	-1.12813 	0.00114473 	0.117983 	0.00265173	5.3893 	0.207211 	25.4503 	1.15652	1.00472 	0.000196821 	2.69651 	0.0991009
0.405	-1.13482 	0.0013591 	0.123605 	0.00364646	5.51416 	0.244169 	29.8758 	1.77183	1.00475 	0.000221974 	2.69946 	0.0977804
0.406	-1.13882 	0.00114385 	0.121297 	0.00550371	5.82208 	0.26022 	27.8467 	2.10795	1.00501 	0.000193402 	2.79457 	0.132193
0.407	-1.14568 	0.0013981 	0.121987 	0.00281797	6.14749 	0.258585 	29.327 	1.86648	1.0052 	0.000220165 	2.81317 	0.0835798
0.408	-1.15198 	0.00134284 	0.133842 	0.00538681	5.68173 	0.275636 	32.608 	1.79356	1.00477 	0.000245065 	2.62692 	0.125681
0.409	-1.15604 	0.00112184 	0.132081 	0.0048086	6.03646 	0.232837 	34.7658 	1.87806	1.00503 	0.000206959 	2.72878 	0.104552
0.41	-1.16243 	0.00123041 	0.131724 	0.00354133	5.70467 	0.191258 	33.5587 	2.08681	1.00471 	0.000150874 	2.76892 	0.0935229
0.411	-1.16972 	0.00129082 	0.147082 	0.00418227	6.00488 	0.251519 	40.2531 	1.8743	1.0049 	0.000214813 	2.67475 	0.110863
0.412	-1.17359 	0.00109236 	0.140586 	0.00388504	6.3176 	0.269861 	34.817 	2.5093	1.0051 	0.00020879 	2.55295 	0.101608
0.413	-1.18447 	0.00130478 	0.146801 	0.00515115	6.44481 	0.2169 	41.1271 	2.81096	1.00511 	0.000185163 	2.74123 	0.110826
0.414	-1.18604 	0.00142151 	0.151264 	0.00393146	6.06686 	0.19152 	41.8688 	1.87408	1.00479 	0.000152689 	2.65541 	0.104381
0.415	-1.19318 	0.0011486 	0.154591 	0.00482232	5.89117 	0.218439 	44.2648 	2.71894	1.0046 	0.000182101 	2.65244 	0.11557
0.416	-1.1993 	0.00152148 	0.162824 	0.00662065	6.37244 	0.212643 	48.6575 	3.82401	1.00493 	0.000162543 	2.67847 	0.124153
0.417	-1.20781 	0.00115344 	0.175154 	0.00748616	6.67524 	0.318082 	53.7906 	3.6617	1.00508 	0.000225697 	2.42458 	0.0995899
0.418	-1.21464 	0.00138993 	0.171582 	0.0070877	6.11805 	0.290629 	54.3971 	2.82099	1.00462 	0.000233409 	2.60738 	0.144304
0.419	-1.21985 	0.00177398 	0.183116 	0.00524928	6.76 	0.486097 	61.5156 	4.12792	1.00508 	0.000393463 	2.60065 	0.139785
0.42	-1.22638 	0.00115363 	0.199409 	0.00630081	6.50291 	0.253189 	65.812 	3.55132	1.00479 	0.000194725 	2.30963 	0.0731002
0.421	-1.23643 	0.00182922 	0.199603 	0.0079223	7.4664 	0.296248 	72.2114 	4.94819	1.00546 	0.000233496 	2.53703 	0.111021
0.422	-1.24087 	0.00131862 	0.209215 	0.00852208	7.79834 	0.319331 	71.259 	3.68772	1.00569 	0.00026457 	2.28842 	0.106227
