# nm = 1024 nc = 100 len = 60 extf = 0 beta = 0.476
#energy 	magnetization 	acceptance
-1.68778	0.885	0.111958
-1.70778	0.890556	0.107589
-1.66111	0.875	0.112378
-1.64667	0.866111	0.106211
-1.63778	0.859444	0.1042
-1.69444	0.890556	0.110094
-1.67222	0.876111	0.104139
-1.65111	0.865556	0.101697
-1.67778	0.857778	0.109233
-1.68556	0.883333	0.116967
-1.62111	0.837778	0.107322
-1.66222	0.876667	0.110167
-1.61444	0.836111	0.105531
-1.62333	0.856111	0.110261
-1.69667	0.898889	0.103681
-1.67111	0.857222	0.106908
-1.61222	0.820556	0.110561
-1.66222	0.871111	0.111464
-1.67556	0.877778	0.111728
-1.56111	0.823889	0.106408
-1.67889	0.865556	0.111858
-1.65778	0.865556	0.1055
-1.64889	0.847778	0.108633
-1.66111	0.879444	0.109269
-1.65778	0.875	0.105067
-1.69333	0.885556	0.103592
-1.62667	0.848889	0.106961
-1.71444	0.897778	0.108772
-1.65778	0.846111	0.104514
-1.7	0.885	0.120661
-1.68333	0.889444	0.1084
-1.64222	0.858889	0.109047
-1.67778	0.883333	0.103961
-1.62111	0.844444	0.110167
-1.65	0.867778	0.104267
-1.70333	0.874444	0.109522
-1.71333	0.906667	0.104811
-1.7	0.888333	0.105092
-1.65444	0.878889	0.0997861
-1.61667	0.832778	0.113386
-1.68222	0.876111	0.113194
-1.58	0.827778	0.114036
-1.62889	0.834444	0.110011
-1.62222	0.846667	0.112322
-1.65333	0.878333	0.110903
-1.65333	0.877222	0.104878
-1.69222	0.891111	0.109447
-1.68	0.883889	0.107425
-1.62	0.832222	0.105914
-1.72444	0.908889	0.10685
-1.64444	0.858333	0.107708
-1.65778	0.861667	0.115494
-1.63444	0.869444	0.105478
-1.66222	0.886111	0.106244
-1.63333	0.843333	0.106314
-1.68667	0.89	0.110072
-1.61111	0.842778	0.111147
-1.69333	0.871667	0.108417
-1.67556	0.882778	0.11295
-1.63111	0.861111	0.105086
-1.66222	0.871667	0.107003
-1.65556	0.878889	0.106458
-1.71	0.885	0.108019
-1.65111	0.87	0.106392
-1.65333	0.866667	0.106794
-1.64444	0.873889	0.108325
-1.66	0.862778	0.111394
-1.63556	0.862778	0.113756
-1.64222	0.856111	0.1146
-1.71	0.888333	0.108028
-1.67667	0.882222	0.106681
-1.64778	0.846667	0.109961
-1.68333	0.888333	0.105925
-1.66667	0.866667	0.105469
-1.66778	0.88	0.107628
-1.70444	0.899444	0.110014
-1.61333	0.837778	0.101014
-1.68333	0.885556	0.109922
-1.69556	0.886667	0.103706
-1.71556	0.898333	0.111686
-1.56778	0.807222	0.115317
-1.69111	0.896111	0.115561
-1.71556	0.899444	0.105689
-1.66333	0.886111	0.104317
-1.66333	0.875	0.112011
-1.59889	0.851111	0.106592
-1.62222	0.838333	0.110008
-1.66111	0.866667	0.107564
