# L 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
112 	-1.51265 	0.000333826 	0.74673 	0.00153613 	8.09747 	0.140596 	33.2224 	6.95464
128 	-1.51316 	0.000225089 	0.749391 	0.000879452 	8.0069 	0.0970572 	27.0587 	4.39185
16 	-1.52031 	0.00102703 	0.769965 	0.00127996 	6.84203 	0.0537818 	6.6726 	0.150114
32 	-1.51503 	0.000796491 	0.754728 	0.00175012 	7.54224 	0.0888729 	14.1614 	0.794668
48 	-1.51282 	0.000574218 	0.74996 	0.00150051 	7.82713 	0.0839351 	17.7166 	1.07124
64 	-1.51243 	0.000463196 	0.746897 	0.00167424 	8.12072 	0.116295 	24.351 	2.69025
80 	-1.51184 	0.000811423 	0.74723 	0.00247672 	7.77301 	0.163721 	18.7375 	1.72428
8 	-1.54325 	0.00132674 	0.807899 	0.000897671 	5.41457 	0.0332861 	2.27121 	0.0251296
96 	-1.51277 	0.000712497 	0.749602 	0.00179859 	7.88742 	0.194586 	18.968 	1.68272
