# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.25 	-1.11667 	0.000811467 	0.106038 	0.000678547 	8.79474 	0.104165 	4.89742 	0.0691616
0.26 	-1.18259 	0.000879653 	0.114209 	0.000745462 	9.08638 	0.100549 	5.66704 	0.0707567
0.27 	-1.25083 	0.00090504 	0.125694 	0.000795533 	9.52863 	0.104682 	6.85042 	0.084556
0.28 	-1.32118 	0.000856089 	0.141665 	0.00100647 	10.1287 	0.11083 	8.65947 	0.125036
0.29 	-1.39479 	0.000903603 	0.156723 	0.00123689 	10.2295 	0.109615 	10.6583 	0.171751
0.3 	-1.47186 	0.00104763 	0.178724 	0.00168077 	10.9269 	0.120175 	13.6776 	0.239441
0.31 	-1.55377 	0.00105639 	0.21099 	0.00209293 	11.7491 	0.136531 	18.2308 	0.29358
0.32 	-1.64015 	0.0012523 	0.255347 	0.00290679 	12.7343 	0.152286 	25.2966 	0.47251
0.33 	-1.74111 	0.00178851 	0.329206 	0.0049176 	14.9937 	0.204476 	37.0228 	0.696905
0.34 	-1.86065 	0.00214334 	0.445957 	0.00584023 	17.8609 	0.236608 	50.1682 	0.6895
0.35 	-2.01223 	0.00344777 	0.624273 	0.0079378 	21.3135 	0.278108 	54.5147 	1.38829
0.36 	-2.16675 	0.00379851 	0.793413 	0.00693178 	20.5044 	0.415955 	37.4543 	2.23939
0.37 	-2.29917 	0.0026547 	0.91516 	0.00418547 	15.7521 	0.425786 	17.0977 	1.86158
0.38 	-2.39913 	0.00176562 	0.9839 	0.00250356 	12.0496 	0.253941 	7.44174 	1.09163
0.39 	-2.47708 	0.00111049 	1.02594 	0.000861297 	9.29357 	0.153344 	3.25642 	0.176663
0.4 	-2.53995 	0.00089857 	1.05432 	0.00053841 	7.73624 	0.0998488 	2.05631 	0.0721426
0.41 	-2.59214 	0.000748584 	1.07459 	0.000412228 	6.40796 	0.0810336 	1.4714 	0.0366583
0.42 	-2.63429 	0.000585127 	1.08986 	0.000282358 	5.2156 	0.0588607 	1.05853 	0.019057
0.43 	-2.66919 	0.000587355 	1.10152 	0.000283337 	4.60439 	0.056428 	0.876363 	0.0135764
0.44 	-2.69921 	0.000543916 	1.11102 	0.000254161 	3.81055 	0.0449974 	0.716962 	0.0113166
0.45 	-2.7266 	0.000501567 	1.11935 	0.000233349 	3.3276 	0.0377781 	0.612984 	0.00843521
