# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.5 	-0.755897 	0.000154171 	0.0897295 	0.000311016 	1.75289 	0.00925871 	4.61187 	0.0341505
0.52 	-0.791751 	0.000173979 	0.100472 	0.000395864 	1.84321 	0.00990055 	5.75217 	0.0465899
0.54 	-0.829741 	0.00018198 	0.116768 	0.00051773 	1.97326 	0.0108389 	7.66309 	0.0659674
0.56 	-0.869796 	0.00021266 	0.136519 	0.000725579 	2.09309 	0.0117077 	10.3685 	0.109998
0.57 	-0.890897 	0.000219867 	0.149776 	0.000869199 	2.1568 	0.0125584 	12.2652 	0.134445
0.58 	-0.912325 	0.000251944 	0.166054 	0.00106729 	2.26275 	0.0128477 	14.7789 	0.172771
0.59 	-0.935694 	0.000260357 	0.186103 	0.00129408 	2.37795 	0.0149231 	18.2812 	0.200574
0.6 	-0.960549 	0.000321643 	0.216617 	0.00177511 	2.5251 	0.0180826 	23.1848 	0.309442
0.61 	-0.987668 	0.000405649 	0.25528 	0.00241658 	2.77429 	0.0209708 	30.152 	0.37259
0.615 	-1.00122 	0.000459754 	0.273149 	0.00270028 	2.94152 	0.0254537 	33.5819 	0.414871
0.62 	-1.0178 	0.000484561 	0.311337 	0.00281818 	3.16687 	0.0274401 	39.2618 	0.400409
0.625 	-1.03308 	0.000550519 	0.334392 	0.00368101 	3.31996 	0.0281958 	43.1197 	0.472904
0.63 	-1.05068 	0.000580958 	0.377337 	0.00409792 	3.57234 	0.030834 	48.1795 	0.462134
0.635 	-1.06969 	0.000717713 	0.421874 	0.00427181 	3.82406 	0.0309974 	52.5164 	0.524865
0.64 	-1.08864 	0.000827021 	0.456157 	0.00513473 	4.01637 	0.0363467 	56.3599 	0.747556
0.645 	-1.10896 	0.000850509 	0.513963 	0.00470809 	4.15706 	0.0338528 	54.1568 	0.956391
0.65 	-1.1311 	0.000816282 	0.575397 	0.00423987 	4.19983 	0.0357953 	49.2368 	1.14938
0.655 	-1.15122 	0.000891205 	0.615802 	0.00501647 	4.18355 	0.0412306 	48.2625 	1.57578
0.66 	-1.17088 	0.000843802 	0.661467 	0.00437146 	4.01095 	0.0409499 	41.3951 	1.72196
0.665 	-1.19102 	0.000834 	0.705751 	0.00424128 	3.78684 	0.0447127 	33.4335 	1.78047
0.67 	-1.20995 	0.000764132 	0.74627 	0.00341773 	3.42788 	0.0479676 	24.7037 	1.62239
0.68 	-1.24183 	0.000526432 	0.803539 	0.00210152 	2.81664 	0.0358509 	11.7878 	1.0615
0.69 	-1.2676 	0.000442625 	0.838199 	0.00142516 	2.42146 	0.0298791 	6.86115 	0.740195
0.7 	-1.29006 	0.0002773 	0.864923 	0.00073574 	2.02201 	0.0189917 	3.38888 	0.29772
