# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704577 	0.000141261 	0.0449753 	0.000138448 	3.19403 	0.0161821 	2.65354 	0.0174814
0.35 	-0.879769 	0.000164107 	0.0650558 	0.00022137 	3.90715 	0.0217874 	5.54048 	0.0400945
0.36 	-0.919771 	0.000175827 	0.0730717 	0.000282447 	4.1161 	0.0205813 	6.89229 	0.0536084
0.37 	-0.961931 	0.000187773 	0.0815148 	0.000328099 	4.34179 	0.0229488 	8.65995 	0.0758452
0.38 	-1.00645 	0.000174199 	0.0935749 	0.000419401 	4.66281 	0.027198 	11.1486 	0.101969
0.39 	-1.05442 	0.000211062 	0.109558 	0.000630046 	4.9637 	0.0281946 	15.322 	0.163305
0.4 	-1.107 	0.000230286 	0.134502 	0.000991437 	5.46231 	0.033563 	22.4139 	0.285785
0.405 	-1.13384 	0.000282316 	0.150177 	0.00120318 	5.64648 	0.0349538 	27.0182 	0.364076
0.41 	-1.16261 	0.000318746 	0.169695 	0.00151247 	6.00158 	0.0402863 	34.2712 	0.517262
0.415 	-1.19403 	0.000378098 	0.200227 	0.00184395 	6.51645 	0.0486731 	45.226 	0.589712
0.4155 	-1.19789 	0.000459789 	0.204284 	0.00159192 	6.50395 	0.0649978 	45.9058 	0.551441
0.42 	-1.22915 	0.000474708 	0.246799 	0.00256153 	7.25232 	0.0636431 	60.513 	0.832759
0.4205 	-1.23222 	0.000487466 	0.24716 	0.00200163 	7.42764 	0.0849856 	62.3357 	0.747376
0.425 	-1.26747 	0.000635154 	0.303904 	0.00309549 	8.28488 	0.0751986 	78.6863 	0.897584
0.4255 	-1.27185 	0.00064124 	0.312248 	0.00300815 	8.74711 	0.102143 	82.096 	0.814846
0.426 	-1.27576 	0.00108986 	0.32014 	0.00619773 	8.85251 	0.131663 	85.269 	1.49492
0.428 	-1.29225 	0.00120259 	0.349571 	0.00553041 	8.98562 	0.13356 	86.6761 	1.33267
0.43 	-1.31033 	0.000828317 	0.381486 	0.00407734 	9.62014 	0.0900984 	94.5237 	1.08857
0.4305 	-1.31762 	0.000769257 	0.397855 	0.00327048 	9.9767 	0.127745 	98.3213 	1.00061
0.432 	-1.33454 	0.00146196 	0.438306 	0.0062795 	10.3731 	0.138594 	97.6117 	1.95238
0.434 	-1.35297 	0.00161427 	0.470444 	0.00768603 	10.9359 	0.157769 	100.002 	2.95537
0.435 	-1.36527 	0.000967431 	0.500176 	0.00444631 	10.9421 	0.0956107 	92.8791 	2.18397
0.4355 	-1.36952 	0.000937327 	0.511576 	0.00373088 	10.8386 	0.115911 	90.9075 	1.93172
0.436 	-1.37906 	0.0015305 	0.534643 	0.00686742 	10.9197 	0.161387 	86.3866 	3.8769
0.438 	-1.39749 	0.00161471 	0.563784 	0.00741418 	10.988 	0.178509 	82.1419 	4.58476
0.44 	-1.41923 	0.000945673 	0.607736 	0.00380837 	10.6819 	0.115008 	67.2478 	2.45442
0.4405 	-1.42534 	0.000903968 	0.619538 	0.00324452 	10.6212 	0.142552 	64.5084 	2.40641
0.442 	-1.43965 	0.00134548 	0.645407 	0.00507926 	10.0779 	0.17988 	52.1982 	3.88703
0.444 	-1.45934 	0.00156992 	0.673229 	0.00549672 	9.65389 	0.230106 	47.757 	4.88657
0.445 	-1.47081 	0.000739337 	0.694987 	0.00266692 	9.29962 	0.115275 	37.5794 	2.30388
0.4455 	-1.47634 	0.000718751 	0.706047 	0.00211342 	8.77873 	0.114945 	30.1548 	1.91827
0.45 	-1.51282 	0.000574218 	0.74996 	0.00150051 	7.82713 	0.0839351 	17.7166 	1.07124
0.4505 	-1.51663 	0.000577092 	0.754492 	0.00134947 	7.90631 	0.109119 	17.2586 	1.38926
0.46 	-1.58088 	0.000366893 	0.813965 	0.000657521 	5.95687 	0.0551026 	6.36736 	0.537002
0.4605 	-1.58337 	0.000363725 	0.816631 	0.000402916 	5.79053 	0.0659339 	5.34215 	0.137928
0.47 	-1.63407 	0.000220722 	0.85181 	0.00029323 	4.76698 	0.0317891 	2.79362 	0.0654339
0.48 	-1.67799 	0.000190524 	0.877779 	0.000147678 	3.95842 	0.0260921 	1.62822 	0.0266405
0.53 	-1.8169 	0.000104746 	0.941236 	4.97964e-05 	1.9451 	0.00995104 	0.342029 	0.0023436
