#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10543 	0.000875631 	0.0918638 	0.00219668	5.2211 	0.22262 	22.5779 	1.12528	1.00349 	0.00013712 	2.8418 	0.0717317
0.401	-1.1125 	0.000897549 	0.0923505 	0.00230022	4.98379 	0.171011 	23.1641 	1.16593	1.00328 	0.000115872 	2.80941 	0.126349
0.402	-1.118 	0.000941743 	0.0938229 	0.00194961	5.74322 	0.220014 	23.3264 	1.08908	1.00376 	0.00015091 	2.84863 	0.118936
0.403	-1.1218 	0.000909023 	0.0925112 	0.00229851	5.57539 	0.221038 	21.7992 	1.20882	1.00363 	0.000149192 	2.65392 	0.0865788
0.404	-1.12664 	0.000944249 	0.101946 	0.0027015	5.69442 	0.295796 	29.1494 	1.33339	1.00365 	0.000170881 	2.84882 	0.117187
0.405	-1.13558 	0.00090747 	0.0998868 	0.0025085	5.77658 	0.226854 	27.853 	1.62574	1.00366 	0.000151027 	3.04464 	0.139824
0.406	-1.13927 	0.000673391 	0.105656 	0.00257568	5.44279 	0.209387 	29.2281 	1.23678	1.00343 	0.000141748 	2.82829 	0.131516
0.407	-1.14438 	0.000953047 	0.106176 	0.00278797	5.93675 	0.252161 	32.3022 	1.42839	1.00371 	0.000154684 	3.01188 	0.101651
0.408	-1.15111 	0.00124657 	0.107771 	0.00383046	6.43724 	0.263987 	30.9067 	1.8933	1.00396 	0.000160013 	2.80427 	0.132544
0.409	-1.15675 	0.00118118 	0.106923 	0.00250052	5.37423 	0.23333 	31.8959 	1.85859	1.00328 	0.000134637 	2.99846 	0.121153
0.41	-1.16329 	0.0012455 	0.116466 	0.00312811	5.83644 	0.27472 	34.651 	1.81857	1.00351 	0.000179009 	2.6988 	0.129874
0.411	-1.16657 	0.00116555 	0.116216 	0.00358514	6.04669 	0.209533 	35.2734 	2.21862	1.00363 	0.000135098 	2.72596 	0.107871
0.412	-1.17615 	0.00121156 	0.129277 	0.00500901	6.54992 	0.250915 	44.9995 	2.36671	1.00387 	0.000152889 	2.82185 	0.11807
0.413	-1.18044 	0.00100418 	0.127081 	0.00342573	6.18174 	0.253385 	39.4681 	2.73518	1.00363 	0.00014903 	2.68302 	0.123362
0.414	-1.1867 	0.00108316 	0.13682 	0.00403471	5.86681 	0.293097 	48.1513 	2.67008	1.0034 	0.000174828 	2.68262 	0.0938834
0.415	-1.19376 	0.00110589 	0.131612 	0.00515155	6.61 	0.276285 	46.2156 	2.35883	1.0038 	0.000152832 	2.68979 	0.143787
0.416	-1.1993 	0.000963111 	0.139665 	0.00548217	6.4381 	0.247874 	50.6564 	4.08825	1.00366 	0.000128843 	2.82543 	0.150965
0.417	-1.20724 	0.00137516 	0.150997 	0.00661832	6.73804 	0.375165 	56.5394 	4.21857	1.0038 	0.000235442 	2.57227 	0.102713
0.418	-1.21285 	0.000927463 	0.15525 	0.0059588	7.47228 	0.240604 	62.6697 	4.47076	1.00415 	0.000134054 	2.69928 	0.117381
0.419	-1.21855 	0.00135583 	0.164163 	0.00636364	6.77098 	0.281819 	65.3301 	4.66922	1.00373 	0.000141533 	2.59139 	0.0999257
