#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.08912 	0 	0.124922 	0	6.30346 	0 	21.8858 	0	1.01263 	-nan 	3.71919 	-nan
0.41	-1.17397 	0 	0.200937 	0	4.30948 	0 	29.548 	0	1.00759 	-nan 	2.50359 	-nan
0.42	-1.18735 	0 	0.192812 	0	7.21938 	0 	32.5073 	0	1.01266 	-nan 	2.53241 	-nan
0.43	-1.28147 	0 	0.324609 	0	9.70595 	0 	96.148 	0	1.01501 	-nan 	2.18414 	-nan
0.44	-1.44882 	0 	0.714609 	0	5.55426 	0 	8.06804 	0	1.00664 	-nan 	1.03894 	-nan
0.45	-1.52132 	0 	0.760469 	0	7.00484 	0 	19.8125 	0	1.0073 	-nan 	1.05649 	-nan
0.46	-1.56691 	0 	0.804688 	0	4.90298 	0 	3.33453 	0	1.00496 	-nan 	1.01273 	-nan
0.47	-1.6525 	0 	0.866797 	0	4.26 	0 	1.80655 	0	1.00404 	-nan 	1.00596 	-nan
0.48	-1.68353 	0 	0.877344 	0	7.89889 	0 	5.10527 	0	1.00683 	-nan 	1.0141 	-nan
0.49	-1.70779 	0 	0.888594 	0	7.09516 	0 	1.62121 	0	1.00607 	-nan 	1.00516 	-nan
0.5	-1.75588 	0 	0.918828 	0	1.72817 	0 	0.485146 	0	1.00142 	-nan 	1.00141 	-nan
