# nm = 8192 nc = 100 len = 10 extf = 0 beta = 0.422
#energy 	magnetization 	acceptance
-1.64	-0.86	0.1815
-1.36	-0.8	0.1835
-1.6	-0.84	0.2442
-0.96	0.14	0.2147
-1.8	-0.9	0.2338
-1.52	-0.84	0.1901
-1.08	-0.06	0.1891
-0.84	0.02	0.2812
-1.36	-0.76	0.1997
-1.84	-0.96	0.2
-1.72	-0.92	0.2046
-1.36	-0.8	0.159
-1.6	-0.74	0.2425
-1.48	-0.74	0.2674
-1.48	0.84	0.2325
-1.44	-0.78	0.2495
-1.56	-0.86	0.198
-1.2	-0.66	0.1434
-1.48	-0.8	0.1763
-1.12	-0.42	0.2639
-1.36	-0.7	0.2182
-1.48	-0.84	0.1955
-0.8	-0.44	0.2036
-0.88	-0.26	0.2767
-1.36	-0.72	0.2315
-1.68	-0.92	0.1742
-1.64	0.88	0.2608
-1.2	0.46	0.2115
-1.56	-0.84	0.2783
-1.52	-0.84	0.2392
-1.16	-0.46	0.2553
-1.48	-0.62	0.1792
-0.88	-0.48	0.1697
-1.6	0.88	0.2588
-1.36	0.5	0.1827
-1.32	0.74	0.1734
-1.08	0.18	0.2304
-1.36	0.7	0.3176
-1.4	-0.8	0.1783
-0.88	0.18	0.2373
-1	0.18	0.2648
-1.28	0.72	0.2317
-1.32	0.72	0.2298
-1.44	0.8	0.2058
-1.32	0.72	0.2134
-1.28	0.36	0.2126
-0.96	-0.06	0.3215
-1.12	-0.58	0.2564
-1.52	0.86	0.1864
-1.44	-0.82	0.3108
-1.16	-0.32	0.1885
-1.44	0.84	0.283
-1.84	0.94	0.2095
-1.16	0.66	0.2408
-1.2	0.62	0.1774
-1.36	0.76	0.1925
-1.6	0.84	0.2476
-0.68	0.02	0.1755
-1.4	0.78	0.3178
-1.92	0.98	0.2118
-1.04	-0.46	0.2408
-1.16	-0.58	0.2048
-1.52	0.84	0.2647
-1.76	0.94	0.1985
-1.64	-0.86	0.2356
-1.24	-0.6	0.1851
-1.52	-0.66	0.2145
-1.64	-0.86	0.2572
-1.04	-0.56	0.2215
-0.92	0.42	0.2493
-1.04	0.62	0.1594
-0.96	0.3	0.1856
-1.32	-0.66	0.2514
-1.16	-0.56	0.2573
-1.32	-0.76	0.2618
-1.28	0.02	0.2165
-1.32	0.72	0.2979
-1.64	0.9	0.2485
-1.56	0.86	0.1822
-0.88	-0.18	0.25
-1.12	0.44	0.2485
-1.44	0.74	0.2515
-1.6	0.76	0.2317
-1.08	0.34	0.2729
-1.72	0.92	0.1931
-1.4	-0.64	0.2274
-1.28	-0.7	0.3191
-1.48	-0.78	0.2404
-1.16	0.5	0.1932
-1.48	0.86	0.2834
-1.88	0.96	0.1789
-1.04	0.52	0.2102
-1.72	0.92	0.2656
-1.08	0.66	0.1701
-1.28	0.74	0.1926
-1.36	0.64	0.2011
-1.64	0.84	0.215
-1.24	0.74	0.1833
-1.36	0.78	0.167
-1.68	0.84	0.1807
-1.08	0.5	0.1617
-1.2	-0.52	0.2837
-1.52	-0.86	0.1759
-1.48	-0.78	0.2508
-1.28	-0.74	0.1626
-0.8	-0.18	0.2722
-0.84	-0.46	0.2456
-1.04	-0.56	0.2573
-1.84	-0.96	0.2178
-1.76	-0.94	0.2195
-1.52	-0.84	0.2157
-1.72	-0.92	0.2108
-1	-0.7	0.2335
-1	-0.34	0.2476
-1.36	-0.8	0.2167
-0.96	-0.24	0.2134
-1.76	-0.94	0.2247
-1.8	-0.94	0.175
-1.36	-0.82	0.1498
-1.56	-0.82	0.1938
-1.16	-0.74	0.3194
-1.32	-0.66	0.193
-1.6	-0.86	0.216
-1.76	-0.92	0.1887
-1.52	-0.86	0.1737
-0.72	-0.2	0.1917
-0.76	-0.12	0.3208
-1.56	-0.82	0.2441
-1.64	-0.88	0.1953
-1.56	-0.84	0.2052
-1.64	-0.86	0.2507
-1.56	-0.86	0.149
-0.92	0.48	0.2625
-1.6	-0.86	0.2203
-1.36	-0.78	0.1898
-0.84	-0.04	0.2033
-1.52	0.84	0.2642
-1.84	0.92	0.168
-1.24	0.4	0.1536
-1.08	0.66	0.1947
-1.24	-0.62	0.2374
-1.68	-0.88	0.1937
-1.4	-0.82	0.2421
