#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.439	-1.46835 	0.00289323 	-0.00632568 	0.0247334	6.6939 	0.0927019 	60.5768 	0.336181	1.11119 	0.00164607 	1.17053 	0.00364694
0.44	-1.47355 	0.00270847 	0.0161304 	0.0235126	6.71387 	0.0925837 	61.092 	0.286491	1.10935 	0.00141762 	1.16559 	0.0036968
0.441	-1.47879 	0.00276469 	0.0183472 	0.0231187	6.42518 	0.100218 	61.6661 	0.312333	1.10501 	0.00136929 	1.15564 	0.00336491
0.442	-1.48412 	0.00314613 	0.0430884 	0.0239081	6.57448 	0.0879212 	61.9296 	0.376552	1.10631 	0.00170727 	1.15511 	0.00362595
0.443	-1.49195 	0.00268209 	-0.00880371 	0.0287629	6.48823 	0.0956874 	62.548 	0.304898	1.10398 	0.00154933 	1.15449 	0.0033234
0.444	-1.50029 	0.00284202 	0.0296313 	0.0300401	6.45132 	0.0988482 	63.3122 	0.354174	1.10172 	0.00152812 	1.1482 	0.00341042
0.445	-1.50315 	0.00247449 	-0.0088501 	0.0229535	6.20982 	0.0854245 	63.7017 	0.259923	1.0985 	0.00134913 	1.14089 	0.00288884
0.446	-1.51446 	0.00264688 	-0.0349927 	0.0277356	6.15216 	0.0922441 	64.647 	0.343315	1.09573 	0.00148466 	1.1329 	0.00311044
0.447	-1.52069 	0.00261445 	-0.0166626 	0.0262816	5.95348 	0.083989 	65.1178 	0.300654	1.09176 	0.00136671 	1.1292 	0.00275305
0.448	-1.52374 	0.0026364 	0.0284814 	0.0301978	5.84841 	0.0925866 	65.4368 	0.316942	1.08984 	0.00125574 	1.12574 	0.00308476
0.449	-1.52425 	0.00259248 	0.000605469 	0.0306803	5.95393 	0.088099 	65.4353 	0.344651	1.09126 	0.00132715 	1.12796 	0.0029544
0.45	-1.53182 	0.00283999 	-0.0380371 	0.0334066	5.74503 	0.074663 	66.1246 	0.359146	1.08703 	0.00132223 	1.11778 	0.00284401
0.451	-1.53964 	0.00271253 	0.0351489 	0.0347724	5.67996 	0.0932522 	66.854 	0.376351	1.08528 	0.00129338 	1.11354 	0.00290293
0.452	-1.55023 	0.0024402 	0.0459595 	0.0335025	5.56694 	0.0804261 	67.4342 	0.413521	1.08258 	0.00125941 	1.11001 	0.00248816
0.453	-1.55612 	0.00281695 	-0.0462524 	0.0328753	5.66995 	0.0988999 	68.1373 	0.432357	1.08266 	0.00140227 	1.10543 	0.00242352
0.454	-1.55598 	0.00243496 	0.00593262 	0.0298465	5.64562 	0.0963475 	68.3994 	0.303029	1.08269 	0.00132843 	1.10709 	0.00288448
0.455	-1.56016 	0.00246556 	0.0128271 	0.0354284	5.52485 	0.08773 	68.5944 	0.298513	1.08104 	0.00123044 	1.10382 	0.00221422
