#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10708 	0 	0.0624 	0	4.84626 	0 	19.5185 	0	1.00158 	-nan 	2.62032 	-nan
0.41	-1.15584 	0 	0.08665 	0	8.11371 	0 	23.2017 	0	1.00242 	-nan 	2.13209 	-nan
0.42	-1.22226 	0 	0.104625 	0	5.55858 	0 	82.8878 	0	1.0015 	-nan 	3.051 	-nan
0.43	-1.30162 	0 	0.250362 	0	9.23604 	0 	235.569 	0	1.00221 	-nan 	2.11438 	-nan
0.44	-1.41548 	0 	0.612725 	0	5.21633 	0 	42.9018 	0	1.00104 	-nan 	1.04434 	-nan
0.45	-1.52984 	0 	0.757188 	0	6.18298 	0 	15.4968 	0	1.00104 	-nan 	1.01022 	-nan
0.46	-1.58292 	0 	0.817712 	0	5.46047 	0 	4.42525 	0	1.00087 	-nan 	1.00263 	-nan
0.47	-1.62831 	0 	0.842812 	0	3.28819 	0 	2.62012 	0	1.0005 	-nan 	1.00148 	-nan
0.48	-1.67553 	0 	0.879463 	0	3.13849 	0 	0.974286 	0	1.00044 	-nan 	1.0005 	-nan
0.49	-1.71713 	0 	0.8609 	0	8.99167 	0 	122.632 	0	1.00121 	-nan 	1.04584 	-nan
0.5	-1.73762 	0 	0.909562 	0	3.26315 	0 	0.489561 	0	1.00043 	-nan 	1.00024 	-nan
