# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.415 	-1.19305 	0.00042275 	0.0822279 	0.00237093 	6.35304 	0.0821848 	47.0584 	2.73681
0.4175 	-1.20869 	0.000432043 	0.0957771 	0.00299508 	6.41703 	0.100155 	60.8085 	3.21067
0.42 	-1.22647 	0.000533603 	0.105117 	0.00347705 	7.04648 	0.119556 	74.246 	4.51575
0.4225 	-1.24304 	0.000454079 	0.113005 	0.0039832 	6.88563 	0.110175 	86.5393 	5.24284
0.425 	-1.261 	0.000523191 	0.124449 	0.00424623 	7.18785 	0.128696 	97.985 	5.77019
0.4275 	-1.27933 	0.000627217 	0.14561 	0.00561342 	7.83487 	0.168249 	144.5 	10.4873
0.43 	-1.30426 	0.000761066 	0.21072 	0.00708751 	8.33139 	0.191045 	221.079 	11.6952
0.431 	-1.30919 	0.000363633 	0.196955 	0.00432646 	8.52987 	0.101327 	220.309 	7.07806
0.4325 	-1.32342 	0.000844143 	0.237588 	0.00852419 	9.25869 	0.230596 	279.42 	12.9783
0.434 	-1.33703 	0.000521231 	0.264567 	0.00599165 	10.1683 	0.167087 	336.398 	8.61698
0.435 	-1.35015 	0.00114359 	0.31998 	0.00982025 	10.7536 	0.324719 	394.649 	18.9509
0.436 	-1.36114 	0.00072502 	0.355718 	0.00675443 	12.0971 	0.197526 	417.604 	10.9615
0.4375 	-1.37764 	0.00125951 	0.404178 	0.0104723 	12.4413 	0.395052 	431.297 	23.4192
0.439 	-1.39722 	0.00078985 	0.478682 	0.00645739 	13.0601 	0.195589 	393.9 	19.7959
0.44 	-1.41156 	0.00078187 	0.534987 	0.00578988 	13.2094 	0.223785 	312.432 	20.2911
0.441 	-1.42326 	0.00080845 	0.566101 	0.00605774 	12.687 	0.23746 	286.387 	23.1129
0.4425 	-1.44135 	0.000650495 	0.624935 	0.00376857 	11.607 	0.217826 	141.755 	13.0913
0.444 	-1.45883 	0.000551635 	0.662039 	0.00375381 	10.7226 	0.216569 	118.989 	15.5217
0.445 	-1.47088 	0.000827312 	0.694702 	0.00301964 	9.31756 	0.220994 	43.644 	4.92814
0.4475 	-1.48979 	0.000831296 	0.715279 	0.00295964 	8.80045 	0.339583 	37.6575 	5.24733
0.45 	-1.51265 	0.000333826 	0.74673 	0.00153613 	8.09747 	0.140596 	33.2224 	6.95464
0.46 	-1.58041 	0.000474507 	0.812146 	0.00105886 	6.25254 	0.125817 	9.33697 	1.24147
