# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-1.01838 	0.00281056 	0.402015 	0.00236614 	7.78088 	0.102634 	5.06369 	0.0568706
0.35 	-1.26836 	0.00354697 	0.542047 	0.00283615 	10.4374 	0.127777 	7.49513 	0.0662197
0.36 	-1.32507 	0.0031398 	0.576762 	0.00291694 	10.8789 	0.133258 	7.85522 	0.0634908
0.37 	-1.38851 	0.00311389 	0.613305 	0.00285518 	11.5113 	0.117469 	8.3219 	0.0680634
0.38 	-1.45491 	0.00377195 	0.662717 	0.00309447 	12.0589 	0.128329 	8.61071 	0.0744692
0.39 	-1.52922 	0.00378539 	0.712535 	0.00316997 	12.7616 	0.123697 	8.88915 	0.0645349
0.4 	-1.60211 	0.00385167 	0.755995 	0.00318247 	13.47 	0.131813 	9.12391 	0.0722477
0.405 	-1.64347 	0.00381881 	0.788252 	0.00333002 	13.6688 	0.1297 	8.96122 	0.0761529
0.41 	-1.68264 	0.00398028 	0.815091 	0.00329955 	13.759 	0.122027 	8.90145 	0.0785977
0.415 	-1.72067 	0.00395727 	0.837809 	0.00326085 	13.8414 	0.121615 	8.82979 	0.0799201
0.42 	-1.75855 	0.00401003 	0.863661 	0.00332156 	14.2591 	0.111875 	8.77085 	0.0836086
0.425 	-1.80728 	0.00398811 	0.894894 	0.00305098 	13.7754 	0.136854 	8.37577 	0.0855337
0.43 	-1.83681 	0.00382918 	0.91273 	0.00294938 	13.6763 	0.128776 	8.1799 	0.0864392
0.435 	-1.88422 	0.00434719 	0.94516 	0.00325744 	13.4858 	0.121234 	7.77158 	0.0883198
0.44 	-1.91722 	0.00377426 	0.964518 	0.00313954 	13.3574 	0.117922 	7.54739 	0.0951707
0.445 	-1.95237 	0.00394548 	0.988448 	0.00279349 	13.0267 	0.120876 	7.24159 	0.0883219
0.45 	-1.98273 	0.00368442 	1.00674 	0.00280163 	12.6282 	0.109583 	6.82038 	0.0853326
0.46 	-2.0515 	0.00381947 	1.04808 	0.00300442 	11.8032 	0.130088 	6.1382 	0.0908689
0.47 	-2.12089 	0.00345191 	1.08959 	0.00266795 	10.8366 	0.113088 	5.37712 	0.0948011
0.48 	-2.18141 	0.00347913 	1.12272 	0.00210195 	9.88635 	0.114118 	4.64599 	0.0791657
0.53 	-2.38617 	0.00230622 	1.22852 	0.00153053 	5.41031 	0.080544 	2.21767 	0.0560575
