# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.2 	-0.989561 	0.00016387 	0.037737 	0.000120889 	8.24907 	0.0447146 	3.35864 	0.022454
0.22 	-1.16904 	0.000184152 	0.0495584 	0.000170338 	9.65116 	0.0569324 	5.7209 	0.0423746
0.24 	-1.38588 	0.000225087 	0.0734419 	0.000368149 	12.0565 	0.0661977 	12.2924 	0.127497
0.245 	-1.44872 	0.000710939 	0.0863289 	0.00154642 	12.9434 	0.146982 	17.0259 	0.612339
0.25 	-1.51482 	0.000755937 	0.0996517 	0.0018773 	13.8865 	0.16516 	23.2855 	0.899905
0.255 	-1.58627 	0.000836495 	0.124 	0.00282014 	15.1967 	0.199283 	32.7554 	1.44802
0.26 	-1.66651 	0.000454919 	0.159272 	0.00172325 	16.9193 	0.130697 	53.8195 	1.06546
0.2625 	-1.71355 	0.00136756 	0.188399 	0.00601281 	19.1947 	0.379644 	76.682 	3.72997
0.265 	-1.75812 	0.00183204 	0.232551 	0.00667359 	20.6275 	0.491779 	93.7575 	3.81045
0.2675 	-1.81746 	0.00258464 	0.305059 	0.00993907 	25.1727 	0.69888 	139.927 	4.90981
0.27 	-1.87258 	0.00273371 	0.364371 	0.0100767 	27.1012 	0.682458 	154.745 	5.92009
0.2725 	-1.94934 	0.00354495 	0.488673 	0.00970237 	30.6457 	0.759298 	147.536 	8.54525
0.275 	-2.0302 	0.00287611 	0.616016 	0.00772809 	27.3842 	0.808598 	82.6076 	11.0724
0.2775 	-2.09222 	0.00244139 	0.678825 	0.00489397 	24.9935 	0.925457 	46.4023 	6.48335
0.28 	-2.14865 	0.000741997 	0.725316 	0.0018977 	21.8281 	0.297467 	32.342 	3.44164
0.2825 	-2.20028 	0.00169504 	0.759965 	0.00378889 	19.2064 	0.664127 	24.6494 	7.42212
0.285 	-2.24378 	0.00109135 	0.788784 	0.00136223 	16.5916 	0.276921 	7.33113 	0.644728
0.2875 	-2.28226 	0.00102912 	0.807012 	0.00113483 	14.9925 	0.258209 	5.51071 	0.411174
0.29 	-2.31936 	0.000771139 	0.824441 	0.000766954 	14.2432 	0.193162 	3.81034 	0.228085
0.3 	-2.43974 	0.000231321 	0.869523 	0.000132634 	10.2858 	0.0583671 	1.56914 	0.0590128
0.32 	-2.60407 	0.000140408 	0.917423 	5.04728e-05 	6.50835 	0.0356361 	0.522321 	0.00339973
0.34 	-2.71154 	0.000131257 	0.943417 	3.19791e-05 	4.44238 	0.0245623 	0.260687 	0.00169834
0.36 	-2.78656 	0.000105669 	0.959798 	2.20074e-05 	3.11367 	0.0161662 	0.149457 	0.000842498
0.38 	-2.83981 	9.56768e-05 	0.97065 	2.01867e-05 	2.26257 	0.0143546 	0.0948446 	0.000535007
