#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.44	-1.42974 	0.0013505 	0.652374 	0.00332323	9.57329 	0.14616 	29.2231 	1.03575	1.02035 	0.000299028 	1.17716 	0.00582076
0.441	-1.43826 	0.00142586 	0.667705 	0.00348665	9.1294 	0.162546 	26.1373 	1.13554	1.01926 	0.000386377 	1.15484 	0.00670471
0.442	-1.44688 	0.0012785 	0.676018 	0.00296282	9.10755 	0.139832 	25.1393 	0.959574	1.01896 	0.000312309 	1.14645 	0.00503342
0.443	-1.45708 	0.00138716 	0.689436 	0.0032284	9.03879 	0.14943 	23.7466 	1.13064	1.01849 	0.000318236 	1.13133 	0.00569983
0.444	-1.46364 	0.00154524 	0.697141 	0.00308119	8.7337 	0.153293 	22.4868 	1.06962	1.01773 	0.000316956 	1.12331 	0.00504905
0.445	-1.47297 	0.00142174 	0.708178 	0.00319301	8.48359 	0.153798 	20.8156 	1.00303	1.01696 	0.000291436 	1.11061 	0.00502435
0.446	-1.48357 	0.00130611 	0.719197 	0.00256601	8.35418 	0.142681 	19.1413 	0.981708	1.01642 	0.000306038 	1.1016 	0.0038465
0.447	-1.48886 	0.0012195 	0.727008 	0.0025333	8.15723 	0.154131 	17.4658 	0.958194	1.01597 	0.000299285 	1.092 	0.00389699
0.448	-1.49896 	0.00135845 	0.736871 	0.00247626	7.98341 	0.145964 	16.471 	0.951608	1.01541 	0.000278331 	1.08469 	0.00358842
0.449	-1.50563 	0.00133785 	0.74462 	0.00223902	7.92239 	0.134764 	15.7529 	0.844785	1.01512 	0.00027904 	1.07917 	0.00345567
0.45	-1.51339 	0.00111462 	0.75076 	0.00248558	7.66081 	0.150356 	14.8796 	0.946292	1.01447 	0.000288877 	1.07411 	0.00367213
0.451	-1.52038 	0.00133606 	0.759446 	0.00215315	7.54939 	0.148964 	13.8861 	0.778172	1.01413 	0.000301948 	1.06718 	0.00308796
0.452	-1.52958 	0.00112019 	0.771252 	0.00169745	6.98583 	0.111159 	10.1039 	0.563497	1.01301 	0.000200074 	1.0532 	0.00215106
0.453	-1.53563 	0.00110854 	0.774212 	0.00217456	7.01368 	0.123039 	11.367 	0.827674	1.01289 	0.000246791 	1.0552 	0.00270623
0.454	-1.54247 	0.00110545 	0.781255 	0.00197655	6.92077 	0.13981 	9.60544 	0.697603	1.01262 	0.000275834 	1.04867 	0.0024916
0.455	-1.54918 	0.00110465 	0.787555 	0.00153864	6.66909 	0.115168 	9.02332 	0.542794	1.0121 	0.000227023 	1.04544 	0.00203286
0.456	-1.55735 	0.000917178 	0.793871 	0.00165994	6.60988 	0.117929 	8.69001 	0.614427	1.01185 	0.000207316 	1.04223 	0.00193228
0.457	-1.56082 	0.00105858 	0.796303 	0.00181979	6.37328 	0.153422 	8.40963 	0.710313	1.01133 	0.000236576 	1.0404 	0.00212483
0.458	-1.56843 	0.000993116 	0.803216 	0.00133645	6.32865 	0.10365 	7.29854 	0.548442	1.0112 	0.000159568 	1.03615 	0.00156599
0.459	-1.57436 	0.0010119 	0.808617 	0.0012192	6.15572 	0.115488 	6.62918 	0.441122	1.01079 	0.000198188 	1.03304 	0.00160853
0.46	-1.58084 	0.000922469 	0.814134 	0.00112839	5.89204 	0.100245 	5.69348 	0.28502	1.01026 	0.000181331 	1.0299 	0.00106599
0.461	-1.5877 	0.000832793 	0.819493 	0.00110206	5.76622 	0.0992982 	5.40755 	0.395316	1.00996 	0.000163264 	1.02743 	0.00120762
0.462	-1.59282 	0.000939088 	0.823599 	0.00116328	5.67198 	0.0926954 	5.02011 	0.472512	1.00971 	0.00015697 	1.02534 	0.00134569
0.463	-1.59814 	0.000886575 	0.827097 	0.00100332	5.5846 	0.0850857 	4.74393 	0.33352	1.00955 	0.00014912 	1.02446 	0.00106832
0.464	-1.60333 	0.00099736 	0.83029 	0.000878463	5.49962 	0.0890537 	4.31085 	0.22338	1.00934 	0.000149996 	1.02278 	0.000919971
0.465	-1.60854 	0.000928626 	0.834024 	0.00111111	5.32282 	0.102265 	4.22517 	0.384912	1.00898 	0.000180478 	1.02178 	0.00123675
0.466	-1.61359 	0.00081132 	0.838282 	0.000941374	5.25513 	0.0788953 	3.84875 	0.245114	1.00883 	0.0001446 	1.0199 	0.000835712
0.467	-1.61893 	0.000905082 	0.842594 	0.000827878	4.95016 	0.0795997 	3.2591 	0.211579	1.00825 	0.000142815 	1.01731 	0.000786964
0.468	-1.6231 	0.000873162 	0.843537 	0.000935588	5.0536 	0.0919837 	3.95067 	0.337802	1.00838 	0.000141113 	1.01908 	0.00101303
0.469	-1.62916 	0.000870272 	0.847941 	0.00077772	4.84839 	0.0868876 	3.4354 	0.26205	1.00797 	0.00013966 	1.01722 	0.000796133
0.47	-1.6339 	0.000795421 	0.851429 	0.000751271	4.65592 	0.0783609 	2.94705 	0.209174	1.00763 	0.000124716 	1.01527 	0.00064334
0.471	-1.63847 	0.000734025 	0.854908 	0.000610278	4.60002 	0.0775737 	2.66215 	0.201519	1.00749 	0.000125462 	1.01377 	0.000540679
0.472	-1.64282 	0.000772362 	0.857355 	0.000580236	4.58353 	0.0742752 	2.42407 	0.0923087	1.00743 	0.000103708 	1.0131 	0.000401417
0.473	-1.64785 	0.00084988 	0.860805 	0.000611925	4.51378 	0.070261 	2.26422 	0.0744295	1.00727 	0.000103759 	1.01225 	0.000344194
0.474	-1.65266 	0.000743881 	0.863072 	0.000560304	4.51728 	0.0733462 	2.3686 	0.123538	1.00724 	0.000127403 	1.01238 	0.000437485
0.475	-1.6566 	0.000704188 	0.865498 	0.00055704	4.37108 	0.0668446 	2.22484 	0.11685	1.00698 	0.000116609 	1.01171 	0.000387156
0.476	-1.66148 	0.000831372 	0.868531 	0.000531577	4.16346 	0.0613658 	1.93586 	0.0701646	1.00662 	0.000103438 	1.0104 	0.00029575
0.477	-1.66527 	0.000832073 	0.870275 	0.000580734	4.16465 	0.068642 	1.92302 	0.079262	1.00658 	0.000105634 	1.01021 	0.000337654
0.478	-1.67079 	0.00074512 	0.873369 	0.000545017	4.13046 	0.0716834 	1.92351 	0.165355	1.0065 	0.000119636 	1.00989 	0.0005424
0.479	-1.67339 	0.000764472 	0.874569 	0.000555236	3.99298 	0.0729878 	1.96685 	0.157063	1.00624 	0.000114043 	1.00979 	0.000442161
0.48	-1.6779 	0.00071439 	0.877434 	0.000490256	3.94196 	0.0717283 	1.63461 	0.044275	1.00613 	0.00010655 	1.00871 	0.000217345
0.481	-1.67975 	0.00071572 	0.878543 	0.000510741	3.9289 	0.0653033 	1.65511 	0.0573796	1.00611 	9.80074e-05 	1.00876 	0.000237017
0.482	-1.68492 	0.000669153 	0.881952 	0.000367367	3.78243 	0.0578189 	1.41389 	0.0371834	1.00584 	9.49718e-05 	1.00756 	0.000177428
0.483	-1.68858 	0.000768747 	0.883057 	0.000468822	3.80253 	0.0640435 	1.50673 	0.0586336	1.00585 	9.21527e-05 	1.00795 	0.000250193
0.484	-1.69347 	0.000696405 	0.885929 	0.000478216	3.68489 	0.06242 	1.41794 	0.0699369	1.00564 	9.28945e-05 	1.00733 	0.000260579
0.485	-1.69705 	0.000757547 	0.887866 	0.000413021	3.75173 	0.0560385 	1.32211 	0.0342375	1.00572 	9.12834e-05 	1.00702 	0.000156901
0.486	-1.70063 	0.000715692 	0.889213 	0.000430268	3.55351 	0.0582684 	1.29219 	0.0415703	1.00539 	8.35577e-05 	1.00676 	0.000174576
0.487	-1.70438 	0.000691711 	0.891453 	0.000376256	3.55266 	0.0556289 	1.2199 	0.0334694	1.00536 	8.38532e-05 	1.00642 	0.000152967
0.488	-1.70724 	0.000676331 	0.893394 	0.000405859	3.40053 	0.0573474 	1.12158 	0.0328868	1.00512 	8.71082e-05 	1.0059 	0.000162578
0.489	-1.71034 	0.000682813 	0.894456 	0.000405327	3.51495 	0.0580094 	1.18319 	0.0383593	1.00528 	8.5821e-05 	1.00617 	0.000184561
0.49	-1.71356 	0.000715175 	0.896477 	0.000402985	3.41423 	0.0601387 	1.08457 	0.0362	1.00511 	8.03075e-05 	1.00564 	0.000166257
0.491	-1.71716 	0.000649938 	0.897992 	0.000370916	3.26586 	0.0523021 	1.01225 	0.0305453	1.00487 	7.46196e-05 	1.00531 	0.000138042
0.492	-1.72183 	0.00063052 	0.900132 	0.000357942	3.17863 	0.0494782 	1.006 	0.0439481	1.00471 	7.14894e-05 	1.00518 	0.000162407
0.493	-1.72425 	0.00074268 	0.901294 	0.000439598	3.33176 	0.0597691 	1.04628 	0.040494	1.00491 	8.04149e-05 	1.00539 	0.000175967
0.494	-1.72772 	0.000653378 	0.902947 	0.000374488	3.19063 	0.0495604 	0.947642 	0.0297791	1.00469 	7.8872e-05 	1.00491 	0.000125922
0.495	-1.72967 	0.000631194 	0.903635 	0.000368238	3.16028 	0.0521554 	0.976625 	0.0351035	1.00463 	7.59481e-05 	1.005 	0.00014492
0.496	-1.73373 	0.000663794 	0.905939 	0.000342907	3.06248 	0.0490101 	0.860891 	0.0254913	1.00448 	7.43949e-05 	1.00445 	0.000121309
0.497	-1.73616 	0.000711895 	0.907126 	0.000344477	3.06552 	0.0504721 	0.838394 	0.0173068	1.00447 	7.02968e-05 	1.00435 	9.86948e-05
0.498	-1.74012 	0.000660661 	0.908515 	0.000372538	3.03893 	0.0499683 	0.884727 	0.0350244	1.00441 	8.08674e-05 	1.0045 	0.000150293
0.499	-1.74217 	0.000670583 	0.909462 	0.00033044	2.87853 	0.0423424 	0.796579 	0.0184576	1.00417 	6.5447e-05 	1.00411 	9.41419e-05
0.5	-1.74579 	0.0006595 	0.911242 	0.000293875	2.85882 	0.043833 	0.776251 	0.0194032	1.00412 	6.29367e-05 	1.00399 	9.09037e-05
