# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.711059 	0.000931851 	0.273526 	0.000775618 	3.45006 	0.0216547 	2.32412 	0.0118991
0.35 	-0.920268 	0.00116902 	0.39511 	0.000996723 	4.97188 	0.0312386 	3.75192 	0.0159236
0.36 	-0.972129 	0.00116248 	0.43111 	0.000932402 	5.47334 	0.0313045 	4.0484 	0.0158387
0.37 	-1.02983 	0.00143274 	0.469912 	0.00116956 	5.90198 	0.0320683 	4.29173 	0.0154375
0.38 	-1.08871 	0.00145956 	0.510891 	0.001159 	6.25677 	0.0344212 	4.43503 	0.0160999
0.39 	-1.15487 	0.00140607 	0.556514 	0.00115133 	6.67467 	0.0350695 	4.47667 	0.0190887
0.4 	-1.22175 	0.00149896 	0.60311 	0.00118119 	6.8545 	0.0306199 	4.35828 	0.0199062
0.405 	-1.25795 	0.0014223 	0.627953 	0.00123689 	6.93328 	0.0329813 	4.23356 	0.0230337
0.41 	-1.29172 	0.00147108 	0.649925 	0.00124483 	6.86782 	0.0312035 	4.11815 	0.0248834
0.415 	-1.3274 	0.00152588 	0.673128 	0.0011076 	6.84945 	0.0335158 	3.94673 	0.0245911
0.42 	-1.36096 	0.00142592 	0.696511 	0.0011096 	6.75316 	0.0306584 	3.67959 	0.0253631
0.425 	-1.3954 	0.00154308 	0.716916 	0.00111059 	6.5654 	0.0320906 	3.52568 	0.0255965
0.43 	-1.42664 	0.00141956 	0.738193 	0.000959555 	6.43339 	0.0300935 	3.24017 	0.0243131
0.435 	-1.45616 	0.00143284 	0.755353 	0.00105669 	6.20526 	0.0341232 	3.0479 	0.0280189
0.44 	-1.48701 	0.00141954 	0.774584 	0.00101025 	5.95316 	0.0302869 	2.76347 	0.0261438
0.445 	-1.51568 	0.00133551 	0.791257 	0.000952856 	5.7279 	0.0315745 	2.54698 	0.0261158
0.45 	-1.54325 	0.00132674 	0.807899 	0.000897671 	5.41457 	0.0332861 	2.27121 	0.0251296
0.46 	-1.59292 	0.00116673 	0.835411 	0.000784647 	4.84446 	0.0283204 	1.8506 	0.0231029
0.47 	-1.63872 	0.00115865 	0.859677 	0.000728351 	4.28194 	0.0303498 	1.47785 	0.0220538
0.48 	-1.67821 	0.00103005 	0.879552 	0.000602834 	3.78092 	0.0257686 	1.17588 	0.0179089
0.53 	-1.8164 	0.000728664 	0.940896 	0.00030744 	1.94778 	0.0160039 	0.350733 	0.00662285
