# nm = 1000 nc = 10 len = 200 npart = 2 beta = 0.3
#part 	obs1 	obs2
0	0.00282793	0.00115634
1	0.0048533	0.00133205
0	0.00383706	0.00143425
1	0.0050806	0.00101374
0	0.00360769	0.00136709
1	0.00582153	0.00101194
0	0.00388895	0.00137872
1	0.00608942	0.00107353
0	0.00363469	0.00135308
1	0.00687132	0.00141574
0	0.00450493	0.00145223
1	0.00664744	0.00159496
0	0.00454059	0.00138421
1	0.00716997	0.00164777
0	0.00486304	0.00124767
1	0.00791996	0.00173111
0	0.00507361	0.00159014
1	0.00842858	0.00144396
0	0.00512947	0.00165862
1	0.00862814	0.00140279
0	0.00544711	0.00162178
1	0.00919361	0.00149958
0	0.005764	0.00152519
1	0.00947078	0.00130117
0	0.00573463	0.00143406
1	0.00947734	0.00140036
0	0.00529283	0.00131587
1	0.00859694	0.00134251
0	0.00592237	0.00144161
1	0.00835935	0.00133446
0	0.00739757	0.0014866
1	0.00916442	0.00134032
0	0.00769965	0.00129312
1	0.00818336	0.00134187
0	0.00713298	0.00140313
1	0.00821081	0.00114789
0	0.00762592	0.00134341
1	0.00909815	0.00129521
0	0.00903265	0.00144179
1	0.0099965	0.00118971
0	0.00956385	0.00124722
1	0.0116668	0.00140603
0	0.00894326	0.00127885
1	0.0129086	0.00190642
0	0.00862795	0.00115162
1	0.0130772	0.00161458
0	0.00814966	0.0016286
1	0.0118469	0.00172963
0	0.00826008	0.00118741
1	0.0122119	0.00124344
0	0.00798383	0.0013781
1	0.010995	0.00131576
0	0.00670069	0.00140925
1	0.0103798	0.00125926
0	0.00905553	0.00166442
1	0.0110054	0.00126897
0	0.0101046	0.00163564
1	0.010092	0.00123725
0	0.0112689	0.00179381
1	0.0105762	0.000944114
0	0.0153615	0.0018236
1	0.011124	0.00113514
0	0.0151513	0.00162292
1	0.0116715	0.00112414
0	0.0143307	0.00145629
1	0.0131204	0.00123987
0	0.0144377	0.0017097
1	0.0133878	0.00115091
0	0.0134237	0.00174717
1	0.0127312	0.00121454
0	0.0127396	0.00170935
1	0.0133157	0.00132867
0	0.0128822	0.0013706
1	0.0140607	0.00159148
0	0.0127741	0.00143973
1	0.0128166	0.00124899
0	0.0131778	0.0013805
1	0.0123003	0.00143721
0	0.0117427	0.00156178
1	0.0113574	0.00159865
0	0.0112089	0.00148077
1	0.0120478	0.00174925
0	0.0112125	0.00138607
1	0.0118724	0.00167924
0	0.0118332	0.00173309
1	0.011273	0.00152119
0	0.0130786	0.00171583
1	0.0113275	0.0014026
0	0.0110399	0.00165734
1	0.00916806	0.00120906
0	0.0110248	0.00127676
1	0.0105987	0.0011476
0	0.012398	0.00145339
1	0.0117313	0.00135221
0	0.012094	0.00123955
1	0.0114292	0.00140536
0	0.0112659	0.00139287
1	0.013318	0.00163248
0	0.011321	0.00129996
1	0.0134501	0.00139781
0	0.0102523	0.00120797
1	0.0144491	0.00155947
0	0.00869126	0.00115449
1	0.0120501	0.00166696
0	0.0078528	0.00108576
1	0.0101822	0.00137632
0	0.00919454	0.00135043
1	0.0104347	0.00127796
0	0.00941681	0.00124145
1	0.0100172	0.00136283
0	0.00946808	0.00117496
1	0.0105941	0.00167793
0	0.0113929	0.00133705
1	0.00978576	0.00147032
0	0.0108459	0.00138099
1	0.0103562	0.00138818
0	0.0129634	0.00151192
1	0.0112326	0.00146676
0	0.012487	0.0013279
1	0.0104892	0.00125142
0	0.0122626	0.00146879
1	0.00930575	0.00160896
0	0.0121363	0.00158535
1	0.00723688	0.00105389
0	0.0130935	0.00148061
1	0.00716858	0.00111473
0	0.0133807	0.00130613
1	0.00661844	0.00111582
0	0.0130227	0.00132967
1	0.0069146	0.00142494
0	0.015441	0.00146809
1	0.00654034	0.00118211
0	0.0157252	0.0012633
1	0.00630792	0.00113422
0	0.0165813	0.00164996
1	0.00745014	0.00139506
0	0.0163277	0.00177435
1	0.0068961	0.00151813
0	0.0165551	0.00143977
1	0.0082295	0.00144144
0	0.0154192	0.00169715
1	0.00842791	0.0013362
0	0.0171108	0.00184542
1	0.00916771	0.00138465
0	0.0177488	0.00169303
1	0.00979089	0.00134549
0	0.0179312	0.00165569
1	0.00897649	0.00139643
0	0.0182167	0.00159534
1	0.0084107	0.00106605
0	0.0170999	0.00159756
1	0.0085498	0.00118633
0	0.0173175	0.00125756
1	0.00838245	0.00109866
0	0.0173412	0.00140324
1	0.00852196	0.00106262
0	0.0177591	0.00176923
1	0.00806658	0.00092765
0	0.0171637	0.00171278
1	0.00825021	0.00121418
0	0.017628	0.00163612
1	0.00956448	0.00138061
0	0.0184945	0.0016283
1	0.0100358	0.00133363
0	0.0195846	0.00149448
1	0.0111751	0.00139863
0	0.0189754	0.00123462
1	0.0118326	0.00135538
0	0.0183681	0.00146504
1	0.0108642	0.00145724
0	0.0175967	0.00133278
1	0.0121998	0.00154988
0	0.0183672	0.00150847
1	0.0121953	0.00125847
0	0.0192361	0.0016209
1	0.010973	0.00102649
0	0.0204879	0.00149724
1	0.0114459	0.00132344
0	0.0224481	0.00175696
1	0.012201	0.00120161
0	0.0245508	0.00143952
1	0.0121404	0.00127797
0	0.0253987	0.00150523
1	0.0112436	0.00127938
0	0.0282906	0.00142837
1	0.0112905	0.00109725
0	0.027269	0.00138906
1	0.0113561	0.00140435
0	0.0272306	0.00133773
1	0.0116054	0.00138944
0	0.027477	0.00165188
1	0.011403	0.00157105
0	0.0274271	0.00186284
1	0.0115497	0.00153125
0	0.0257119	0.00150914
1	0.0114442	0.0013101
0	0.0230942	0.0015182
1	0.0138472	0.00171795
0	0.0250412	0.00160793
1	0.0144385	0.00206033
0	0.0241551	0.00155823
1	0.0133131	0.00205117
0	0.0211135	0.00163021
1	0.0120871	0.00151498
0	0.0168758	0.00146677
1	0.0125789	0.00134115
0	0.0158514	0.0015527
1	0.0126146	0.00146679
0	0.0153301	0.00153344
1	0.0122115	0.00165918
0	0.0139355	0.00142103
1	0.0120898	0.00166354
0	0.0125843	0.00146192
1	0.0115742	0.00175416
0	0.0139611	0.0013345
1	0.0123962	0.00169199
0	0.0137948	0.001275
1	0.0119281	0.00171
0	0.0143176	0.00159173
1	0.0102485	0.00149394
0	0.017742	0.00146012
1	0.0114145	0.00158559
0	0.0174277	0.00163939
1	0.0114318	0.00187368
0	0.0194861	0.00143946
1	0.0125365	0.00168911
0	0.0200994	0.00134806
1	0.0188562	0.00199023
0	0.0197237	0.00110159
1	0.017362	0.00164298
0	0.0177876	0.00130454
1	0.0164813	0.00152661
0	0.0168124	0.00163895
1	0.0141722	0.00168043
0	0.0159612	0.0017367
1	0.0132585	0.00174933
0	0.0140498	0.00160831
1	0.0134779	0.0018523
0	0.0138352	0.00166844
1	0.0124857	0.00163533
0	0.014378	0.00139097
1	0.0114091	0.00131629
0	0.0140544	0.00129279
1	0.0106125	0.00134002
0	0.0142919	0.0015955
1	0.00999309	0.00163317
0	0.0143758	0.00165939
1	0.0115228	0.00131732
0	0.0154626	0.00160421
1	0.0125279	0.001655
0	0.0158431	0.00140572
1	0.0131297	0.00157861
0	0.0130259	0.00151229
1	0.0156147	0.00151556
0	0.0141899	0.00172352
1	0.0165748	0.00135758
0	0.0108616	0.00127206
1	0.0172545	0.00153906
0	0.0122967	0.00124225
1	0.018064	0.00152024
0	0.0117271	0.00121767
1	0.0196006	0.00158532
0	0.01456	0.001606
1	0.0198805	0.00170876
0	0.0165419	0.00138969
1	0.0188323	0.00146885
0	0.0165766	0.00145449
1	0.0177542	0.00127331
0	0.0163782	0.00137645
1	0.0177699	0.000998914
0	0.0147286	0.00117269
1	0.0182102	0.0013869
0	0.0147119	0.00131196
1	0.0194047	0.0015135
0	0.0156595	0.00146822
1	0.0206043	0.00161355
0	0.0150738	0.00117473
1	0.0197232	0.00128972
0	0.0129906	0.00117433
1	0.0164151	0.00124396
0	0.0126076	0.00124955
1	0.016984	0.00131075
0	0.0125969	0.00139364
1	0.0168224	0.00158902
0	0.0133334	0.00129295
1	0.0173125	0.0017627
0	0.0139918	0.00134362
1	0.0172145	0.00160311
0	0.0118122	0.00108917
1	0.0176873	0.00168541
0	0.0102843	0.0011573
1	0.0189769	0.00137996
0	0.0100945	0.00141674
1	0.0180239	0.00131296
0	0.0105708	0.00103876
1	0.0189095	0.00135802
0	0.0102579	0.00136275
1	0.0200485	0.00159627
0	0.0107819	0.0011219
1	0.0207586	0.00137829
0	0.0123715	0.00121016
1	0.0199648	0.00130447
0	0.0131306	0.00136244
1	0.0205412	0.00145791
0	0.0134668	0.00142808
1	0.020028	0.00131441
0	0.0136731	0.00130273
1	0.019571	0.00144688
0	0.0140158	0.00142763
1	0.0172543	0.00146098
0	0.0149616	0.00139985
1	0.0186531	0.00133866
0	0.0162167	0.00133853
1	0.0189463	0.00127742
0	0.0155677	0.00127599
1	0.016771	0.00135326
0	0.0151261	0.00125752
1	0.0173366	0.00148439
0	0.0155424	0.00107198
1	0.0176365	0.00126086
0	0.0156337	0.0015113
1	0.0155863	0.0013856
0	0.0151481	0.00173176
1	0.0180932	0.00128966
0	0.0171902	0.00204595
1	0.01736	0.0012562
0	0.0155372	0.00138516
1	0.0154128	0.00152873
0	0.0139203	0.00125481
1	0.0165626	0.00126363
0	0.0148439	0.00122417
1	0.0148284	0.00123202
0	0.0158913	0.00102509
1	0.0131158	0.00152928
0	0.0158728	0.00147059
1	0.0139718	0.00189337
0	0.0177301	0.00138476
1	0.0126239	0.00150561
0	0.0169844	0.00137507
1	0.0143349	0.00162188
0	0.0169174	0.00121742
1	0.0158234	0.00194086
0	0.0167353	0.00132254
1	0.0130473	0.00144691
0	0.01671	0.00115858
1	0.0141372	0.00147944
0	0.0183569	0.0015257
1	0.0131251	0.00148197
0	0.0168632	0.00143988
1	0.0154453	0.00159341
0	0.0170535	0.00140864
1	0.0155182	0.00157702
0	0.0170147	0.00157194
1	0.0153255	0.00144932
0	0.0157739	0.0017203
1	0.0163703	0.00156469
0	0.0171919	0.00186646
1	0.0164127	0.00149937
0	0.0157686	0.00155341
1	0.016388	0.00158518
0	0.0137795	0.00141654
1	0.0160476	0.00159988
0	0.0106139	0.00142432
1	0.0162529	0.00151003
0	0.0107132	0.00102308
1	0.0173971	0.00150187
0	0.0106831	0.000943609
1	0.0172013	0.00142262
0	0.0102925	0.00120703
1	0.0174023	0.00123326
0	0.0108259	0.0014131
1	0.0171651	0.00131092
0	0.0121066	0.00132921
1	0.0169116	0.00132043
0	0.0118925	0.00131721
1	0.0176521	0.00158875
0	0.014165	0.00140818
1	0.0176686	0.00180087
0	0.0129612	0.0014542
1	0.0173732	0.00147112
0	0.0125307	0.00185523
1	0.0146716	0.00134048
0	0.0121843	0.00172736
1	0.0131207	0.00160051
0	0.0119193	0.00133634
1	0.0119671	0.00136607
0	0.0130255	0.00136139
1	0.0131541	0.00144016
0	0.0153274	0.00163504
1	0.0131504	0.00141235
0	0.0153816	0.00123759
1	0.0115398	0.00163387
0	0.0152887	0.00124105
1	0.0112051	0.00136085
0	0.0152644	0.00137065
1	0.010911	0.00157245
0	0.0160657	0.00161745
1	0.0100651	0.00130696
0	0.0185339	0.00167789
1	0.00928781	0.00156355
0	0.0200157	0.00159456
1	0.00978225	0.0016295
0	0.0196868	0.00158514
1	0.00905215	0.00165293
0	0.0176652	0.00142726
1	0.00958761	0.00182887
0	0.0157255	0.0016226
1	0.0094758	0.00190669
0	0.0141411	0.00146607
1	0.00960727	0.0018124
0	0.0165455	0.00177619
1	0.00988581	0.00174086
0	0.0193295	0.00167951
1	0.00903245	0.0018762
0	0.0190305	0.00155509
1	0.00831754	0.00145887
0	0.0190305	0.00170562
1	0.00929334	0.00147917
0	0.0149583	0.00161264
1	0.0105804	0.0019896
0	0.014393	0.00171715
1	0.00976574	0.00209551
0	0.0141789	0.00146833
1	0.00970906	0.00181174
0	0.0123829	0.00123739
1	0.00758967	0.00161243
0	0.0118665	0.000987
1	0.00727943	0.00131502
0	0.0117803	0.00106152
1	0.00810874	0.00108461
0	0.0125019	0.00111082
1	0.00857133	0.00143995
0	0.0116331	0.00138908
1	0.00799261	0.00127662
0	0.0125821	0.0017759
1	0.00748316	0.00136357
0	0.0116967	0.00168485
1	0.00721402	0.00133008
0	0.0130272	0.00161511
1	0.00761506	0.00143684
0	0.0141425	0.00148051
1	0.00660792	0.00120505
0	0.0142386	0.00146322
1	0.00721123	0.00124666
0	0.0152495	0.00157551
1	0.00773014	0.00116164
0	0.0147897	0.00167452
1	0.00649734	0.00141716
0	0.014435	0.00172553
1	0.00694704	0.00155879
0	0.0121173	0.00165914
1	0.00690517	0.00152364
0	0.0118558	0.00179941
1	0.00749793	0.001554
0	0.0126131	0.0018232
1	0.00679093	0.00170921
0	0.0135334	0.00171296
1	0.00746899	0.00179024
0	0.0144919	0.00168283
1	0.00789687	0.00164645
0	0.0143343	0.00181592
1	0.00837426	0.00148137
0	0.0148238	0.00154989
1	0.00852456	0.00121684
0	0.0161776	0.00139104
1	0.00799653	0.00115087
0	0.0193804	0.0014745
1	0.00824423	0.00168331
0	0.0211141	0.00151278
1	0.00813002	0.0010048
0	0.0217778	0.00175886
1	0.00922055	0.00116312
0	0.0220688	0.00146553
1	0.00989273	0.00147734
0	0.020889	0.00140422
1	0.00770717	0.00119732
0	0.0232175	0.00174576
1	0.00806765	0.00116567
0	0.0225825	0.00145853
1	0.00799885	0.00133792
0	0.0234466	0.00148984
1	0.00870953	0.00129603
0	0.0241468	0.00192502
1	0.00943609	0.00160068
0	0.0268243	0.00190844
1	0.00861141	0.00124545
0	0.0265524	0.00152822
1	0.00998391	0.00126219
0	0.0291569	0.00160867
1	0.0108516	0.00148836
0	0.0311741	0.00161816
1	0.0106981	0.00152081
0	0.0336432	0.00155788
1	0.0104359	0.00113568
0	0.0336807	0.00139622
1	0.0113963	0.00122422
0	0.0322712	0.00137865
1	0.0117237	0.00139153
0	0.0329259	0.00143821
1	0.0121084	0.0015619
0	0.0342901	0.0013394
1	0.0108364	0.001377
0	0.0325324	0.00127884
1	0.0111554	0.00162637
0	0.0316181	0.00125977
1	0.0104179	0.00149352
0	0.0321411	0.00152432
1	0.0116478	0.00121951
0	0.0315321	0.00147043
1	0.0116186	0.00139455
0	0.030173	0.00160357
1	0.0139906	0.00189824
0	0.0297404	0.00161487
1	0.0151244	0.00181566
0	0.0295628	0.0018382
1	0.0154643	0.00173582
0	0.0304851	0.00178547
1	0.0156943	0.00177084
0	0.0318615	0.00157566
1	0.0162587	0.00196708
0	0.0326981	0.00166885
1	0.0153386	0.00200091
0	0.0328402	0.00199334
1	0.0148963	0.00162177
0	0.0311273	0.00195142
1	0.0133746	0.00162758
0	0.0318995	0.00133269
1	0.0133541	0.00159799
0	0.0336632	0.00180458
1	0.0141214	0.00175386
0	0.0306907	0.00125033
1	0.0143907	0.00172088
0	0.030119	0.00145438
1	0.0137042	0.00183317
0	0.0261107	0.00156059
1	0.0128767	0.00179097
0	0.0287823	0.0018923
1	0.0119606	0.00162359
0	0.0268135	0.00166141
1	0.0130844	0.00142757
0	0.0258451	0.00149476
1	0.0143641	0.00139311
0	0.0255039	0.00159732
1	0.0141289	0.00172333
0	0.0246602	0.00181542
1	0.0132834	0.00150754
0	0.0239828	0.00170164
1	0.0107459	0.00134811
0	0.0233695	0.00140264
1	0.00991812	0.00132441
0	0.0244884	0.00161106
1	0.0104488	0.00127199
0	0.0277258	0.00193576
1	0.0108353	0.00161295
0	0.0272499	0.00211296
1	0.0110647	0.00179623
0	0.0239687	0.00176044
1	0.0115	0.00170927
0	0.0232717	0.00165356
1	0.0106364	0.00159448
0	0.0218783	0.00152604
1	0.00905668	0.0012793
0	0.0224836	0.0014641
1	0.00971803	0.00124256
0	0.0231871	0.00161676
1	0.00977385	0.00139235
0	0.0225549	0.00183963
1	0.0108252	0.00169607
0	0.0213363	0.00172787
1	0.0105123	0.00126442
0	0.0218969	0.0013263
1	0.00985423	0.0015628
0	0.0205278	0.00144048
1	0.00962491	0.00138792
0	0.0187987	0.00154797
1	0.0101588	0.00141212
0	0.0180613	0.00134505
