#beta 	x0 	error 	csi 	error
0.47	0.391625	0.00276069	1168.15	127.849
0.47	0.348849	0.00294025	1954.59	382.918
0.47	0.414355	0.00263685	1224.1	134.113
0.48	0.208035	0.00406249	5624.97	4408.91
0.48	0.280827	0.00338108	1969.17	446.044
0.48	0.270235	0.00345083	1652.79	319.99
0.48	0.279032	0.0033979	3700.91	1593.71
0.48	0.242748	0.00368574	3600.68	1633.76
0.48	0.264195	0.00352721	4347.1	2284.14
0.48	0.2396	0.0037325	8716.06	9747.7
0.48	0.243471	0.00368982	4087.02	2109.71
0.48	0.253261	0.0036211	4443.36	2450.09
0.48	0.261755	0.00351804	1648.42	324.431
0.48	0.232984	0.00379096	5008.34	3258.4
0.48	0.280472	0.00338803	3708.78	1595.29
0.48	0.249465	0.00363206	2818.72	984.856
0.48	0.228848	0.00381991	4198.87	2305.21
0.48	0.264356	0.00351104	3491.14	1463.38
0.48	0.269467	0.00347429	3626.42	1563.25
0.49	0.234936	0.00376709	3078.33	1218.89
0.49	0.20496	0.00408737	6226.28	5433.41
0.49	0.212471	0.00400485	5940.77	4845.98
0.49	0.188739	0.00430434	17633.7	46051.1
0.49	0.190934	0.00427895	9297.95	12709.9
0.49	0.246392	0.00366964	4371.99	2403.47
0.49	0.227334	0.0038489	3666.33	1770.38
0.49	0.189316	0.00429228	7182.25	7596.57
0.49	0.2136	0.00399854	10852.2	16188
0.49	0.193875	0.00422202	4772.58	3291.41
0.49	0.236485	0.00376043	5158.98	3431.3
0.49	0.237349	0.00375188	6147.62	4864.76
0.49	0.179355	0.00442219	7152.17	7757.16
0.49	0.185018	0.00435163	15352.7	35281.1
0.49	0.179575	0.00441904	13357.2	27101.9
0.49	0.197168	0.00419837	6809.84	6680.13
0.5	0.192412	0.00425186	6826.68	6799.79
0.5	0.215705	0.00396765	4358.57	2579.88
0.5	0.169339	0.00458127	7224.67	8205.77
0.5	0.193349	0.00423415	5055.15	3704.27
0.5	0.172793	0.00451942	6843.73	7257.37
0.5	0.207052	0.00407552	3898.86	2118.83
0.5	0.18227	0.00439334	7631.26	8782.69
0.5	0.214323	0.00399133	5298.48	3840.87
0.5	0.200096	0.00413908	3590.68	1821.97
0.5	0.163782	0.00466415	12574.1	25340.3
0.5	0.198109	0.0041736	6472.66	5995.75
0.5	0.18475	0.00435374	7157.67	7651.9
0.5	0.196725	0.0041893	5658.61	4595.89
0.5	0.141628	0.00505632	15652.5	42570
0.5	0.166909	0.00460661	9027.36	12883
0.5	0.209974	0.00403262	5133.37	3640.04
