#beta 	x0 	error 	csi 	error
0.4	4.44923	0.00016796	3.61458	6.68429e-05
0.4	12.1119	0.00017127	-35.7251	0.00675138
0.4	-14.9993	0.000279549	0.851607	7.04422e-06
0.4	-2.38539	0.000182859	1.96977	2.07216e-05
0.4	5.82649	0.000264171	-554.085	2.39558
0.4	2.41343	0.000214089	27.7136	0.00489957
0.4	17.6068	0.000176428	-6.84756	0.000237986
0.4	21.8247	0.000171562	-4.49311	0.000108137
0.4	4.80268	0.00020974	5.45053	0.000212819
0.4	2.25335	0.000197512	16.3757	0.00162019
0.4	20.7377	0.000182035	-2.80146	4.47588e-05
0.4	4.44392	0.000210329	52.2698	0.0163881
0.4	4.06441	0.000219018	25.675	0.00530543
0.4	20.4998	0.000159179	-2.30443	2.76875e-05
0.4	3.81138	0.000218967	-137.251	0.126263
0.4	2.21911	0.00022014	29.1918	0.00541661
0.41	-5.10339	0.000204225	2.27743	2.82441e-05
0.41	5.95797	0.000197553	2.31346	3.81043e-05
0.41	1.94954	0.000291855	14.0373	0.00197093
0.41	-20.7823	0.00036585	0.742535	7.97863e-06
0.41	0.588811	0.00025431	11.7744	0.000984212
0.41	7.36708	0.000213663	5.71453	0.000191612
0.41	2.62563	0.000182322	5.35636	0.000153412
0.41	36.8825	0.000205882	-0.987997	8.41464e-06
0.41	-1.85702	0.000189105	2.25717	2.66926e-05
0.41	-0.171464	0.000315943	7.46112	0.000546067
0.41	4.37311	0.000214036	447.533	1.35648
0.41	4.14153	0.000175795	56.3706	0.016603
0.41	5.21461	0.000190887	-185.259	0.190145
0.41	2.78332	0.000235862	25.0752	0.00454796
0.41	9.24688	0.00018434	6.95817	0.000260521
0.41	4.96608	0.000163755	2304.67	26.439
0.42	3.49398	0.000284829	57.187	0.0289558
0.42	3.16673	0.00023228	38.6444	0.0103168
0.42	3.37642	0.000208233	33.436	0.00727166
0.42	2.15509	0.000275517	52.4122	0.0225319
0.42	21.4326	0.000212615	-2.47879	4.25425e-05
0.42	3.67637	0.000249921	65.9292	0.0336928
0.42	0.44374	0.000394512	6.30309	0.000632699
0.42	6.33332	0.000221028	-376.846	0.987502
0.42	0.403243	0.000253036	2.96489	6.2579e-05
0.42	0.367202	0.000408788	7.30041	0.000813776
0.42	-10.078	0.000277646	1.5709	1.96393e-05
0.42	2.39194	0.000306143	195.663	0.356387
0.42	2.54453	0.000270811	23.5794	0.00448423
0.42	5.20171	0.000259272	-135.062	0.129912
0.42	3.37648	0.000282259	14.3803	0.00181084
0.42	-8.79284	0.000224324	1.79486	2.14842e-05
0.43	-1.08839	0.000436103	5.87513	0.000527395
0.43	3.00528	0.000296388	27.0604	0.00705919
0.43	1.33464	0.00029992	23.5571	0.00470003
0.43	-1.9422	0.000525619	4.38349	0.000389502
0.43	-4.23668	0.000250445	1.93105	2.55496e-05
0.43	2.00782	0.000249118	8.02143	0.000567122
0.43	-1.80126	0.000545004	3.69162	0.000331055
0.43	1.94175	0.000334248	157.999	0.252101
0.43	1.11871	0.000376233	39.2878	0.0164003
0.43	1.34135	0.000424077	107.375	0.144603
0.43	-0.983298	0.000384019	5.37647	0.000373397
0.43	1.53066	0.000325978	10.3307	0.00128979
0.43	3.40905	0.000255505	44.0085	0.0150285
0.43	-1.86205	0.000566324	4.16633	0.000400697
0.43	1.0885	0.000582421	10618.9	2018.53
0.43	1.17394	0.000469785	111.282	0.17173
0.44	0.720738	0.000767914	2095.57	102.903
0.44	0.624962	0.000858488	3848.49	388.595
0.44	0.997115	0.000547707	104.449	0.175625
0.44	0.755478	0.000754149	2168.17	108.411
0.44	0.567492	0.000926945	-45739.1	59407.8
0.44	0.868487	0.000673021	1091.01	24.4329
0.44	0.56782	0.000908868	1689.84	79.052
0.44	0.958271	0.000429072	38.4614	0.0177976
0.44	1.1565	0.000483882	90.4183	0.115847
0.44	0.964984	0.000586214	329.516	1.91484
0.44	0.529672	0.000971132	31717.1	29903.8
0.44	0.847389	0.000663182	767.864	11.8658
0.44	1.13182	0.000502491	199.437	0.596728
0.44	0.695159	0.000784102	1437.29	49.3362
0.44	1.01926	0.00053527	150.37	0.358848
0.44	1.11944	0.00046021	66.678	0.0592148
0.45	0.711407	0.000782323	-213827	1.09525e+06
0.45	0.605778	0.000867887	720.311	13.6569
0.45	0.427415	0.00112054	5120.77	897.736
0.45	0.49044	0.00102258	10604.4	3517.7
0.45	0.517134	0.000983108	6979.58	1464.36
0.45	0.635065	0.000844661	2577.34	171.236
0.45	0.407073	0.00116832	18390.9	12097.1
0.45	0.720293	0.000773888	5395.74	689.007
0.45	0.534549	0.000957193	1943.24	110.229
0.45	0.614342	0.000870469	1987.48	104.942
0.45	0.719309	0.000766495	1031.92	24.8259
0.45	0.543781	0.000955756	12701.6	4721.27
0.45	0.449137	0.00107999	3614.84	430.799
0.45	0.585437	0.000916039	4742.41	630.826
0.45	0.44448	0.00110083	-127343	546890
0.45	0.632636	0.000844656	653.381	10.9328
0.46	0.405644	0.00116746	21595.8	16666.3
0.46	0.397571	0.00116864	2286.21	186.121
0.46	0.360773	0.00125988	9940.49	3807.83
0.46	0.452076	0.00108221	3497.39	404.378
0.46	0.335608	0.0013183	14538.9	8523.88
0.46	0.36291	0.00125205	7762.45	2306.35
0.46	0.490228	0.00102479	4785.69	717.597
0.46	0.427939	0.001124	9936.8	3394.79
0.46	0.386048	0.00120523	6003.58	1327.98
0.46	0.367143	0.00124575	7168.69	1957.52
0.46	0.412166	0.00115205	7319.78	1887.4
0.46	0.365174	0.00125063	12457.8	5937.89
0.46	0.397278	0.00118561	8217.88	2449.77
0.46	0.397545	0.00116812	1938.93	133.717
0.46	0.462013	0.00104907	1401.67	62.6688
0.46	0.563194	0.000924837	2502.21	176.74
0.47	0.317593	0.00137347	30293.9	38592.6
0.47	0.297019	0.00143055	72107.6	227706
0.47	0.307453	0.00139574	12939.8	7147.73
0.47	0.299446	0.00142003	9907.37	4262.38
0.47	0.335433	0.00132359	36537.4	54089.9
0.47	0.301687	0.00141633	36573.4	57990.5
0.47	0.285789	0.00146279	40672.5	74058.8
0.47	0.289078	0.00144525	5598.71	1383.47
0.47	0.348369	0.00128301	6131.93	1473.85
0.47	0.348372	0.00129298	14906.5	8792.64
0.47	0.291899	0.00144651	25193.4	28098.7
0.47	0.309759	0.00139167	13508	7768.51
0.47	0.213566	0.00175018	1.62791e+07	1.42e+10
0.47	0.295363	0.00143504	50946.2	114019
0.47	0.289038	0.00145348	26706	31723.7
0.47	0.332937	0.0013214	5481.34	1212.67
0.48	0.252253	0.00158591	44051	94218.9
0.48	0.299122	0.00142396	25607.3	28579.8
0.48	0.278173	0.0014909	61377	171929
0.48	0.238443	0.00163775	29329	43113.2
0.48	0.209555	0.00177242	-193936	2.04141e+06
0.48	0.213272	0.00175163	102927	568046
0.48	0.290461	0.00144952	25253.9	28288.4
0.48	0.272331	0.00150445	11245.9	5817.45
0.48	0.240161	0.00163217	1.0485e+06	5.49396e+07
0.48	0.272292	0.00150704	23212.9	24845.6
0.48	0.243405	0.00161685	100595	500851
0.48	0.275919	0.00149501	15182.3	10541.2
0.48	0.30364	0.0014117	73722.1	234881
0.48	0.251917	0.00158302	110031	586695
