#beta 	x0 	error 	csi 	error
0.4	-60.5319	0.00837693	0.0784638	6.87104e-06
0.4	0.937206	0.00737952	11.2767	0.10596
0.4	0.787398	0.0116515	140.623	27.9849
0.4	5.26674	0.00468646	-6.30432	0.0229893
0.4	0.835597	0.00635136	6.30569	0.0276767
0.4	-43.1128	0.00460659	0.163881	1.0323e-05
0.4	2.73818	0.00457653	7.08747	0.0272075
0.4	-0.715294	0.0138188	2.04226	0.00916721
0.4	0.930497	0.00571031	2.59044	0.00470925
0.4	-0.175063	0.00842535	2.25469	0.00570257
0.4	0.547337	0.0153509	374.532	261.767
0.4	0.679227	0.0069217	2.10256	0.00451972
0.4	1.20709	0.00649878	11.4393	0.0969279
0.4	0.686068	0.0131059	1397.18	3126.17
0.4	-53.7972	0.00649458	0.0938302	6.82611e-06
0.4	0.964822	0.0102	328.291	134.388
0.41	61.8164	0.0030205	-0.244003	2.63896e-05
0.41	-35.6593	0.00615117	0.0998137	8.7736e-06
0.41	1.11217	0.00749773	2.72892	0.00777536
0.41	1.35009	0.00803126	39.8934	1.51625
0.41	0.698496	0.0118116	45.6685	2.9102
0.41	0.753075	0.0120231	80.1702	9.26878
0.41	-3.70718	0.0134697	0.664955	0.00115446
0.41	-18.489	0.00437916	0.242292	2.01107e-05
0.41	1.14669	0.00817734	70.1842	4.83383
0.41	-57.3886	0.00529471	0.114777	6.64028e-06
0.41	1.01017	0.00517031	3.77497	0.00806483
0.41	0.561891	0.0123274	27.111	1.0465
0.41	1.38039	0.00688712	16.9847	0.231496
0.41	1.43462	0.00501489	2.85241	0.00538802
0.41	3.3028	0.00614035	26.7684	0.542673
0.41	1.13126	0.00929797	23.4221	0.605264
0.42	-0.931599	0.0081766	2.17562	0.00451674
0.42	3.16596	0.00393601	6.57152	0.0192105
0.42	1.23462	0.00622269	10.5881	0.0790673
0.42	-1.4038	0.00998362	1.5713	0.00351316
0.42	0.576839	0.0134541	39.05	2.40849
0.42	-0.550191	0.00848795	2.20816	0.00540802
0.42	0.745947	0.0117929	53.8628	4.05524
0.42	0.394248	0.0101729	9.73606	0.105424
0.42	0.631447	0.0143217	1072.23	2013.21
0.42	0.909458	0.0109462	-444.64	265.55
0.42	-40.7715	0.00379778	0.128823	6.71663e-06
0.42	-0.128658	0.00794437	2.39976	0.00593931
0.42	2.03242	0.00579597	10.9457	0.0802679
0.42	1.12176	0.00810422	14.6955	0.201172
0.42	0.704015	0.0126884	232.445	83.2051
0.42	1.83462	0.006148	121.858	11.0176
0.43	0.348072	0.0208805	2586.66	17078.7
0.43	0.429207	0.0179632	388.626	329.72
0.43	0.565665	0.0111409	17.5236	0.387551
0.43	0.718446	0.0131446	307.475	151.369
0.43	0.501624	0.0153056	81.7816	12.2041
0.43	0.460445	0.0172786	5452.02	62752.6
0.43	0.674354	0.0131783	425.49	290.68
0.43	0.528977	0.0153312	145.838	39.3374
0.43	0.626325	0.0139349	880.346	1317.84
0.43	0.798341	0.0105079	36.8366	1.68041
0.43	-46.4546	0.00418553	0.134363	7.29739e-06
0.43	0.633934	0.0142211	411.553	294.069
0.43	0.565779	0.0141509	67.8489	7.75936
0.43	0.677632	0.0134337	-12012	237567
0.43	0.499048	0.015811	93.3397	16.5092
0.43	0.553053	0.00619762	5.02772	0.0168763
0.44	0.212585	0.0280531	753.934	1939.76
0.44	0.416998	0.0188972	930.78	1998.8
0.44	0.300883	0.0228949	3380.17	31976
0.44	0.601477	0.0096422	11.1515	0.133165
0.44	0.637855	0.0133873	55.9944	4.98244
0.44	0.606868	0.0140309	132.641	29.7911
0.44	0.535239	0.0149229	63.1895	7.07063
0.44	-0.271586	0.00721431	3.63569	0.00981421
0.44	0.530525	0.0150131	98.5892	17.4951
0.44	0.510455	0.0162601	1540.17	4703.86
0.44	0.462743	0.0110493	11.8398	0.171231
0.44	0.184154	0.0308028	1477.01	8197.01
0.44	0.14147	0.0360391	1790.26	14093.7
0.44	0.409408	0.0168499	47.1569	4.38336
0.44	0.481139	0.0157796	76.3357	10.9437
0.44	0.679788	0.0133026	173.815	48.8358
0.45	-1.38001	0.00798803	2.13307	0.00403196
0.45	-0.563989	0.00597873	1.50853	0.00167694
0.45	0.313687	0.0225573	5445.25	81814.6
0.45	0.400806	0.0188209	326.667	243.865
0.45	0.232231	0.0267867	3993.02	52166.3
0.45	0.398602	0.0184973	96.8709	20.7204
0.45	0.606663	0.0131107	67.6544	7.14272
0.45	0.512136	0.0138767	36.1146	2.10878
0.45	0.475974	0.0161394	82.3208	13.0378
0.45	0.376539	0.0199789	-4853.53	57626
0.45	0.0507899	0.0628589	1.31001e+06	1.32005e+10
0.45	0.634909	0.0129944	75.9215	8.94712
0.45	-1.29123	0.00918499	1.75507	0.00364052
0.45	2.88858	0.00460094	7.97959	0.0361164
0.45	0.762954	0.0107587	34.3732	1.48727
0.45	0.513034	0.0141421	42.1152	2.93671
0.46	0.497053	0.0140793	31.1726	1.58463
0.46	0.496548	0.016212	440.05	381.424
0.46	0.274974	0.0242226	1557.98	7178.57
0.46	0.471871	0.0156149	55.3627	5.6486
0.46	0.185816	0.0306204	2117.16	16751.2
0.46	0.143552	0.0355633	3648.96	57833
0.46	0.305349	0.0219834	229.313	139.501
0.46	0.593634	0.0133229	39.1529	2.39707
0.46	0.432903	0.0170716	92.7275	17.4981
0.46	0.55102	0.008988	10.7004	0.113625
0.46	0.259694	0.0251544	841.077	2166.32
0.46	0.233585	0.0271274	9357.31	290630
0.46	0.220027	0.0276608	532.381	952.187
0.46	0.319103	0.021841	1002.78	2675.98
0.46	0.423574	0.0194015	1700.47	6875.11
0.46	0.313409	0.0223227	4881.23	64972
0.47	0.222583	0.0277231	624.046	1312.04
0.47	0.528932	0.0158409	690.811	922.131
0.47	0.445779	0.0179349	2558.39	14367
0.47	0.44564	0.0179128	422.422	389.133
0.47	0.161559	0.032978	1311.72	6910.48
0.47	0.285546	0.0237025	1235.79	4415.72
0.47	0.613084	0.0148389	158.88	45.6121
0.47	0.309076	0.0216547	258.102	174.096
0.47	0.461528	0.0166631	69.0334	9.42276
0.47	0.504258	0.014928	38.4555	2.5773
0.47	0.166851	0.0329829	11440.6	528334
0.47	0.252761	0.0260577	1586.87	8013.76
0.47	0.377445	0.0198073	810.946	1588.77
0.47	0.363302	0.0191094	86.5496	16.9994
0.47	0.189036	0.0307623	15638.9	920863
0.47	0.291809	0.0238199	-86703.5	2.19447e+07
0.48	0.258036	0.025058	736.323	1653.1
0.48	0.439975	0.0182791	-2890.96	18723.1
