#beta 	x0 	error 	csi 	error
0.4	0.264054	0.0981926	88.9889	185.985
0.4	1.06358	0.0253629	3.79189	0.0808873
0.4	-0.286884	0.0291598	1.27481	0.0109555
0.4	0.54394	0.0315321	2.4407	0.0402225
0.4	0.475691	0.0666314	44.5901	31.5371
0.4	0.454986	0.0684141	74.5045	91.0098
0.4	0.808122	0.0371384	9.56478	0.779033
0.4	-3.84897	0.0626572	0.38771	0.00316675
0.4	0.571878	0.0417389	6.67668	0.415742
0.4	0.306643	0.0954627	6096.97	864414
0.4	1.62986	0.0259653	1.68184	0.0202655
0.4	0.484418	0.0594837	20.0692	5.57363
0.4	0.892776	0.0401422	23.2166	5.11529
0.4	0.433058	0.052605	8.61993	0.874771
0.4	0.319557	0.0854606	44.3873	39.7741
0.4	16.1759	0.0158555	0.193947	0.00013865
0.41	-48.4921	0.0198099	0.0627709	1.47356e-05
0.41	0.497047	0.0667823	290.035	1362.24
0.41	0.25983	0.103822	-22063.1	1.23144e+07
0.41	1.17448	0.037312	65.0571	38.1985
0.41	2.4263	0.0349279	20.7832	4.36207
0.41	0.386748	0.0768206	55.0398	55.4609
0.41	0.233262	0.104236	50.8108	63.4088
0.41	-72.4401	0.0270879	0.0490139	1.22343e-05
0.41	0.227235	0.0487969	4.21651	0.185374
0.41	0.798096	0.0464254	27.5332	8.34079
0.41	0.309207	0.0947436	-3450.93	275674
0.41	0.655628	0.0430266	8.66188	0.729634
0.41	0.814464	0.0453825	19.6948	4.13115
0.41	0.427732	0.0731676	146.349	378.752
0.41	-40.1509	0.0164917	0.081896	1.76366e-05
0.41	0.251241	0.10561	477.291	5846.89
0.42	0.807475	0.0468081	30.5671	10.4255
0.42	0.731391	0.0279902	1.7515	0.0203567
0.42	0.256379	0.105126	1329.38	45259.3
0.42	0.402477	0.0618336	14.1032	2.81324
0.42	0.231279	0.105592	134.696	459.2
0.42	0.946908	0.0429964	28.1926	8.1147
0.42	0.324477	0.0880604	130.791	363.105
0.42	-0.518653	0.0610807	0.935493	0.0189753
0.42	0.672104	0.0479374	14.7502	2.41573
0.42	0.386226	0.0767037	55.7429	56.8998
0.42	0.969346	0.0417357	81.4651	66.3997
0.42	0.164093	0.133769	799.945	20762
0.42	0.305077	0.094838	1151.48	30627.3
0.42	1.4229	0.0337034	12.4648	1.24017
0.42	0.381148	0.0675895	15.8782	3.90729
0.42	0.0126049	0.0338126	1.13562	0.011262
0.43	0.169748	0.133645	-6903.65	1.55274e+06
0.43	0.893936	0.0476981	62.2423	44.3453
0.43	75.1294	0.0122735	-0.0795113	2.49182e-05
0.43	0.583624	0.0463847	9.2246	0.893973
0.43	0.313677	0.0938076	-542.233	6756.05
0.43	0.0800735	0.200574	1527.77	113641
0.43	0.714154	0.0445097	1.49958	0.0333238
0.43	0.447181	0.0671982	34.0882	18.4767
0.43	0.338218	0.0862032	252.726	1334.49
0.43	0.925593	0.0421147	48.3185	23.4806
0.43	0.191575	0.120146	176.115	896.661
0.43	-33.2916	0.0201645	0.0766991	2.12017e-05
0.43	-1.43807	0.0498307	0.649402	0.00655491
0.43	0.495161	0.0612978	20.9607	6.28093
0.43	0.60639	0.0566564	29.1346	11.3986
0.43	0.361106	0.0776285	40.0113	29.3085
0.44	0.127996	0.156853	-1454.07	80975.4
0.44	0.209864	0.119937	889.28	23122.5
0.44	0.296183	0.0904324	65.7567	93.151
0.44	0.849677	0.0315893	4.914	0.169945
0.44	0.400276	0.0675424	24.0843	9.15756
0.44	1.16266	0.0275997	7.00836	0.310682
0.44	0.687527	0.0522947	20.4091	5.11891
0.44	0.040822	0.289239	1.23175e+15	1.06953e+29
0.44	0.0800735	0.200574	1527.77	113641
0.44	-51.434	0.017731	0.0718389	1.46042e-05
0.44	0.25455	0.105585	790.958	16082.5
0.44	0.0788562	0.204163	1002.73	49767.2
0.44	0.242012	0.105324	225.119	1289.53
0.44	-0.509161	0.0359845	1.42602	0.0165631
0.44	0.21113	0.11699	1214.07	41906.5
0.44	0.21693	0.115781	-1145.39	37079.8
0.45	0.284087	0.0979744	169.331	679.201
0.45	0.510644	0.0717535	53.8827	50.0741
0.45	0.126582	0.160954	-3784.51	563666
0.45	0.237003	0.110992	153.378	630.492
0.45	0.40115	0.070849	36.477	22.2601
0.45	0.125221	0.158337	15730.8	9.54768e+06
0.45	0.0815385	0.198954	3603.13	628050
0.45	-0.383795	0.0312856	1.70965	0.0186748
0.45	0.194724	0.119537	200.807	1161.01
0.45	0.181781	0.127308	112.823	386.255
0.45	0.121984	0.158721	1113.45	47745.9
0.45	0.240454	0.107873	201.534	1059.84
0.45	0.393172	0.0629232	13.3576	2.55823
0.45	0.388954	0.0642074	12.9901	2.46369
0.45	0.299363	0.0979893	368.558	3221.84
0.45	0.21763	0.117371	-1152.76	38158.1
0.46	0.29278	0.0957054	274.312	1746.09
0.46	0.040822	0.289239	-1.41289e+15	1.40723e+29
0.46	0.0788562	0.204163	1002.73	49767.2
0.46	0.218047	0.117453	-900.8	23345.2
0.46	-77.7368	0.0287404	0.0459626	1.13881e-05
0.46	0.302145	0.0899672	71.5275	109.718
0.46	0.40091	0.0748912	71.3616	91.439
0.46	0.224856	0.107181	110.429	312.641
0.46	0.169354	0.135917	-15771	8.25553e+06
0.46	0.0861007	0.2004	-1139.02	63884
0.46	0.207932	0.11947	643.29	12022.8
0.46	0.582267	0.028385	2.64842	0.0426284
0.46	0.228235	0.107365	123.949	396.001
0.46	0.21798	0.121264	-1267.03	47682.6
0.46	0.173096	0.134258	-944.723	29324.2
0.46	0.656824	0.0597148	131.223	249.131
0.47	0.360982	0.0708819	13.8487	3.08166
0.47	0.211741	0.118104	1825.88	96010.8
0.47	0.040822	0.289239	4.80384e+15	1.62676e+30
0.47	0.297669	0.0915035	65.3502	92.9239
0.47	0.363617	0.0863872	-547.106	6329.38
0.47	0.200782	0.119663	285.59	2356.95
0.47	0.130119	0.158436	-804.273	25132.1
0.47	0.040822	0.289239	1.14559e+14	9.25134e+26
0.47	0.163812	0.137087	732.088	17875.2
0.47	0.418716	0.0686428	26.8065	11.5818
0.47	0.235782	0.105083	162.389	666.289
0.47	0.118862	0.160871	589.452	13530.3
0.47	0.115538	0.165078	377.575	5676.74
0.47	0.442234	0.0722976	301.975	1600.84
0.47	0.127962	0.161793	-1604.03	102032
0.47	0.040822	0.289239	-8.01531e+13	4.52884e+26
0.48	0.244107	0.104923	257.071	1676.16
0.48	0.173578	0.134051	-844.242	23387
0.48	0.214972	0.118619	-5713.32	945621
0.48	0.401588	0.0785305	1715.64	56353.7
0.48	0.0794663	0.202741	1188.3	69428.1
0.48	0.303224	0.0882016	74.676	117.423
0.48	0.164573	0.134054	852.085	23624.4
0.48	0.040822	0.289239	-9.80375e+14	6.77534e+28
0.48	0.0843995	0.19842	-2121.14	218187
0.48	0.17156	0.135626	-1570.91	81903.9
0.48	0.040822	0.289239	1.05579e+14	7.8578e+26
0.48	0.121507	0.160151	1004.43	39223.3
0.48	0.219338	0.115491	-675.385	12877.7
0.48	0.262011	0.0980966	86.0807	173.644
0.48	0.257102	0.104186	1841.01	85983.8
0.49	0.589326	0.0502691	13.5825	2.13007
0.49	0.208264	0.118036	693.619	13791.5
0.49	0.231566	0.110886	128.615	439.992
0.49	0.125413	0.160452	25807.2	2.60787e+07
0.49	0.180219	0.124839	112.327	376.054
0.49	0.209358	0.117486	785.929	17623.9
0.49	0.040822	0.289239	1.0015e+14	7.07041e+26
0.49	0.339768	0.080634	32.4712	19.9451
0.49	0.250368	0.104199	421.97	4495.53
0.49	0.203129	0.117815	360.53	3704.25
0.49	0.191605	0.122007	168.967	837.223
0.49	0.228585	0.116793	-255.665	1881.44
0.49	0.234508	0.105671	153.951	602.201
0.49	0.236816	0.10705	165.262	703.119
0.49	0.115538	0.165078	377.575	5676.74
0.5	0.182295	0.123368	118.618	414.519
0.5	0.125843	0.160606	-9735.78	3.71702e+06
0.5	0.197618	0.121137	235.59	1624.95
0.5	0.202717	0.11972	346.542	3485.54
0.5	0.0832284	0.198214	-7851.18	2.97895e+06
0.5	0.203316	0.119	372.967	4015.18
0.5	0.0815385	0.198954	3603.13	628050
0.5	0.125003	0.158185	6902.3	1.83473e+06
0.5	0.29489	0.0941507	299.372	2044.45
0.5	0.040822	0.289239	7.08531e+13	3.53887e+26
0.5	0.219398	0.116057	-670.058	12749.3
0.5	0.216742	0.116016	-1274.37	45993.8
