#beta 	x0 	error 	csi 	error
0.4	4.25341	0.000146826	13.7482	0.000605905
0.4	8.29707	0.000111882	-29.8964	0.00256598
0.4	5.30364	0.000149216	3.54566	5.73141e-05
0.4	10.4698	0.000109253	16.8719	0.000798175
0.4	15.1878	0.000115687	-11.2185	0.000393089
0.4	-4.09741	0.000124501	2.48006	1.69213e-05
0.4	5.76155	0.000106325	-50.3179	0.00659662
0.4	15.4833	0.000130732	-5.93036	0.000111656
0.4	-4.79661	0.000113791	3.09414	2.60182e-05
0.4	10.7061	0.000148228	-78.0874	0.0304983
0.4	1.68339	0.000163941	10.5673	0.000526066
0.4	9.5266	0.000104284	-16.0842	0.000669644
0.4	-2.53044	0.000115556	2.58677	1.85545e-05
0.4	14.9601	0.000103062	-4.89367	6.12565e-05
0.4	4.71938	0.000172679	159.158	0.09549
0.4	5.16214	0.000131708	-211.468	0.128848
0.41	3.38039	0.000149093	16.7592	0.00130864
0.41	-1.56389	0.000115981	4.10638	4.79935e-05
0.41	3.97455	0.000117668	28.0117	0.00244581
0.41	3.72776	0.000138169	23.4262	0.00217771
0.41	4.89322	0.000126277	-39.2087	0.00496381
0.41	-4.09965	0.000130111	2.96018	2.80483e-05
0.41	4.08136	0.000133217	147.413	0.0690045
0.41	9.76849	0.000133465	-20.1581	0.00143752
0.41	-2.83916	0.000115561	3.32683	3.0809e-05
0.41	4.24874	0.000115433	37.3658	0.00442447
0.41	4.24194	0.000108195	-362.803	0.349847
0.41	10.6577	0.0001102	-12.0144	0.000385862
0.41	-8.37965	0.000146128	1.53077	9.82329e-06
0.41	10.4887	0.00011411	20.1559	0.00128456
0.41	8.35163	0.00010984	-25.3475	0.00171835
0.41	-5.68993	0.000123695	2.36416	1.78289e-05
0.42	3.42159	0.000153176	51.5097	0.00950525
0.42	3.21621	0.000130572	53.7477	0.00917536
0.42	2.27676	0.000187323	840.897	3.23939
0.42	-0.76884	0.000258964	5.388	0.000254487
0.42	4.15659	0.000152641	146.343	0.0730938
0.42	3.13878	0.000149891	31.1733	0.00324555
0.42	15.428	0.000105454	-4.26436	4.90112e-05
0.42	4.11235	0.000152129	25.2933	0.00259057
0.42	-23.6334	0.000205866	0.889143	5.13016e-06
0.42	-0.631942	0.000245716	6.1614	0.000296787
0.42	-8.68938	0.000166839	2.49437	2.2328e-05
0.42	4.95272	0.000155985	-154.54	0.0825127
0.42	3.19072	0.000144457	90.3277	0.0286651
0.42	1.92032	0.000165799	31.9215	0.00393278
