#beta 	x0 	error 	csi 	error
0.47	0.156073	0.00844143	1.59964e+06	1.32242e+09
0.47	0.235212	0.00660467	4074.02	6699.07
0.47	0.304739	0.00561919	2512.94	2167.05
0.47	0.396661	0.0048425	1311.17	508.491
0.48	0.187551	0.00759415	12052.1	67504.3
0.48	0.22138	0.00684218	1637.73	1118.22
0.48	0.180047	0.00776357	27579.3	361368
0.48	0.266437	0.00613321	15803	93737.1
0.48	0.318215	0.00553687	8611.9	25141.3
0.48	0.183229	0.0076874	5265.14	13026.1
0.48	0.320598	0.00548478	-17801.8	106471
0.48	0.264363	0.00618967	62809.3	1.49526e+06
0.48	0.327147	0.00534965	2117.04	1463.17
0.48	0.205947	0.00718018	-27215.9	325709
0.48	0.104869	0.0105194	34669.8	773626
0.48	0.17514	0.0079266	415117	8.36513e+07
0.48	0.71961	0.00316362	302.636	17.5657
0.48	0.250443	0.00637967	-124388	6.04326e+06
0.48	0.219339	0.00692141	-467943	9.28107e+07
0.48	0.252244	0.00633313	2281.01	2011.36
0.49	0.303001	0.00567501	7530.33	19692.1
0.49	0.191797	0.00746733	2843.39	3685.21
0.49	0.301435	0.00573565	17284.4	104955
0.49	0.216916	0.00693262	6286.39	16745.9
0.49	0.297193	0.00575736	7311.43	18835.8
0.49	0.126037	0.00950855	30769	550799
0.49	0.118389	0.00984139	98823.9	5.88234e+06
0.49	0.278547	0.00597433	43749.4	700007
0.49	0.217285	0.00694433	3108.19	4097.78
0.49	0.249959	0.00631043	1262.37	611.601
0.49	0.347879	0.0051779	1423.67	640.001
0.49	0.267303	0.00607585	2581.22	2470.44
0.49	0.313959	0.00547929	1305.02	568.331
0.49	0.202985	0.00718384	2920.48	3738.86
0.49	0.162225	0.00824094	3182.98	5096.18
0.49	0.142107	0.00891017	30898.1	520684
0.5	0.172725	0.00792063	6378.89	19694.9
0.5	0.122678	0.00963124	12999.4	99521.6
0.5	0.187239	0.00753299	3509.79	5663.88
0.5	0.20111	0.00728161	3498.32	5444.59
0.5	0.155475	0.00845199	25250.6	329798
0.5	0.177877	0.00782036	-623010	1.85827e+08
0.5	0.153577	0.00846768	6130	19440.4
0.5	0.15599	0.00845433	166905	1.44215e+07
0.5	0.169962	0.00804624	-50504	1.25696e+06
0.5	0.150507	0.00854756	5310.56	14719.2
0.5	0.140037	0.00900427	-134375	9.95847e+06
0.5	0.188435	0.0075285	4889.54	10997.9
0.5	0.268661	0.00613758	3089.23	3578.44
0.5	0.109773	0.0102677	18161.1	207138
0.5	0.128529	0.0094074	22554.2	292792
0.5	0.201126	0.00721363	2156.3	2044.72
