#beta 	x0 	error 	csi 	error
0.4	16.2029	0.000421653	-3.55155	0.00019688
0.4	16.8451	0.000363082	-5.43622	0.000477778
0.4	-24.1024	0.000605587	0.454056	6.58616e-06
0.4	6.04473	0.000324046	-19.4693	0.00533622
0.4	0.101232	0.000616601	4.53733	0.000643246
0.4	4.04065	0.000362387	21.5997	0.00822722
0.4	-0.540867	0.000350024	1.87459	5.15536e-05
0.4	-0.121812	0.000517796	5.65106	0.000668226
0.4	15.4754	0.000330294	-22.0174	0.00669685
0.4	25.6111	0.000348459	-1.80483	4.47357e-05
0.4	13.1054	0.000308861	4.03634	0.0002269
0.4	2.23808	0.00043766	7.93387	0.0013479
0.4	-8.6978	0.00032244	1.23332	1.8496e-05
0.4	36.731	0.000268778	-0.91108	9.40687e-06
0.4	4.83217	0.000402151	-59.0334	0.0529292
0.4	-1.78473	0.000350772	1.24048	2.21255e-05
0.41	3.23844	0.000345247	21.916	0.00669943
0.41	20.6713	0.000340771	-4.17102	0.000250005
0.41	3.95692	0.000366455	119.689	0.214479
0.41	3.7074	0.000327934	22.909	0.00704227
0.41	3.78698	0.00043097	150.509	0.388264
0.41	-13.8723	0.000336576	0.711638	6.89032e-06
0.41	-7.65708	0.000411397	1.57722	3.86714e-05
0.41	25.0404	0.000403026	-9.77251	0.00177029
0.41	4.61122	0.000443443	-84.6219	0.114063
0.41	-1.53593	0.000660909	4.45429	0.000514607
0.41	3.49061	0.000573297	30.3308	0.0190488
0.41	-2.11686	0.000409414	1.28863	2.69761e-05
0.41	2.79697	0.000440422	12.2383	0.00263347
0.41	-2.87984	0.00100937	2.48245	0.000343957
0.41	5.29901	0.000364666	-609.92	5.24598
0.41	28.4363	0.000414161	-1.56021	3.84231e-05
0.42	-17.0401	0.000405505	1.05257	1.55609e-05
0.42	-2.97602	0.000385971	1.74807	4.23217e-05
0.42	1.68377	0.000644038	102.06	0.266542
0.42	-8.28924	0.000424261	1.16222	2.2788e-05
0.42	4.43375	0.00046799	-81.6798	0.123194
0.42	-0.343145	0.000640171	4.97298	0.000686478
0.42	4.88455	0.000398871	2.8069	0.00013267
0.42	-1.50714	0.000837506	3.36538	0.000484538
0.42	-6.85573	0.000445575	1.35897	3.27223e-05
0.42	2.57973	0.000419336	10.3143	0.00195081
0.42	1.25957	0.000548514	6.79605	0.00125465
0.42	0.0819681	0.000575179	6.92174	0.00111724
0.42	1.51951	0.000395883	14.2028	0.00300737
0.42	1.41036	0.000466217	7.00314	0.0009499
0.42	4.46045	0.000412101	-40.807	0.0277425
0.42	2.1985	0.000523499	15.1762	0.00477964
0.43	1.08177	0.000956656	250.841	2.41652
0.43	0.93262	0.000553541	13.0831	0.00368657
0.43	1.58483	0.000688093	124.415	0.424911
0.43	1.38917	0.000723142	41.2296	0.0474896
0.43	1.57895	0.000744866	83.0572	0.204092
0.43	-1.93641	0.000461467	1.76704	5.74701e-05
0.43	-0.0606379	0.000585534	8.41299	0.00144708
0.43	1.49393	0.000658667	48.774	0.0608812
0.43	2.56882	0.000395576	12.1283	0.00219974
0.43	-1.12156	0.000766653	4.665	0.000728925
0.43	1.20733	0.000829061	60.5188	0.118528
0.43	0.709483	0.000527657	10.4811	0.00210479
0.43	-0.585058	0.000713265	4.90073	0.000714472
0.43	1.5251	0.000427792	12.6356	0.00252576
0.43	1.77744	0.000675468	1168.95	37.7108
0.43	1.26407	0.000719667	49.2312	0.067488
0.44	0.556406	0.000686875	16.1668	0.00646855
0.44	0.698411	0.00142255	1066.34	65.7589
0.44	0.505369	0.0017837	4021.5	1175.5
0.44	0.588579	0.00154722	472.517	13.9206
0.44	0.53378	0.00169038	1326.78	120.823
