#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.1054 	0.000744181 	0.0636826 	0.00140108	5.368 	0.21905 	22.0421 	1.26094	1.00176 	6.81284e-05 	2.79163 	0.0844926
0.401	-1.11246 	0.000874861 	0.0656873 	0.00145309	5.55104 	0.328837 	25.8337 	1.5156	1.0018 	0.000109726 	3.08549 	0.153726
0.402	-1.1163 	0.000592 	0.0643977 	0.00159736	5.86113 	0.297179 	25.0752 	1.61026	1.00188 	9.68881e-05 	3.19489 	0.152027
0.403	-1.12212 	0.000732658 	0.06585 	0.00187168	5.53193 	0.234809 	24.6546 	1.53546	1.00176 	7.10707e-05 	3.03959 	0.123007
0.404	-1.12888 	0.00065728 	0.0684225 	0.00171773	5.21045 	0.243299 	25.056 	1.49516	1.00163 	7.36297e-05 	2.73036 	0.100651
0.405	-1.13419 	0.000676283 	0.0711418 	0.00216574	5.72986 	0.211863 	27.1971 	1.6676	1.00178 	6.67358e-05 	2.74796 	0.113502
0.406	-1.1388 	0.000679087 	0.0735385 	0.00167812	6.10225 	0.294584 	28.9381 	1.98105	1.00188 	9.14061e-05 	2.82245 	0.151852
0.407	-1.14553 	0.000646094 	0.0779865 	0.00307496	5.52911 	0.232543 	37.6238 	2.74162	1.00169 	6.6962e-05 	3.27749 	0.186141
0.408	-1.1499 	0.000637487 	0.0773326 	0.00263382	6.0668 	0.295532 	33.3848 	2.98213	1.00184 	8.60788e-05 	3.0807 	0.226367
0.409	-1.15569 	0.00052929 	0.0734756 	0.00174963	5.86045 	0.184671 	30.2842 	1.90687	1.00176 	5.77662e-05 	2.9352 	0.130436
0.41	-1.1633 	0.00049188 	0.0868791 	0.00280315	5.79081 	0.290499 	38.1843 	2.80467	1.00172 	8.50097e-05 	2.72806 	0.163561
0.411	-1.16941 	0.000763862 	0.0900598 	0.00331019	6.02149 	0.287006 	41.9488 	2.97602	1.00176 	8.39997e-05 	2.75049 	0.100401
