# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704542 	0.000102592 	0.0336265 	9.64618e-05 	3.18272 	0.0155802 	2.67057 	0.0162918
0.35 	-0.879671 	0.000119483 	0.0494204 	0.000165466 	3.90083 	0.0212219 	5.6392 	0.0415389
0.36 	-0.919839 	0.000130344 	0.0546396 	0.000210953 	4.12526 	0.0230682 	6.90132 	0.0570236
0.37 	-0.961921 	0.00014343 	0.0615211 	0.000265956 	4.342 	0.0262444 	8.72875 	0.0786101
0.38 	-1.00675 	0.000134349 	0.0698763 	0.000347572 	4.59237 	0.0222453 	11.3183 	0.109953
0.39 	-1.05442 	0.000150751 	0.0810745 	0.000432763 	4.95692 	0.0268359 	14.9258 	0.176189
0.4 	-1.10611 	0.00016541 	0.0994129 	0.000661926 	5.38924 	0.0286998 	22.547 	0.277767
0.405 	-1.13383 	0.000199177 	0.110273 	0.00081041 	5.70299 	0.0347026 	27.2848 	0.405585
0.41 	-1.1629 	0.000216039 	0.126825 	0.00112177 	5.94388 	0.0348875 	35.3237 	0.587197
0.415 	-1.19349 	0.000247456 	0.149617 	0.0015573 	6.37702 	0.0400372 	48.7295 	0.886419
0.4175 	-1.20967 	0.000605255 	0.163245 	0.00368449 	6.5212 	0.0838192 	58.124 	2.14572
0.42 	-1.22601 	0.000329268 	0.179717 	0.0021071 	6.91054 	0.054103 	66.3554 	1.36809
0.4225 	-1.24573 	0.000773149 	0.211243 	0.00537036 	7.4957 	0.143783 	81.4831 	3.27164
0.425 	-1.2637 	0.000467103 	0.231423 	0.00290634 	7.79286 	0.0770332 	95.7784 	1.75658
0.4275 	-1.28364 	0.000998674 	0.264118 	0.0066654 	8.08974 	0.159076 	111.224 	3.94008
0.43 	-1.30553 	0.000659186 	0.313918 	0.00381717 	9.1717 	0.0991583 	134.059 	1.92177
0.4325 	-1.32885 	0.00146378 	0.361855 	0.00876719 	10.4822 	0.206591 	155.73 	4.48261
0.435 	-1.35712 	0.000845359 	0.435283 	0.00488439 	11.3387 	0.10837 	163.154 	3.20168
0.4375 	-1.38771 	0.0016681 	0.527614 	0.00893473 	11.849 	0.261164 	129.177 	9.0869
0.44 	-1.41486 	0.000915694 	0.574466 	0.00451183 	11.7732 	0.14999 	126.873 	5.39203
0.4425 	-1.44086 	0.00149755 	0.633656 	0.00665137 	10.7042 	0.25856 	77.0079 	8.28056
0.445 	-1.4689 	0.000636078 	0.686445 	0.00256094 	9.74021 	0.146792 	53.719 	4.02399
0.4475 	-1.49134 	0.00113471 	0.716668 	0.00510634 	9.11373 	0.298652 	47.8913 	10.073
0.45 	-1.51243 	0.000458998 	0.746897 	0.00156867 	8.12072 	0.110402 	24.351 	2.6243
0.46 	-1.58123 	0.000256077 	0.814956 	0.000454346 	5.88255 	0.0462138 	5.89993 	0.362406
0.47 	-1.63449 	0.000186022 	0.852304 	0.000199178 	4.74444 	0.0291319 	2.73008 	0.0500234
0.48 	-1.67771 	0.00014788 	0.877498 	0.000123796 	3.99657 	0.0238667 	1.64748 	0.0232194
0.53 	-1.81675 	7.53954e-05 	0.941128 	4.00795e-05 	1.92029 	0.0107114 	0.344642 	0.0023673
