# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704542 	0.000113781 	0.0336265 	0.000104715 	3.18272 	0.0163147 	2.67057 	0.0177249
0.35 	-0.879671 	0.000119037 	0.0494204 	0.000155295 	3.90083 	0.0202231 	5.6392 	0.0393687
0.36 	-0.919839 	0.000130944 	0.0546396 	0.000221695 	4.12526 	0.0223803 	6.90132 	0.0637295
0.37 	-0.961921 	0.000136441 	0.0615211 	0.000268695 	4.342 	0.0248426 	8.72875 	0.0767003
0.38 	-1.00675 	0.000129268 	0.0698763 	0.000334548 	4.59237 	0.0246049 	11.3183 	0.107293
0.39 	-1.05442 	0.000151246 	0.0810745 	0.000426008 	4.95692 	0.0266044 	14.9258 	0.161746
0.4 	-1.10611 	0.000166494 	0.0994129 	0.000714226 	5.38924 	0.0308214 	22.547 	0.31897
0.405 	-1.13383 	0.000214186 	0.110273 	0.000778304 	5.70299 	0.0311558 	27.2848 	0.387766
0.41 	-1.1629 	0.000221471 	0.126825 	0.00118483 	5.94388 	0.0360884 	35.3237 	0.579027
0.415 	-1.19349 	0.000267854 	0.149617 	0.00167713 	6.37702 	0.0422 	48.7295 	0.879929
0.4175 	-1.20967 	0.000590667 	0.163245 	0.00376818 	6.5212 	0.0934184 	58.124 	2.05053
0.42 	-1.22601 	0.000306324 	0.179717 	0.00213123 	6.91054 	0.0601506 	66.3554 	1.23299
0.4225 	-1.24573 	0.000776542 	0.211243 	0.00515917 	7.4957 	0.12851 	81.4831 	3.31675
0.425 	-1.2637 	0.000477889 	0.231423 	0.0029716 	7.79286 	0.0704457 	95.7784 	1.63899
0.426 	-1.27162 	0.000764478 	0.249862 	0.00568093 	8.20759 	0.15342 	108.224 	2.64957
0.4275 	-1.28364 	0.000914774 	0.264118 	0.00594124 	8.08974 	0.154022 	111.224 	3.49551
0.428 	-1.28618 	0.000805129 	0.260399 	0.00580486 	8.45858 	0.148081 	117.199 	3.01475
0.43 	-1.30553 	0.00056851 	0.313918 	0.0042676 	9.1717 	0.105942 	134.059 	2.03074
0.432 	-1.32595 	0.00132442 	0.364407 	0.00794746 	10.0929 	0.173658 	145.568 	3.07105
0.4325 	-1.32885 	0.0014993 	0.361855 	0.00955039 	10.4822 	0.225164 	155.73 	4.42502
0.434 	-1.34787 	0.00134264 	0.41737 	0.00821199 	10.9698 	0.187196 	161.905 	4.84401
0.435 	-1.35712 	0.000776077 	0.435283 	0.00484536 	11.3387 	0.100043 	163.154 	3.2179
0.436 	-1.3697 	0.00151418 	0.465382 	0.00926352 	11.9023 	0.169217 	165.643 	6.74107
0.4375 	-1.3885 	0.00120227 	0.519113 	0.00576536 	11.7673 	0.145984 	147.326 	5.41446
0.438 	-1.39435 	0.00143016 	0.532141 	0.0077459 	11.8157 	0.192838 	144.916 	7.72058
0.439 	-1.40397 	0.00110363 	0.552133 	0.00539014 	11.8117 	0.149192 	134.469 	6.08469
0.44 	-1.41486 	0.000949599 	0.574466 	0.00423127 	11.7732 	0.154089 	126.873 	5.40397
0.442 	-1.43757 	0.00139168 	0.62875 	0.00654655 	10.9197 	0.245186 	91.4203 	9.41411
0.4425 	-1.44086 	0.00155265 	0.633656 	0.00665961 	10.7042 	0.255141 	77.0079 	8.75343
0.444 	-1.45805 	0.00106885 	0.665186 	0.00534404 	10.1323 	0.223134 	66.8269 	7.131
0.445 	-1.4689 	0.000723811 	0.686445 	0.00278127 	9.74021 	0.158397 	53.719 	4.14976
0.4475 	-1.49134 	0.00122188 	0.716668 	0.00505854 	9.11373 	0.320387 	47.8913 	10.0435
0.45 	-1.51243 	0.000463196 	0.746897 	0.00167424 	8.12072 	0.116295 	24.351 	2.69025
0.46 	-1.58123 	0.000247022 	0.814956 	0.000471132 	5.88255 	0.0497605 	5.89993 	0.385841
0.47 	-1.63449 	0.000168921 	0.852304 	0.000196745 	4.74444 	0.0301702 	2.73008 	0.0467693
0.48 	-1.67771 	0.000152071 	0.877498 	0.00013425 	3.99657 	0.023843 	1.64748 	0.025064
0.53 	-1.81675 	8.49541e-05 	0.941128 	3.43265e-05 	1.92029 	0.0101287 	0.344642 	0.00238244
