# nm = 8192 nc = 100 len = 20 extf = 0 beta = 0.427
#energy 	magnetization 	acceptance
-1.72	-0.9	0.230325
-1.37	-0.77	0.18445
-1.46	-0.75	0.22025
-1.12	-0.27	0.229
-1.21	-0.445	0.268075
-1.52	-0.84	0.216575
-1.49	-0.815	0.198725
-1.22	-0.42	0.223725
-1.36	-0.51	0.2092
-1.48	-0.8	0.1952
-1.24	0.02	0.2524
-1.35	-0.58	0.26625
-1.13	-0.54	0.2352
-1.37	-0.73	0.2318
-1.42	-0.635	0.248925
-1.13	-0.15	0.265175
-1.14	-0.46	0.24765
-1.33	-0.21	0.2734
-1.18	-0.245	0.268325
-1.34	-0.3	0.288275
-1.49	-0.81	0.25595
-1.36	-0.665	0.201175
-1.58	-0.81	0.241975
-1.2	-0.485	0.239775
-1.23	-0.655	0.2182
-1.49	-0.81	0.223175
-1.51	-0.76	0.1971
-1.4	-0.535	0.233525
-1.49	-0.765	0.2081
-1.2	-0.275	0.2573
-1.47	-0.72	0.243125
-1.42	-0.725	0.184475
-1.28	-0.52	0.215875
-1.21	-0.56	0.22695
-1.4	-0.77	0.19015
-1.54	-0.77	0.1808
-1.11	-0.23	0.2317
-1.49	-0.825	0.216625
-1.56	-0.835	0.1812
-1.29	-0.69	0.224725
-1.29	-0.615	0.212625
-1.24	0.195	0.2474
-1.36	-0.755	0.24215
-1.17	-0.42	0.205325
-1.31	-0.62	0.24695
-1.07	-0.395	0.211675
-1.25	-0.095	0.27035
-1.29	-0.46	0.277975
-1.43	-0.715	0.186525
-1.39	-0.745	0.22985
-1.11	-0.08	0.228125
-1.1	0.22	0.2877
-1.5	0.775	0.257575
-1.48	0.41	0.212125
-1.4	0.625	0.205125
-1.41	0.615	0.19115
-1.12	0.515	0.2163
-1.62	0.885	0.1809
-1.18	0.47	0.196575
-1.5	0.79	0.22035
-1.37	0.62	0.21325
-1.42	0.8	0.228
-1.47	0.715	0.228525
-1.24	0.045	0.22955
-1.23	-0.465	0.2657
-1.08	0.15	0.268725
-1.35	-0.065	0.275075
-1.3	0.46	0.266525
-1.73	0.905	0.225125
-1.23	0.515	0.1901
-1.38	0.635	0.27305
-1.34	0.68	0.205375
-1.52	0.83	0.1977
-1.47	0.78	0.1933
-1.39	0.78	0.1942
-1.53	0.775	0.188525
-1.28	0.705	0.22415
-1.43	0.765	0.216
-1.56	0.76	0.190025
-1.09	0.455	0.217275
-1.26	0.55	0.240475
-1.43	0.79	0.2197
-1.34	0.605	0.204525
-1.24	-0.36	0.282125
-1.2	-0.5	0.26275
-1.36	-0.695	0.247275
-1.23	-0.53	0.217925
-1.37	-0.635	0.251375
-1.26	-0.6	0.211025
-1.61	-0.88	0.18025
-1.45	-0.825	0.187125
-1.05	-0.205	0.2538
-1.1	0.075	0.30015
-1.17	0.02	0.300475
-1.22	0.365	0.240425
-1.53	-0.82	0.277575
-1.17	-0.56	0.21175
-1.5	-0.795	0.186425
-1.41	-0.75	0.215775
-1.28	-0.66	0.2137
-1.19	-0.27	0.1927
-1.33	-0.765	0.252175
-1.07	-0.245	0.17975
-1.49	-0.825	0.2678
-1.43	-0.72	0.217175
-1.61	-0.855	0.208175
-1.53	-0.785	0.2189
-1.25	0.505	0.2712
-1.14	-0.115	0.2706
-1.32	-0.675	0.27395
-1.13	-0.3	0.297925
-1.21	-0.29	0.2802
-1.35	-0.56	0.2523
-1.28	-0.14	0.2874
-1.26	0.68	0.30075
-1.6	0.845	0.238425
-1.49	0.825	0.1782
-1.27	0.405	0.23975
-1	0.01	0.289725
-1.41	-0.72	0.2597
-1.39	-0.685	0.223225
-1.06	0.12	0.232075
-1.44	-0.815	0.243025
-1.48	-0.765	0.2002
-1.55	-0.84	0.198825
-1.6	-0.8	0.16505
-1.13	-0.48	0.2309
-1.35	-0.425	0.278975
-1.31	0.46	0.276125
-1.62	0.825	0.205125
-1.23	0.4	0.248875
-1.42	0.535	0.216675
-1.2	0.34	0.246075
-1.51	0.82	0.27685
-1.26	0.495	0.202975
-1.31	0.62	0.245625
-1.46	0.69	0.221
-1.19	0.355	0.224225
-1.46	-0.77	0.258775
-1.31	-0.675	0.201575
-1.58	-0.83	0.220725
-1.62	-0.86	0.22965
-1.43	-0.79	0.1874
-1.28	-0.66	0.2304
-1.15	-0.495	0.238875
-1.38	-0.54	0.277675
-1.59	-0.86	0.1951
-1.32	-0.77	0.2164
-1.18	-0.13	0.2229
-1.35	-0.675	0.246125
-1.44	-0.635	0.2213
-1.22	-0.42	0.253525
-1.26	-0.405	0.252625
-1.45	-0.75	0.244575
-1.58	-0.835	0.242475
-1.37	-0.645	0.21355
-1.61	-0.82	0.221225
-1.47	-0.795	0.221575
-1.12	-0.125	0.2696
-1.05	-0.05	0.288975
-1.17	-0.495	0.275025
-1.35	-0.485	0.24775
-1.18	-0.58	0.227625
-1.2	-0.18	0.23415
-1.34	-0.745	0.217525
-1.36	-0.635	0.2157
-1.22	-0.66	0.223275
-1.28	0.255	0.282825
-1.57	0.845	0.2198
-1.27	0.495	0.1891
-1.44	0.775	0.2207
-1.26	0.55	0.230025
-1.06	-0.195	0.290075
-1.3	-0.61	0.221075
-1.27	-0.465	0.206775
-1.46	-0.665	0.2536
-1.35	-0.64	0.206275
-1.21	-0.625	0.212325
-1.42	-0.775	0.224
-1.38	-0.77	0.211825
-1.39	-0.69	0.20895
