# nm = 8192 nc = 100 len = 20 extf = 0 beta = 0.402
#energy 	magnetization 	acceptance
-1.26	0.69	0.325475
-1.31	0.64	0.2802
-1.12	0.255	0.310075
-0.9	0.095	0.32995
-1.1	-0.23	0.332875
-1.14	-0.335	0.323375
-1.06	-0.53	0.310375
-1.11	-0.17	0.3073
-1.15	-0.15	0.33895
-1.14	-0.21	0.32425
-1.16	-0.41	0.3084
-1.19	-0.675	0.277475
-1.08	-0.395	0.3216
-1.19	-0.37	0.328075
-0.94	-0.115	0.343725
-1.26	0.575	0.3288
-1.24	0.66	0.249925
-1.19	0.39	0.30905
-1.06	-0.035	0.335525
-1.14	-0.385	0.3126
-1.11	-0.42	0.319875
-1.18	-0.53	0.3255
-1	0.19	0.3293
-1.15	-0.22	0.3335
-1.15	-0.13	0.3398
-1.17	-0.09	0.3405
-1.17	-0.545	0.291175
-1.28	-0.585	0.28145
-1.08	-0.1	0.326475
-1.16	0.415	0.316925
-1.16	0.37	0.294275
-1.1	0.475	0.320525
-1.24	0.56	0.294425
-0.93	0.195	0.314425
-1.1	0.005	0.31225
-1.19	-0.07	0.339225
-1.15	0.22	0.3218
-1.09	-0.535	0.286725
-1.11	0.005	0.31105
-1.08	-0.3	0.293025
-1.01	0.045	0.318375
-1.31	0.455	0.31935
-1.15	0.52	0.307525
-1.22	0.555	0.269175
-1.24	0.645	0.29355
-0.88	0.235	0.31225
-1.2	-0.155	0.3288
-1.11	-0.125	0.3378
-1.24	-0.675	0.29685
-1.07	-0.25	0.290525
-1.17	-0.565	0.326975
-1.2	-0.565	0.25995
-1.37	-0.745	0.24765
-0.98	-0.41	0.310025
-0.99	-0.425	0.300425
-1.06	-0.33	0.303025
-0.91	0.19	0.3067
-1.13	-0.445	0.333125
-1.18	0.355	0.33835
-1.21	0.555	0.2618
-1.1	0.635	0.3024
-1.09	0.23	0.315125
-1.08	0.175	0.321725
-0.98	0.07	0.323425
-1.09	0.11	0.32595
-1.39	-0.71	0.3282
-1.02	0.13	0.31945
-1.26	0.42	0.34725
-1.27	0.615	0.289125
-1.37	0.54	0.259275
-1.01	-0.325	0.319775
-0.99	0.135	0.34635
-1.14	0.525	0.2907
-1.24	-0.51	0.314075
-1.39	-0.565	0.295875
-1.23	-0.58	0.277825
-0.98	-0.21	0.30045
-1.04	0.395	0.316375
-1.28	0.41	0.314675
-1.29	0.45	0.28505
-1.26	0.025	0.334825
-1.39	0.71	0.291225
-1.08	0.32	0.297
-0.91	-0.03	0.3252
-1.14	-0.495	0.335225
-1.24	-0.665	0.2545
-1.03	0.115	0.3238
-1.13	-0.28	0.344075
-1.02	-0.385	0.319075
-1.39	-0.785	0.30135
-1.01	-0.295	0.2929
-1.02	0.08	0.334125
-1.25	-0.38	0.3455
-1.1	0.425	0.308425
-1.09	0.42	0.303025
-1.28	0.125	0.306025
-0.93	0.095	0.32445
-1.26	0.57	0.314025
-1.25	-0.05	0.31575
-1.21	0.59	0.3179
-1.13	0.405	0.343725
-1.05	-0.285	0.3193
-1.33	-0.66	0.257025
-1.47	-0.78	0.2689
-1.11	-0.405	0.276725
-1.09	-0.13	0.321875
-1.01	0.11	0.3031
-0.88	0.07	0.32215
-1.1	0.275	0.327275
-1.07	0.355	0.3104
-1.05	0.445	0.284
-1.1	0.355	0.3088
-1.18	0.1	0.346125
-1.15	-0.145	0.350725
-1.09	-0.275	0.35185
-1.19	0.44	0.333725
-1.09	0.455	0.296175
-1.25	0.635	0.28865
-1.2	-0.095	0.3113
-1.43	-0.77	0.277525
-1.12	-0.27	0.24485
-1.28	-0.73	0.29975
-1.02	-0.165	0.311825
-1.22	0.195	0.3401
-1.11	-0.175	0.3384
-1.07	-0.335	0.3292
-1.23	0.53	0.322925
-1.16	-0.54	0.31255
-1.22	-0.495	0.277325
-1.18	-0.18	0.304225
