# nm = 8192 nc = 100 len = 20 extf = 0 beta = 0.414
#energy 	magnetization 	acceptance
-1.36	0.75	0.222525
-1.42	0.79	0.2303
-1.42	0.74	0.23785
-1.06	0.45	0.3079
-1.16	0.605	0.271525
-1.32	0.705	0.27765
-1.47	0.765	0.25435
-1.43	0.775	0.21625
-1.22	0.435	0.248
-1.2	0.665	0.2763
-1.3	-0.615	0.2784
-1.25	-0.445	0.24275
-1.11	-0.125	0.2803
-1.23	-0.435	0.308
-1.18	-0.36	0.277225
-1.27	-0.54	0.2704
-1.17	-0.505	0.263825
-1.22	-0.305	0.29555
-1	-0.09	0.290625
-1.24	0.035	0.304725
-1.27	0.585	0.2851
-1.45	0.775	0.2437
-1.52	0.84	0.225425
-1.18	0.145	0.258225
-1.26	-0.37	0.312025
-1.06	-0.51	0.2711
-1.33	-0.75	0.2558
-1.17	-0.1	0.25325
-1.29	-0.595	0.300825
-1.27	-0.58	0.240425
-1.3	-0.61	0.27655
-1.06	-0.105	0.245075
-1.48	-0.69	0.280525
-1.37	0.23	0.2734
-1.26	-0.64	0.2945
-1.09	0.225	0.301375
-1.06	-0.085	0.314
-1.4	-0.595	0.2697
-1.37	-0.74	0.281175
-1.42	-0.81	0.2498
-1.18	-0.62	0.2466
-1.2	-0.665	0.236425
-1.12	-0.47	0.231925
-1.09	0.215	0.322225
-1.32	0.585	0.2836
-1.02	0.46	0.278875
-1.34	0.605	0.238375
-1.35	0.54	0.301675
-1.3	0.72	0.26135
-1.26	-0.03	0.30295
-1.1	0.075	0.311925
-1.11	0.565	0.28
-1.22	0.57	0.253875
-1.21	0.185	0.294825
-1.31	-0.635	0.2809
-1.08	-0.02	0.298025
-1.02	-0.115	0.305675
-1.26	-0.655	0.26465
-1.39	-0.765	0.25975
-1.25	-0.53	0.260175
-1.37	-0.735	0.262025
-1.14	-0.465	0.2804
-1.31	-0.435	0.28945
-1.3	0.305	0.3102
-1.2	0.535	0.27645
-1.17	0.09	0.310475
-1.38	0.715	0.267125
-1.29	0.69	0.245575
-1.08	0.36	0.2644
-1.27	0.095	0.310825
-1.12	0.13	0.306375
-1.23	0.31	0.29305
-1.15	0.17	0.30435
-1.13	-0.095	0.326725
-0.81	-0.19	0.302175
-1.17	-0.35	0.2918
-1.27	0.675	0.290525
-1.07	0.26	0.315725
-1.17	0.595	0.271175
-1.24	0.64	0.281575
-1.02	0.08	0.32795
-1.23	-0.575	0.270475
-1.39	-0.67	0.238725
-1.12	-0.175	0.260875
-1.3	-0.435	0.31785
-1.13	0.165	0.31335
-1.11	-0.515	0.3125
-1.17	0.305	0.31705
-1.34	0.74	0.222575
-1.25	0.62	0.28605
-1.2	-0.125	0.276925
-1.23	-0.01	0.304375
-1.13	-0.205	0.292275
-1.11	-0.21	0.296475
-1.1	-0.55	0.28495
-1.24	-0.16	0.3051
-1.12	0.3	0.30095
-1.15	-0.515	0.306375
-1.35	0.69	0.309975
-1.36	0.62	0.2487
-1.05	-0.025	0.315325
-0.89	-0.27	0.308475
-1.37	-0.695	0.271025
-0.96	-0.28	0.239575
-1.2	0.275	0.322625
-1.25	-0.005	0.32465
-1.37	0.665	0.2815
-1.2	-0.06	0.295175
-1.42	0.765	0.264875
-1.03	0.285	0.267
-1.07	-0.185	0.3275
-1.25	0.4	0.286075
-1.41	0.66	0.2809
-1.16	0.085	0.299375
-1.2	-0.63	0.280825
-1.27	-0.25	0.28425
-1.48	-0.835	0.288775
-1.31	-0.69	0.216225
-1.01	-0.265	0.298275
-1.05	-0.34	0.264075
-1.32	-0.44	0.2741
-1.26	-0.6	0.2715
-1.08	-0.35	0.2559
-1.13	0.09	0.29375
-1.09	0.36	0.31965
-1.13	0.24	0.32225
-1.42	-0.465	0.323225
-1.26	-0.635	0.2359
-1.2	-0.515	0.2673
-1.2	0.31	0.306475
-1.35	0.755	0.320675
-1.18	0.22	0.236275
-1.03	-0.105	0.304375
-1.07	0.1	0.320375
-1.38	0.77	0.27215
-1.33	0.665	0.225875
-1.53	0.775	0.2275
-1.28	-0.66	0.256025
-1.21	-0.555	0.288125
-1.27	-0.415	0.2455
-0.94	0.39	0.306125
-1.33	0.645	0.281275
-1.09	-0.315	0.2603
-1.28	0.435	0.3161
-1.05	-0.19	0.307925
-1.18	-0.16	0.3151
-1.27	-0.69	0.26385
-1.32	-0.425	0.261775
-1.47	-0.785	0.28525
-1.32	-0.55	0.230325
-1.09	-0.105	0.298075
-1.3	-0.115	0.31145
-1.33	0.25	0.287175
-1.16	0.08	0.30325
-1.46	0.71	0.3008
-1.19	0.235	0.275325
-1.21	0.375	0.2741
-1.07	-0.02	0.296775
-1.24	0.03	0.2967
-1.25	0.215	0.303975
-1.07	-0.47	0.315375
-0.96	-0.44	0.25905
-1.31	-0.55	0.25615
-1.38	0.565	0.307025
-1.24	0.615	0.274
-1.08	0.355	0.2618
-1.38	0.36	0.275475
-1.15	0.185	0.289225
-1.25	-0.25	0.326875
-1.44	-0.805	0.272725
-1.34	-0.485	0.25035
-1.3	-0.375	0.2679
-1.19	-0.15	0.287675
-1	0.06	0.3019
-1.03	-0.32	0.2969
-0.95	-0.06	0.31955
-1.35	0.39	0.2962
-1.46	0.835	0.267025
-1.25	0.405	0.2575
-0.94	0.065	0.2997
-1.37	0.705	0.2738
-1.07	0.255	0.2449
-1.23	0.475	0.2929
-1.24	0.16	0.252925
-1.28	0.695	0.279575
-1.17	0.48	0.230075
-1.1	0.35	0.289
-1.35	0.41	0.2983
-1.36	0.33	0.28165
-1.3	-0.425	0.300575
-1.22	0.27	0.333125
-0.97	0.305	0.320325
-1.4	-0.525	0.31245
-1.23	-0.715	0.25315
-1.04	-0.41	0.256775
-1.19	-0.575	0.228075
-1.33	-0.635	0.26185
-1.18	-0.61	0.262225
-1.22	-0.495	0.287575
-1.1	-0.145	0.29835
-1.2	-0.67	0.264825
-1.25	-0.43	0.2781
-1.39	-0.53	0.26675
-1.33	-0.655	0.206825
-1.43	-0.755	0.19695
-1.31	-0.365	0.2665
-1.25	0.58	0.282675
-1.1	0.675	0.257175
-1.13	-0.095	0.27105
-1.17	-0.145	0.3085
-1.47	0.785	0.2837
-1.31	0.435	0.295
-1.07	0.41	0.257725
-1.34	-0.05	0.3037
-1.37	-0.605	0.291125
-1.25	-0.31	0.272125
-1.17	0.45	0.27515
-1.05	0.285	0.297975
-1.09	-0.33	0.301525
-1.2	-0.515	0.253425
-1.28	-0.435	0.3161
-1.05	-0.595	0.2646
-1.29	-0.5	0.243175
-1.29	-0.52	0.3117
-1.26	-0.59	0.2789
-1.26	-0.52	0.22615
-0.98	0.115	0.306325
-1.05	0.14	0.327525
-1.38	-0.745	0.288775
-1.18	-0.47	0.254875
-1.3	-0.545	0.249025
-1.13	-0.315	0.26445
-1.35	-0.61	0.262275
-1.11	-0.07	0.27325
-1.18	0.445	0.305575
-1.28	0.69	0.240575
-1.04	0.185	0.271825
-1.19	-0.155	0.32925
-0.97	-0.305	0.31355
-1.46	-0.785	0.26215
-1.19	-0.415	0.2061
-1.19	-0.02	0.304525
-0.91	-0.015	0.319975
-1.36	0.61	0.286875
-1.11	-0.32	0.3192
-1.09	-0.4	0.3069
-1.06	0.1	0.3057
-1.2	0.175	0.315075
-1.21	0.55	0.270275
-1.32	0.57	0.28525
-1.08	0.29	0.2839
-1.08	-0.105	0.296575
-1.23	-0.53	0.280925
-1.39	-0.66	0.26715
-1.3	-0.66	0.22865
-1.31	0.555	0.263025
