#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10581 	0 	0.108574 	0	5.98977 	0 	26.9984 	0	1.00305 	-nan 	2.06973 	-nan
0.41	-1.15963 	0 	0.106562 	0	4.34257 	0 	27.7936 	0	1.00203 	-nan 	2.0856 	-nan
0.42	-1.23294 	0 	0.161426 	0	6.55823 	0 	43.3157 	0	1.00268 	-nan 	1.7542 	-nan
0.43	-1.29893 	0 	0.211934 	0	12.1639 	0 	216.585 	0	1.00451 	-nan 	2.66728 	-nan
0.44	-1.41688 	0 	0.620488 	0	15.2665 	0 	73.9904 	0	1.00477 	-nan 	1.1086 	-nan
0.45	-1.50111 	0 	0.750723 	0	8.1049 	0 	10.3419 	0	1.00229 	-nan 	1.01145 	-nan
0.46	-1.56786 	0 	0.8117 	0	4.65309 	0 	3.50201 	0	1.00117 	-nan 	1.00322 	-nan
0.47	-1.64136 	0 	0.858321 	0	2.93522 	0 	1.20186 	0	1.00068 	-nan 	1.00104 	-nan
0.48	-1.67125 	0 	0.876602 	0	2.5434 	0 	0.960295 	0	1.00057 	-nan 	1.00079 	-nan
0.49	-1.72775 	0 	0.901016 	0	1.44802 	0 	0.448156 	0	1.0003 	-nan 	1.00034 	-nan
0.5	-1.74585 	0 	0.909863 	0	1.46389 	0 	0.56422 	0	1.0003 	-nan 	1.00042 	-nan
