# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.415 	-1.19361 	0.000455666 	0.101058 	0.002889 	6.37623 	0.091351 	52.694 	3.09885
0.4175 	-1.20952 	0.000533035 	0.103024 	0.00330599 	6.7217 	0.116384 	58.5786 	3.77033
0.42 	-1.22553 	0.000516806 	0.11844 	0.00370055 	6.71868 	0.0889048 	66.094 	4.12827
0.4225 	-1.24433 	0.000580889 	0.134175 	0.00459892 	7.17954 	0.124046 	83.2215 	5.01256
0.425 	-1.26133 	0.000637595 	0.150803 	0.00555534 	7.41085 	0.142112 	109.499 	7.45611
0.4275 	-1.28073 	0.00079268 	0.187199 	0.00726382 	8.12272 	0.186895 	158.57 	7.95982
0.43 	-1.30458 	0.00102222 	0.250064 	0.00785155 	9.34999 	0.292865 	209.3 	11.9023
0.432 	-1.31804 	0.000778361 	0.2407 	0.00700343 	9.42486 	0.200984 	236.335 	9.81203
0.4325 	-1.32579 	0.00102514 	0.294046 	0.00890504 	9.60812 	0.296781 	240.946 	13.36
0.433 	-1.33063 	0.000558543 	0.289884 	0.00581354 	10.1156 	0.151258 	272.291 	5.86235
0.434 	-1.33918 	0.000986498 	0.304831 	0.00933169 	10.6135 	0.243452 	298.262 	9.4236
0.435 	-1.3508 	0.00112855 	0.342012 	0.00956516 	11.2257 	0.240165 	322.357 	11.3486
0.436 	-1.36194 	0.000802813 	0.378804 	0.00664871 	11.7662 	0.169994 	327.731 	7.74415
0.4375 	-1.38104 	0.000834135 	0.446937 	0.00614848 	12.5844 	0.182224 	314.714 	10.6478
0.438 	-1.38672 	0.00129618 	0.459381 	0.00962332 	12.7229 	0.23393 	331.32 	16.5798
0.439 	-1.40037 	0.000816602 	0.508787 	0.00657218 	12.5117 	0.176501 	292.782 	16.2598
0.44 	-1.41317 	0.00151577 	0.544704 	0.00913774 	12.4863 	0.421362 	266.558 	24.2193
0.442 	-1.43381 	0.00116052 	0.596088 	0.00799776 	12.2897 	0.353442 	206.829 	24.2061
0.4425 	-1.44136 	0.0012691 	0.61833 	0.00766547 	11.6711 	0.413791 	156.203 	19.8319
0.444 	-1.46011 	0.00076175 	0.672204 	0.00362647 	9.98688 	0.218801 	69.8294 	9.39088
0.445 	-1.46983 	0.00108966 	0.690404 	0.00413682 	9.57206 	0.312202 	51.4939 	7.10729
0.4475 	-1.49225 	0.000927372 	0.722969 	0.0034447 	9.03364 	0.349071 	39.7273 	8.74187
0.45 	-1.51277 	0.000712497 	0.749602 	0.00179859 	7.88742 	0.194586 	18.968 	1.68272
0.46 	-1.58058 	0.000561152 	0.810428 	0.00233027 	6.39556 	0.199048 	17.7665 	7.07991
0.475 	-1.65714 	0.000126709 	0.865789 	0.000126825 	4.38946 	0.0342149 	2.16902 	0.0372618
