#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.08601 	0 	0.0883333 	0	8.0062 	0 	7.4483 	0	1.0074 	-nan 	2.01528 	-nan
0.41	-1.17654 	0 	0.135104 	0	2.90783 	0 	15.6149 	0	1.00231 	-nan 	1.67133 	-nan
0.42	-1.21974 	0 	0.188889 	0	10.6552 	0 	27.3844 	0	1.00818 	-nan 	1.7351 	-nan
0.43	-1.2966 	0 	0.346007 	0	13.8755 	0 	38.3643 	0	1.00915 	-nan 	1.3222 	-nan
0.44	-1.42092 	0 	0.647986 	0	7.95931 	0 	32.5505 	0	1.00447 	-nan 	1.06949 	-nan
0.45	-1.52412 	0 	0.74316 	0	5.9592 	0 	98.2527 	0	1.00275 	-nan 	1.06769 	-nan
0.46	-1.58216 	0 	0.816493 	0	3.33567 	0 	4.0415 	0	1.00148 	-nan 	1.00638 	-nan
0.47	-1.64974 	0 	0.865486 	0	3.21468 	0 	1.18832 	0	1.0013 	-nan 	1.00176 	-nan
0.48	-1.68621 	0 	0.883889 	0	2.32107 	0 	0.913755 	0	1.00091 	-nan 	1.00129 	-nan
0.49	-1.71458 	0 	0.893021 	0	5.16082 	0 	0.981238 	0	1.00198 	-nan 	1.00137 	-nan
0.5	-1.7551 	0 	0.914861 	0	1.83855 	0 	0.601455 	0	1.00065 	-nan 	1.00079 	-nan
