#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10654 	0.000624856 	0.067746 	0.00227905	5.36117 	0.225266 	21.4488 	1.04017	1.00217 	9.75742e-05 	3.00037 	0.149463
0.401	-1.11186 	0.00100444 	0.0717805 	0.00193303	5.46861 	0.303235 	23.5474 	1.332	1.00218 	0.000116436 	2.92721 	0.113824
0.402	-1.11708 	0.000684447 	0.0711798 	0.00166739	5.65816 	0.27335 	23.4791 	1.26058	1.00225 	0.000109549 	2.87142 	0.12706
0.403	-1.12283 	0.000714858 	0.0785132 	0.00150947	6.17109 	0.214816 	28.6088 	1.75534	1.00243 	8.58983e-05 	2.98284 	0.1105
0.404	-1.12624 	0.000592755 	0.0800808 	0.00188865	5.30474 	0.197844 	28.1614 	1.31674	1.00206 	7.6457e-05 	2.63534 	0.0734116
0.405	-1.13391 	0.000703209 	0.0802394 	0.00242495	5.66147 	0.232635 	29.4711 	1.91293	1.00218 	9.11054e-05 	3.06111 	0.163421
0.406	-1.14035 	0.000745059 	0.0844295 	0.00256181	5.87996 	0.246099 	31.4525 	1.7755	1.00224 	9.86282e-05 	2.77538 	0.088944
0.407	-1.14466 	0.000814778 	0.0865271 	0.00267615	5.61544 	0.215901 	31.2884 	1.92298	1.00212 	9.0733e-05 	2.78932 	0.128714
0.408	-1.15087 	0.000848123 	0.0826678 	0.00315376	5.80325 	0.210417 	36.9661 	2.65396	1.00217 	7.95961e-05 	3.41977 	0.199481
0.409	-1.15624 	0.000976402 	0.0908895 	0.00220244	5.86835 	0.245747 	34.4356 	1.91019	1.00216 	8.38841e-05 	2.66741 	0.0905668
0.41	-1.16319 	0.000918936 	0.0878574 	0.00215294	5.69672 	0.177811 	34.1618 	1.80857	1.00208 	7.44984e-05 	2.82806 	0.138302
0.411	-1.16861 	0.000821797 	0.09345 	0.0027551	6.10794 	0.248737 	39.3421 	2.49114	1.0022 	8.75734e-05 	2.81986 	0.117003
0.412	-1.17597 	0.0007496 	0.0982328 	0.00286552	5.9418 	0.253775 	39.3201 	2.56387	1.00212 	9.17069e-05 	2.66896 	0.144201
0.413	-1.18083 	0.000937637 	0.096834 	0.00324971	6.64678 	0.311938 	43.1653 	2.90067	1.00235 	0.000106416 	2.88363 	0.137024
0.414	-1.18595 	0.000805379 	0.0973143 	0.00397548	6.30979 	0.21261 	42.266 	3.21705	1.00222 	7.71854e-05 	2.87468 	0.148051
0.415	-1.1933 	0.000759351 	0.0995001 	0.0038344	6.75806 	0.248546 	47.6049 	2.34401	1.00235 	9.23445e-05 	3.0349 	0.130113
0.416	-1.19953 	0.000912277 	0.115969 	0.00375857	6.08277 	0.295351 	59.2092 	3.54086	1.00209 	0.000107017 	2.76893 	0.143898
0.417	-1.20606 	0.000864998 	0.118855 	0.00434499	6.54952 	0.212058 	59.2845 	3.52161	1.00223 	7.31753e-05 	2.64256 	0.103215
0.418	-1.21434 	0.000750923 	0.122747 	0.00471773	7.20865 	0.249277 	59.733 	3.63729	1.00242 	8.80206e-05 	2.55832 	0.10695
0.419	-1.21789 	0.000801931 	0.123205 	0.00520499	6.58734 	0.320737 	62.3015 	3.06231	1.0022 	0.000112892 	2.51719 	0.129887
0.42	-1.22748 	0.000896572 	0.126637 	0.00598299	6.48724 	0.281405 	65.9919 	4.28321	1.00213 	8.15958e-05 	2.48017 	0.105077
0.421	-1.23138 	0.000806033 	0.131671 	0.00555329	7.02653 	0.303545 	77.0773 	8.55277	1.00228 	0.000101168 	2.87137 	0.134748
0.422	-1.23829 	0.000852556 	0.134227 	0.00596744	6.69408 	0.253183 	74.4875 	4.97756	1.00216 	8.21702e-05 	2.69889 	0.133922
