#part 	tau 	tpccorr
0	5	0.371129
0	6	0.358264
0	7	0.349083
0	8	0.332719
0	9	0.317173
0	10	0.297332
0	11	0.278381
0	12	0.258912
0	13	0.23838
0	14	0.219641
0	15	0.198692
0	16	0.180727
0	17	0.160491
0	18	0.139126
0	19	0.116959
0	20	0.0938587
0	21	0.0718832
0	22	0.0496308
0	23	0.032958
0	24	0.0162114
0	25	-0.000594269
0	26	-0.0163672
0	27	-0.0315552
0	28	-0.0461607
0	29	-0.0632717
0	30	-0.0772351
0	31	-0.0932186
0	32	-0.110317
0	33	-0.126665
0	34	-0.140875
0	35	-0.151476
0	36	-0.160614
0	37	-0.166671
0	38	-0.17336
0	39	-0.177837
0	40	-0.180996
0	41	-0.184571
0	42	-0.186416
0	43	-0.189922
0	44	-0.19549
0	45	-0.201569
0	46	-0.202685
0	47	-0.200324
0	48	-0.196347
0	49	-0.191344
0	50	-0.186334
0	51	-0.183585
0	52	-0.183248
0	53	-0.181524
0	54	-0.17812
0	55	-0.174189
0	56	-0.168288
0	57	-0.161733
0	58	-0.157121
0	59	-0.156079
0	60	-0.156973
0	61	-0.160865
0	62	-0.16741
0	63	-0.170043
0	0	0.40881
0	1	0.397416
0	2	0.386682
0	3	0.372365
0	4	0.356901
0	5	0.34122
0	6	0.32376
0	7	0.304687
0	8	0.282772
0	9	0.26369
0	10	0.24279
0	11	0.223573
0	12	0.204064
0	13	0.180164
0	14	0.156491
0	15	0.133506
0	16	0.109704
0	17	0.0879533
0	18	0.0651605
0	19	0.0440831
0	20	0.0247602
0	21	0.00729297
0	22	-0.0101002
0	23	-0.0265631
0	24	-0.0414847
0	25	-0.0543818
0	26	-0.0649205
0	27	-0.0739023
0	28	-0.0859148
0	29	-0.0952281
0	30	-0.105781
0	31	-0.116132
0	32	-0.124666
0	33	-0.132362
0	34	-0.136538
0	35	-0.144455
0	36	-0.146962
0	37	-0.148186
0	38	-0.147362
0	39	-0.144694
0	40	-0.140935
0	41	-0.136359
0	42	-0.133892
0	43	-0.130659
0	44	-0.130277
0	45	-0.128177
0	46	-0.125713
0	47	-0.124891
0	48	-0.123497
0	49	-0.120423
0	50	-0.119185
0	51	-0.115081
0	52	-0.110795
0	53	-0.106889
0	54	-0.104866
0	55	-0.103643
0	56	-0.103844
0	57	-0.105722
0	58	-0.106381
0	59	-0.111606
0	60	-0.11383
0	61	-0.117125
0	62	-0.119995
0	63	-0.120292
0	0	0.468171
0	1	0.455545
0	2	0.444492
0	3	0.430007
0	4	0.412448
0	5	0.392867
0	6	0.371997
0	7	0.349441
0	8	0.324132
0	9	0.297182
0	10	0.272524
0	11	0.245935
0	12	0.220534
0	13	0.193269
0	14	0.167807
0	15	0.144075
0	16	0.118176
0	17	0.0935588
0	18	0.0734908
0	19	0.0564298
0	20	0.0402649
0	21	0.0254282
0	22	0.0138094
0	23	0.0042051
0	24	-0.00940963
0	25	-0.0172308
0	26	-0.0232339
0	27	-0.0326247
0	28	-0.0406797
0	29	-0.0474838
0	30	-0.0535244
0	31	-0.0591861
0	32	-0.0669559
0	33	-0.0725477
0	34	-0.0801833
0	35	-0.0866491
0	36	-0.0942952
0	37	-0.100006
0	38	-0.108375
0	39	-0.118494
0	40	-0.129303
0	41	-0.134838
0	42	-0.145313
0	43	-0.152928
0	44	-0.161578
0	45	-0.169102
0	46	-0.173735
0	47	-0.179626
0	48	-0.182661
0	49	-0.185149
0	50	-0.1899
0	51	-0.191788
0	52	-0.192368
0	53	-0.193865
0	54	-0.196206
0	55	-0.198901
0	56	-0.197276
0	57	-0.196802
0	58	-0.193719
0	59	-0.189741
0	60	-0.185493
0	61	-0.181824
0	62	-0.180199
0	63	-0.179489
0	0	0.489237
0	1	0.476813
0	2	0.462734
0	3	0.446549
0	4	0.429299
0	5	0.410316
0	6	0.390566
0	7	0.368198
0	8	0.34497
0	9	0.321423
0	10	0.296145
0	11	0.269358
0	12	0.242771
0	13	0.219077
0	14	0.198087
0	15	0.178854
0	16	0.157453
0	17	0.131998
0	18	0.106557
0	19	0.0799081
0	20	0.0559926
0	21	0.0315526
0	22	0.0089992
0	23	-0.0118713
0	24	-0.0301038
0	25	-0.0476521
0	26	-0.0640764
0	27	-0.0803158
0	28	-0.0930232
0	29	-0.104474
0	30	-0.11066
0	31	-0.117528
0	32	-0.123328
0	33	-0.127514
0	34	-0.133852
0	35	-0.141601
0	36	-0.148318
0	37	-0.157392
0	38	-0.164889
0	39	-0.170372
