#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.44	-1.41219 	0.00302391 	0.563579 	0.0176112	11.4369 	0.637159 	151.014 	27.4793	1.00358 	0.000187913 	1.18144 	0.034271
0.441	-1.42674 	0.00262976 	0.605078 	0.0144623	11.3863 	0.494074 	97.9115 	19.3283	1.0035 	0.000165822 	1.11804 	0.0209059
0.442	-1.43942 	0.00401801 	0.630481 	0.020728	10.6544 	0.956487 	117.243 	47.451	1.00319 	0.000307898 	1.10499 	0.0393326
0.443	-1.44995 	0.00195923 	0.659782 	0.00597178	9.86589 	0.585394 	52.1306 	7.80563	1.00293 	0.000177249 	1.06117 	0.0080008
0.444	-1.4591 	0.00368917 	0.662938 	0.0212095	11.4364 	1.06121 	108.477 	55.6034	1.00333 	0.000325825 	1.08299 	0.0374038
0.445	-1.46869 	0.00264407 	0.688141 	0.0105242	9.58219 	0.767026 	59.3359 	16.9085	1.00275 	0.000216699 	1.05719 	0.015924
0.446	-1.47807 	0.00238603 	0.696003 	0.0109679	9.77065 	0.74443 	56.3683 	20.6794	1.00278 	0.000226577 	1.05092 	0.0156041
0.447	-1.48963 	0.00144094 	0.722401 	0.003574	8.57683 	0.354089 	24.0171 	4.39032	1.00241 	0.000104085 	1.02565 	0.00424784
0.448	-1.49516 	0.00169845 	0.730114 	0.0040744	8.15694 	0.436423 	22.8819 	4.1861	1.00227 	0.000129209 	1.02376 	0.00366807
0.449	-1.50435 	0.00159807 	0.738421 	0.00408482	7.97174 	0.386213 	21.1219 	3.35227	1.0022 	0.000115902 	1.02167 	0.00315075
0.45	-1.51102 	0.00164397 	0.744765 	0.00396325	8.37203 	0.407367 	23.1345 	4.50755	1.00228 	0.000109956 	1.02225 	0.0035895
0.451	-1.52087 	0.00160269 	0.756628 	0.00354239	7.45481 	0.313194 	17.3228 	2.01055	1.00201 	8.7826e-05 	1.01713 	0.00210584
0.452	-1.52812 	0.00145741 	0.76784 	0.00242615	7.54491 	0.250611 	13.9483 	1.39299	1.00201 	7.16986e-05 	1.01358 	0.00139283
