# nm = 8192 nc = 100 len = 10 extf = 0 beta = 0.46
#energy 	magnetization 	acceptance
-1.44	0.78	0.1428
-1.6	0.86	0.1364
-1.36	-0.7	0.2364
-1.2	0.32	0.1921
-1.28	0.76	0.1406
-1.48	0.66	0.1377
-1.16	0.72	0.1339
-1.68	0.88	0.101
-1.76	0.94	0.1159
-1.84	0.94	0.1152
-1.28	0.56	0.1375
-1.16	0.54	0.1361
-1.32	0.6	0.1493
-1.32	0.42	0.1447
-1.72	0.92	0.1707
-1.2	0.58	0.1237
-1.52	0.86	0.1798
-1.56	0.88	0.1067
-1.8	0.94	0.1543
-1.92	0.98	0.1098
-1.76	0.94	0.1034
-1.36	-0.56	0.1537
-1.8	-0.94	0.1181
-1.6	-0.9	0.1152
-1.56	-0.88	0.1053
-1.52	-0.68	0.1266
-1.24	-0.58	0.1691
-1.48	-0.8	0.1487
-0.92	-0.3	0.1349
-1.8	-0.9	0.1304
-1.76	-0.94	0.1136
-1.32	-0.72	0.1237
-1.2	-0.54	0.1249
-1.28	-0.7	0.1416
-1.68	-0.9	0.1152
-1.48	-0.8	0.1325
-1.2	-0.76	0.116
-1.32	-0.76	0.1204
-1.4	-0.78	0.1445
-1.6	-0.88	0.1245
-1.92	-0.98	0.1085
-1.12	-0.56	0.1561
-1.44	-0.84	0.2018
-1.36	-0.8	0.1534
-1.64	-0.84	0.1286
-1.6	-0.88	0.1586
-1.56	-0.82	0.0995
-1.48	-0.82	0.1874
-1.2	-0.56	0.1267
-1.84	-0.96	0.1672
-1.6	-0.88	0.1
-1.56	0.86	0.2211
-1.92	0.98	0.1186
-1.68	0.92	0.1009
-1.76	0.92	0.1626
-1.76	0.94	0.1033
-1.32	0.76	0.1679
-1.68	0.92	0.117
-1.2	0.62	0.1133
-1.24	0.6	0.1659
-1.72	0.92	0.1374
-1.92	0.98	0.1459
-1.68	0.92	0.1395
-1.4	0.8	0.1274
-1.6	0.9	0.1233
-1.24	-0.18	0.2626
-1.88	-0.96	0.1615
-1.72	-0.92	0.094
-1.88	-0.96	0.099
-1.52	-0.84	0.1082
-1.68	-0.92	0.1124
-1.8	-0.94	0.1813
-1.48	-0.84	0.1035
-1.84	-0.96	0.135
-1.6	-0.82	0.1569
-1.56	-0.84	0.1195
-1.84	-0.96	0.1188
-1.48	-0.78	0.1289
-1.68	-0.86	0.1638
-1.56	-0.86	0.1292
-1.4	-0.74	0.0882
-1.8	-0.94	0.0922
-0.92	-0.64	0.1583
-1.88	-0.96	0.1488
-1.68	-0.88	0.134
-1.72	-0.92	0.1142
-1.64	-0.88	0.124
-1.2	1.73472e-16	0.1998
-1.44	-0.82	0.1909
-1.48	-0.8	0.1171
-1.4	-0.68	0.146
-1.52	-0.78	0.1141
-1.76	-0.94	0.1148
-1.6	-0.88	0.1631
-1.28	-0.74	0.1311
-1.72	-0.88	0.1269
-1.48	-0.86	0.1613
-1.44	-0.84	0.1369
-1.12	-0.66	0.1305
-1.36	-0.76	0.1483
-1.84	-0.96	0.1202
-1.56	-0.88	0.1174
-1.92	-0.98	0.1319
-1.8	-0.94	0.108
-1.68	-0.9	0.098
-1.4	-0.8	0.1127
-1.32	-0.58	0.1405
-1.68	-0.92	0.1449
-1.28	-0.74	0.1555
-1.44	-0.82	0.1324
-1.48	-0.8	0.1133
-1.68	-0.92	0.1032
-1.4	-0.78	0.1281
-1.4	-0.78	0.1512
-1.52	-0.74	0.1112
-1.36	-0.82	0.1344
-1.72	-0.92	0.1109
-1.04	-0.6	0.1386
-1.68	-0.92	0.1272
-1.52	0.84	0.2804
-1.84	0.96	0.0976
-1.72	0.92	0.1012
-1.68	0.9	0.1013
-1.56	0.84	0.1529
-1.76	0.92	0.1614
-1.8	0.94	0.1293
-1.76	0.94	0.1264
-1.36	0.7	0.1396
-1.84	0.96	0.1025
-1.44	0.8	0.1202
-1.52	0.86	0.1345
-1.52	0.82	0.1936
-1.48	0.68	0.1301
-1.52	0.86	0.1897
-2	1	0.1425
-1.8	0.94	0.1423
-1.08	0.66	0.1244
-1.4	0.78	0.1712
-1.88	0.96	0.1311
-1.8	0.94	0.1195
-1.92	0.98	0.1182
-1.6	0.86	0.0994
-1.48	0.84	0.1475
-1.68	0.92	0.1652
-1.8	0.94	0.1029
-1.92	-0.98	0.1966
-1.64	-0.76	0.1309
-1.8	-0.94	0.1177
-1.92	-0.98	0.1516
-1.8	-0.94	0.1488
-1.72	-0.9	0.1194
-1.48	-0.86	0.1256
-1.56	-0.86	0.1366
-1.6	-0.86	0.125
-1.44	-0.8	0.1977
-1.76	-0.94	0.1279
-1.68	-0.92	0.1169
-1.68	-0.88	0.095
-1.8	-0.94	0.1515
-1.36	-0.74	0.1164
-1.68	-0.88	0.1671
-1.64	-0.84	0.1208
-1.68	-0.88	0.181
-1.16	-0.64	0.1174
-1.8	-0.94	0.1545
-1.16	-0.62	0.1402
-1.64	-0.9	0.1226
-1.6	-0.88	0.1215
-1.52	-0.76	0.1374
-1.76	-0.94	0.1385
-1.24	0.74	0.2102
-1.52	0.84	0.1327
-1.8	0.94	0.1121
-1.92	0.98	0.1188
-1.56	0.76	0.1423
-1.76	0.92	0.124
-1.68	0.9	0.1847
-1.4	0.8	0.1143
-1.68	0.88	0.1666
-1.6	0.7	0.1691
-1.24	0.42	0.2818
-1.68	0.9	0.1358
-1.24	0.54	0.1568
-1.72	0.92	0.1849
-1.68	0.92	0.0848
-1.92	0.98	0.1211
-1.24	0.76	0.1735
-1.84	0.96	0.144
-1.84	0.96	0.111
-1.76	0.92	0.1514
-1.84	0.96	0.111
-1.84	0.96	0.1002
-1.6	0.84	0.115
-1.52	0.86	0.1191
-1.32	0.64	0.1265
-1.92	0.98	0.1297
-1.56	0.78	0.1198
-1.12	0.48	0.1137
-1.48	0.82	0.1643
-1.76	0.94	0.1302
