#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.18118 	0 	0.55375 	0	7.8328 	0 	5.90359 	0	1.20582 	-nan 	1.46222 	-nan
0.41	-1.32941 	0 	0.62875 	0	6.18408 	0 	4.83984 	0	1.12475 	-nan 	1.33011 	-nan
0.42	-1.31529 	0 	0.64875 	0	5.34367 	0 	5.07984 	0	1.11591 	-nan 	1.29849 	-nan
0.43	-1.35529 	0 	0.6325 	0	7.01896 	0 	7.47938 	0	1.14255 	-nan 	1.38388 	-nan
0.44	-1.50353 	0 	0.7675 	0	8.60346 	0 	4.42437 	0	1.13033 	-nan 	1.20561 	-nan
0.45	-1.62118 	0 	0.8375 	0	2.18574 	0 	1.51437 	0	1.0314 	-nan 	1.06381 	-nan
0.46	-1.58824 	0 	0.8275 	0	4.64498 	0 	2.86937 	0	1.06629 	-nan 	1.10527 	-nan
0.47	-1.71294 	0 	0.8925 	0	2.9409 	0 	0.549375 	0	1.03708 	-nan 	1.02571 	-nan
0.48	-1.72941 	0 	0.91625 	0	2.92761 	0 	0.256094 	0	1.03831 	-nan 	1.01203 	-nan
0.49	-1.70824 	0 	0.89 	0	2.23557 	0 	0.545 	0	1.02919 	-nan 	1.0237 	-nan
0.5	-1.77882 	0 	0.94 	0	2.50574 	0 	0.205 	0	1.0314 	-nan 	1.00926 	-nan
