# nm = 8192 nc = 100 len = 10 extf = 0 beta = 0.453
#energy 	magnetization 	acceptance
-1.92	-0.98	0.1373
-1.92	-0.98	0.1546
-1.6	-0.88	0.1215
-1.52	-0.8	0.103
-1.48	-0.84	0.1374
-1.32	-0.74	0.1509
-1.68	-0.9	0.2276
-1.76	-0.92	0.1829
-1.8	-0.94	0.1531
-1.76	-0.94	0.1782
-1.2	-0.58	0.2254
-1.44	-0.82	0.1954
-1.48	-0.86	0.1208
-1.44	-0.8	0.1105
-1.52	0.86	0.1713
-1.44	0.76	0.1377
-1.4	0.74	0.1645
-1.92	0.98	0.1668
-1.68	0.9	0.1456
-1.6	0.86	0.1402
-1.36	0.76	0.1203
-1.84	0.96	0.2174
-1.4	0.82	0.1195
-1.84	0.96	0.1293
-1.72	0.92	0.1204
-1.28	-0.64	0.1896
-1.76	-0.94	0.2103
-1.28	-0.8	0.1381
-1.76	-0.94	0.1869
-1.76	-0.92	0.1851
-1.64	-0.9	0.1545
-1.68	-0.92	0.1301
-1.48	-0.86	0.1403
-1.52	-0.82	0.1398
-1.4	-0.7	0.14
-1.32	-0.7	0.1566
-1.68	-0.9	0.1424
-1	0.02	0.1826
-1.16	0.38	0.201
-1.8	0.94	0.2048
-1.64	0.9	0.1646
-1.72	0.92	0.1627
-1.76	0.9	0.1245
-1.48	0.86	0.1518
-1.48	0.76	0.1501
-1.68	0.9	0.1241
-1.44	0.58	0.1714
-1.6	0.86	0.152
-1.92	0.98	0.1544
-1.84	0.94	0.151
-1.68	0.9	0.1266
-1.44	0.74	0.1526
-1.24	0.66	0.1408
-1.52	0.84	0.1335
-1.84	0.96	0.1448
-1.76	0.94	0.1033
-1.04	-0.12	0.2163
-1.6	-0.82	0.2931
-1.72	-0.92	0.1113
-1.6	-0.88	0.1388
-1.48	-0.76	0.157
-1.52	-0.86	0.1325
-1.68	-0.92	0.1341
-1.64	-0.88	0.1482
-1.84	-0.96	0.152
-1.84	-0.96	0.1238
-1.08	-0.52	0.1378
-1.72	-0.92	0.1526
-1.84	-0.96	0.1284
-1.44	-0.82	0.1929
-1.72	-0.92	0.1847
-1.08	-0.46	0.1777
-1.56	-0.88	0.1479
-1.84	-0.96	0.1508
-1.72	-0.88	0.1314
-1.08	0.28	0.1626
-1.56	-0.82	0.1983
-1.84	-0.94	0.1158
-1.92	-0.98	0.1362
-1.48	-0.84	0.1133
-1.24	-0.62	0.1553
-1.6	-0.86	0.186
-1.56	-0.86	0.12
-1.6	-0.86	0.114
-1.12	-0.6	0.1203
-1.48	-0.84	0.1828
-1.84	0.94	0.1857
-1.2	0.34	0.2174
-1.16	-0.6	0.1725
-1.4	-0.74	0.1413
-1.52	-0.82	0.1602
-1.64	-0.8	0.1361
-1.68	-0.9	0.1423
-1.48	-0.82	0.1122
-1.88	-0.96	0.1301
-1.32	-0.34	0.1633
-1.68	-0.92	0.2189
-1.2	-0.62	0.1511
-1.56	-0.86	0.1366
-1.4	0.7	0.196
-1.68	0.9	0.1926
-1.6	0.84	0.1685
-1.04	0.44	0.1642
-1.68	0.92	0.1598
-1.64	0.88	0.1192
-1.84	0.96	0.1196
-1.36	0.74	0.1363
-1.92	0.98	0.114
-1.8	0.94	0.1278
-1.64	0.88	0.1247
-1.92	0.98	0.1275
-1.84	0.96	0.1355
-1.32	0.66	0.1431
