# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704785 	0.000222577 	0.0672434 	0.000194112 	3.16313 	0.0179604 	2.60932 	0.0175648
0.35 	-0.879525 	0.000246041 	0.0984429 	0.000355904 	3.89208 	0.0194055 	5.55374 	0.0420466
0.36 	-0.920027 	0.000262129 	0.109283 	0.000424506 	4.10479 	0.0241215 	6.78686 	0.0519316
0.37 	-0.96239 	0.000261014 	0.122512 	0.000537491 	4.34913 	0.0231746 	8.46794 	0.0751891
0.38 	-1.00667 	0.000278375 	0.141123 	0.000652256 	4.61619 	0.027107 	10.9257 	0.0923263
0.39 	-1.0548 	0.00032866 	0.165342 	0.000915851 	4.99906 	0.0304464 	14.6264 	0.143414
0.4 	-1.1078 	0.000401836 	0.204322 	0.00126874 	5.48377 	0.0364098 	20.6323 	0.201235
0.405 	-1.13608 	0.000458669 	0.226415 	0.00160407 	5.93956 	0.0419598 	25.1771 	0.275741
0.41 	-1.16679 	0.000549446 	0.259 	0.00196803 	6.42762 	0.0520134 	29.956 	0.290124
0.415 	-1.20077 	0.00062548 	0.299012 	0.00222935 	7.09516 	0.0615063 	36.0837 	0.312105
0.4175 	-1.21958 	0.001392 	0.325435 	0.00535954 	7.7109 	0.11895 	40.2198 	0.648909
0.42 	-1.23799 	0.000738164 	0.350007 	0.00274691 	8.02806 	0.0607718 	42.4179 	0.306824
0.4225 	-1.26056 	0.0015988 	0.390373 	0.00586373 	8.45658 	0.122682 	45.1761 	0.694209
0.425 	-1.28076 	0.000918798 	0.414462 	0.003064 	8.99694 	0.0676527 	48.0073 	0.40118
0.4275 	-1.30259 	0.00192207 	0.449379 	0.007055 	9.3172 	0.132165 	49.0942 	1.06147
0.43 	-1.32847 	0.0010178 	0.494433 	0.00330242 	9.69637 	0.0698134 	47.9046 	0.617806
0.4325 	-1.35187 	0.0020156 	0.533439 	0.00626642 	9.90064 	0.129353 	45.1733 	1.42202
0.435 	-1.37761 	0.00110576 	0.573625 	0.00300334 	10.0795 	0.0703328 	41.3585 	0.794808
0.4375 	-1.40061 	0.00214913 	0.604578 	0.00683954 	10.1229 	0.148351 	39.6308 	2.03694
0.44 	-1.42788 	0.000985116 	0.647229 	0.00308101 	9.65538 	0.0850381 	32.6949 	1.07319
0.4425 	-1.4472 	0.00203218 	0.669401 	0.00553493 	9.45202 	0.190096 	30.4994 	2.16545
0.445 	-1.47337 	0.000875846 	0.706396 	0.00262428 	8.68211 	0.0846592 	22.4172 	1.02265
0.45 	-1.51503 	0.000796491 	0.754728 	0.00175012 	7.54224 	0.0888729 	14.1614 	0.794668
0.46 	-1.58175 	0.000572587 	0.814957 	0.00104062 	5.8772 	0.0663219 	6.17229 	0.574884
0.47 	-1.63537 	0.000350652 	0.85346 	0.000376055 	4.68398 	0.0334058 	2.52267 	0.062859
0.48 	-1.67776 	0.000309781 	0.87763 	0.000274732 	3.94897 	0.0281543 	1.644 	0.0477179
0.53 	-1.81688 	0.000163043 	0.941221 	7.27341e-05 	1.94112 	0.0114087 	0.342401 	0.00267637
